TSIndex,Month,Day,Hour,DayIndex,RepDayInYear,RepHoursInDay,RepHoursInYear
1,01,Weekday,00,1,31,1,31
2,01,Weekday,01,1,31,1,31
3,01,Weekday,02,1,31,1,31
4,01,Weekday,03,1,31,1,31
5,01,Weekday,04,1,31,1,31
6,01,Weekday,05,1,31,1,31
7,01,Weekday,06,1,31,1,31
8,01,Weekday,07,1,31,1,31
9,01,Weekday,08,1,31,1,31
10,01,Weekday,09,1,31,1,31
11,01,Weekday,10,1,31,1,31
12,01,Weekday,11,1,31,1,31
13,01,Weekday,12,1,31,1,31
14,01,Weekday,13,1,31,1,31
15,01,Weekday,14,1,31,1,31
16,01,Weekday,15,1,31,1,31
17,01,Weekday,16,1,31,1,31
18,01,Weekday,17,1,31,1,31
19,01,Weekday,18,1,31,1,31
20,01,Weekday,19,1,31,1,31
21,01,Weekday,20,1,31,1,31
22,01,Weekday,21,1,31,1,31
23,01,Weekday,22,1,31,1,31
24,01,Weekday,23,1,31,1,31
25,02,Weekday,00,2,28,1,28
26,02,Weekday,01,2,28,1,28
27,02,Weekday,02,2,28,1,28
28,02,Weekday,03,2,28,1,28
29,02,Weekday,04,2,28,1,28
30,02,Weekday,05,2,28,1,28
31,02,Weekday,06,2,28,1,28
32,02,Weekday,07,2,28,1,28
33,02,Weekday,08,2,28,1,28
34,02,Weekday,09,2,28,1,28
35,02,Weekday,10,2,28,1,28
36,02,Weekday,11,2,28,1,28
37,02,Weekday,12,2,28,1,28
38,02,Weekday,13,2,28,1,28
39,02,Weekday,14,2,28,1,28
40,02,Weekday,15,2,28,1,28
41,02,Weekday,16,2,28,1,28
42,02,Weekday,17,2,28,1,28
43,02,Weekday,18,2,28,1,28
44,02,Weekday,19,2,28,1,28
45,02,Weekday,20,2,28,1,28
46,02,Weekday,21,2,28,1,28
47,02,Weekday,22,2,28,1,28
48,02,Weekday,23,2,28,1,28
49,03,Weekday,00,3,31,1,31
50,03,Weekday,01,3,31,1,31
51,03,Weekday,02,3,31,1,31
52,03,Weekday,03,3,31,1,31
53,03,Weekday,04,3,31,1,31
54,03,Weekday,05,3,31,1,31
55,03,Weekday,06,3,31,1,31
56,03,Weekday,07,3,31,1,31
57,03,Weekday,08,3,31,1,31
58,03,Weekday,09,3,31,1,31
59,03,Weekday,10,3,31,1,31
60,03,Weekday,11,3,31,1,31
61,03,Weekday,12,3,31,1,31
62,03,Weekday,13,3,31,1,31
63,03,Weekday,14,3,31,1,31
64,03,Weekday,15,3,31,1,31
65,03,Weekday,16,3,31,1,31
66,03,Weekday,17,3,31,1,31
67,03,Weekday,18,3,31,1,31
68,03,Weekday,19,3,31,1,31
69,03,Weekday,20,3,31,1,31
70,03,Weekday,21,3,31,1,31
71,03,Weekday,22,3,31,1,31
72,03,Weekday,23,3,31,1,31
73,04,Weekday,00,4,30,1,30
74,04,Weekday,01,4,30,1,30
75,04,Weekday,02,4,30,1,30
76,04,Weekday,03,4,30,1,30
77,04,Weekday,04,4,30,1,30
78,04,Weekday,05,4,30,1,30
79,04,Weekday,06,4,30,1,30
80,04,Weekday,07,4,30,1,30
81,04,Weekday,08,4,30,1,30
82,04,Weekday,09,4,30,1,30
83,04,Weekday,10,4,30,1,30
84,04,Weekday,11,4,30,1,30
85,04,Weekday,12,4,30,1,30
86,04,Weekday,13,4,30,1,30
87,04,Weekday,14,4,30,1,30
88,04,Weekday,15,4,30,1,30
89,04,Weekday,16,4,30,1,30
90,04,Weekday,17,4,30,1,30
91,04,Weekday,18,4,30,1,30
92,04,Weekday,19,4,30,1,30
93,04,Weekday,20,4,30,1,30
94,04,Weekday,21,4,30,1,30
95,04,Weekday,22,4,30,1,30
96,04,Weekday,23,4,30,1,30
97,05,Weekday,00,5,31,1,31
98,05,Weekday,01,5,31,1,31
99,05,Weekday,02,5,31,1,31
100,05,Weekday,03,5,31,1,31
101,05,Weekday,04,5,31,1,31
102,05,Weekday,05,5,31,1,31
103,05,Weekday,06,5,31,1,31
104,05,Weekday,07,5,31,1,31
105,05,Weekday,08,5,31,1,31
106,05,Weekday,09,5,31,1,31
