Category,CostGroup,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
oil,NPS,USD/GJ,8.5,13.2,14.7,16,17.5,18.7,19.8,21,21,21
gas,NPS_US,USD/GJ,2.5,2.9,3.1,3.6,4.1,4.7,5.2,5.8,5.8,5.8
gas,NPS_EU,USD/GJ,6.7,6.8,7.4,7.8,8.2,8.6,8.9,9.3,9.3,9.3
gas,NPS_CN,USD/GJ,9.2,8.4,8.7,8.9,9,9.3,9.6,9.9,9.9,9.9
gas,NPS_JP,USD/GJ,9.8,8.7,9.3,9.5,9.5,9.6,9.7,9.8,9.8,9.8
coal,NPS_US,USD/GJ,2.3,2.7,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9
coal,NPS_EU,USD/GJ,2.6,3.7,3.6,3.7,3.8,3.8,3.9,3.9,3.9,3.9
coal,NPS_JP,USD/GJ,2.7,4.1,3.8,4,4,4.1,4.1,4.1,4.1,4.1
coal,NPS_CN,USD/GJ,3.2,4.4,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2
uranium,NPS,USD/GJ,1.1,1.2,1.4,1.5,1.7,1.8,2,2.1,2.1,2.1
biomass,NPS_Africa,USD/GJ,10,10,10,11,11,11,11,11,11,11
biomass,NPS_Asia,USD/GJ,7,7,9,11,11,11,11,11,11,11
biomass,NPS_EU,USD/GJ,18,18,18,18,18,18,18,18,18,18
biomass,NPS_NA,USD/GJ,15,15,15,15,15,15,15,15,15,15
biomass,NPS_OECDPac,USD/GJ,15,15,15,15,15,15,15,15,15,15
biomass,NPS_LatA,USD/GJ,12,12,12,12,12,12,12,12,12,12
biomass,NPS_world,USD/GJ,11,11,11,11,11,11,11,11,11,11
