ProcessName,RegionGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
COA_SUB,Europe,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SUB,United States,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SUB,Japan,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SUB,Russia,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SUB,China,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SUB,India,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SUB,Middle East,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SUB,Africa,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SUB,Brazil,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SUB,Europe,Gross_Eff,,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
COA_SUB,United States,Gross_Eff,,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
COA_SUB,Japan,Gross_Eff,,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
COA_SUB,Russia,Gross_Eff,,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
COA_SUB,China,Gross_Eff,,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
COA_SUB,India,Gross_Eff,,0.36,0.36,0.36,0.36,0.365,0.37,0.375,0.38,0.38,0.38
COA_SUB,Middle East,Gross_Eff,,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
COA_SUB,Africa,Gross_Eff,,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
COA_SUB,Brazil,Gross_Eff,,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
COA_SUB,Europe,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SUB,United States,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SUB,Japan,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SUB,Russia,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SUB,China,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SUB,India,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SUB,Middle East,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SUB,Africa,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SUB,Brazil,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SUB,Europe,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SUB,United States,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SUB,Japan,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SUB,Russia,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SUB,China,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SUB,India,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SUB,Middle East,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SUB,Africa,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SUB,Brazil,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SUB,Europe,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SUB,United States,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SUB,Japan,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SUB,Russia,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SUB,China,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SUB,India,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SUB,Middle East,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SUB,Africa,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SUB,Brazil,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SUB,Europe,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SUB,United States,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SUB,Japan,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SUB,Russia,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SUB,China,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SUB,India,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SUB,Middle East,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SUB,Africa,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SUB,Brazil,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SC,Europe,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,United States,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,Japan,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,Russia,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,China,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,India,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,Middle East,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,Africa,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,Brazil,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,Europe,Gross_Eff,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
COA_SC,United States,Gross_Eff,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
COA_SC,Japan,Gross_Eff,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
COA_SC,Russia,Gross_Eff,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
COA_SC,China,Gross_Eff,,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
COA_SC,India,Gross_Eff,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
COA_SC,Middle East,Gross_Eff,,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
COA_SC,Africa,Gross_Eff,,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
COA_SC,Brazil,Gross_Eff,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
COA_SC,Europe,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,United States,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,Japan,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,Russia,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,China,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,India,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,Middle East,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,Africa,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,Brazil,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,Europe,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,United States,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,Japan,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,Russia,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,China,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,India,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,Middle East,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,Africa,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,Brazil,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,Europe,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,United States,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,Japan,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,Russia,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,China,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,India,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,Middle East,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,Africa,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,Brazil,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,Europe,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
