ProcessName,RegionGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
GAS_OCGT,Europe,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
GAS_OCGT,United States,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
GAS_OCGT,Japan,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
GAS_OCGT,Russia,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
GAS_OCGT,China,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
GAS_OCGT,India,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
GAS_OCGT,Middle East,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
GAS_OCGT,Africa,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
GAS_OCGT,Brazil,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
GAS_OCGT,Europe,Gross_Eff,,0.4,0.4,0.41,0.41,0.42,0.42,0.43,0.43,0.43,0.43
GAS_OCGT,United States,Gross_Eff,,0.4,0.4,0.41,0.41,0.42,0.42,0.43,0.43,0.43,0.43
GAS_OCGT,Japan,Gross_Eff,,0.4,0.4,0.41,0.41,0.42,0.42,0.43,0.43,0.43,0.43
GAS_OCGT,Russia,Gross_Eff,,0.38,0.38,0.39,0.39,0.4,0.41,0.42,0.43,0.43,0.43
GAS_OCGT,China,Gross_Eff,,0.38,0.38,0.39,0.39,0.4,0.41,0.42,0.43,0.43,0.43
GAS_OCGT,India,Gross_Eff,,0.38,0.38,0.39,0.39,0.4,0.41,0.42,0.43,0.43,0.43
GAS_OCGT,Middle East,Gross_Eff,,0.38,0.38,0.39,0.39,0.4,0.41,0.42,0.43,0.43,0.43
GAS_OCGT,Africa,Gross_Eff,,0.38,0.38,0.39,0.39,0.4,0.41,0.42,0.43,0.43,0.43
GAS_OCGT,Brazil,Gross_Eff,,0.38,0.38,0.39,0.39,0.4,0.41,0.42,0.43,0.43,0.43
GAS_OCGT,Europe,MinLoad,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
GAS_OCGT,United States,MinLoad,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
GAS_OCGT,Japan,MinLoad,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
GAS_OCGT,Russia,MinLoad,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
GAS_OCGT,China,MinLoad,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
GAS_OCGT,India,MinLoad,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
GAS_OCGT,Middle East,MinLoad,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
GAS_OCGT,Africa,MinLoad,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
GAS_OCGT,Brazil,MinLoad,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
GAS_OCGT,Europe,RampRate,%P/Min,10,10,11,12,12,12,12,12,12,12
GAS_OCGT,United States,RampRate,%P/Min,10,10,11,12,12,12,12,12,12,12
GAS_OCGT,Japan,RampRate,%P/Min,10,10,11,12,12,12,12,12,12,12
GAS_OCGT,Russia,RampRate,%P/Min,10,10,11,12,12,12,12,12,12,12
GAS_OCGT,China,RampRate,%P/Min,10,10,11,12,12,12,12,12,12,12
GAS_OCGT,India,RampRate,%P/Min,10,10,11,12,12,12,12,12,12,12
GAS_OCGT,Middle East,RampRate,%P/Min,10,10,11,12,12,12,12,12,12,12
GAS_OCGT,Africa,RampRate,%P/Min,10,10,11,12,12,12,12,12,12,12
GAS_OCGT,Brazil,RampRate,%P/Min,10,10,11,12,12,12,12,12,12,12
GAS_OCGT,Europe,EquAvailFactor,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
GAS_OCGT,United States,EquAvailFactor,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
