ProcessName,RegionGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
NUK_LWR,Europe,UnitCapacity,MW,500,500,500,500,500,500,500,500,500,500
NUK_LWR,United States,UnitCapacity,MW,500,500,500,500,500,500,500,500,500,500
NUK_LWR,Japan,UnitCapacity,MW,500,500,500,500,500,500,500,500,500,500
NUK_LWR,Russia,UnitCapacity,MW,500,500,500,500,500,500,500,500,500,500
NUK_LWR,China,UnitCapacity,MW,500,500,500,500,500,500,500,500,500,500
NUK_LWR,India,UnitCapacity,MW,500,500,500,500,500,500,500,500,500,500
NUK_LWR,Middle East,UnitCapacity,MW,500,500,500,500,500,500,500,500,500,500
NUK_LWR,Africa,UnitCapacity,MW,500,500,500,500,500,500,500,500,500,500
NUK_LWR,Brazil,UnitCapacity,MW,500,500,500,500,500,500,500,500,500,500
NUK_LWR,Europe,Gross_Eff,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
NUK_LWR,United States,Gross_Eff,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
NUK_LWR,Japan,Gross_Eff,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
NUK_LWR,Russia,Gross_Eff,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
NUK_LWR,China,Gross_Eff,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
NUK_LWR,India,Gross_Eff,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
NUK_LWR,Middle East,Gross_Eff,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
NUK_LWR,Africa,Gross_Eff,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
NUK_LWR,Brazil,Gross_Eff,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
NUK_LWR,Europe,MinLoad,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NUK_LWR,United States,MinLoad,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NUK_LWR,Japan,MinLoad,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NUK_LWR,Russia,MinLoad,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NUK_LWR,China,MinLoad,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NUK_LWR,India,MinLoad,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NUK_LWR,Middle East,MinLoad,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NUK_LWR,Africa,MinLoad,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NUK_LWR,Brazil,MinLoad,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NUK_LWR,Europe,RampRate,%P/Min,2,2,2,2,2,2,2,2,2,2
NUK_LWR,United States,RampRate,%P/Min,2,2,2,2,2,2,2,2,2,2
NUK_LWR,Japan,RampRate,%P/Min,2,2,2,2,2,2,2,2,2,2
NUK_LWR,Russia,RampRate,%P/Min,2,2,2,2,2,2,2,2,2,2
NUK_LWR,China,RampRate,%P/Min,2,2,2,2,2,2,2,2,2,2
