ProcessName,TechCostGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
COA_SUB,Europe,CAPEX,USD/kW,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
COA_SUB,United States,CAPEX,USD/kW,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
COA_SUB,Japan,CAPEX,USD/kW,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
COA_SUB,Russia,CAPEX,USD/kW,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
COA_SUB,China,CAPEX,USD/kW,600,600,600,600,600,600,600,600,600,600
COA_SUB,India,CAPEX,USD/kW,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
COA_SUB,Middle East,CAPEX,USD/kW,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
COA_SUB,Africa,CAPEX,USD/kW,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
COA_SUB,Brazil,CAPEX,USD/kW,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
COA_SUB,Europe,OPEX,USD/kW,45,45,45,45,45,45,45,45,45,45
COA_SUB,United States,OPEX,USD/kW,45,45,45,45,45,45,45,45,45,45
COA_SUB,Japan,OPEX,USD/kW,55,55,55,55,55,55,55,55,55,55
COA_SUB,Russia,OPEX,USD/kW,50,50,50,50,50,50,50,50,50,50
COA_SUB,China,OPEX,USD/kW,20,20,20,20,20,20,20,20,20,20
COA_SUB,India,OPEX,USD/kW,35,35,35,35,35,35,35,35,35,35
COA_SUB,Middle East,OPEX,USD/kW,45,45,45,45,45,45,45,45,45,45
COA_SUB,Africa,OPEX,USD/kW,45,45,45,45,45,45,45,45,45,45
COA_SUB,Brazil,OPEX,USD/kW,45,45,45,45,45,45,45,45,45,45
COA_SUB,Europe,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_SUB,United States,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_SUB,Japan,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
