ProcessName,RegionGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
GAS_OCGT,Europe,CAPEX,USD/kW,500,500,500,500,500,500,500,500,500,500
GAS_OCGT,United States,CAPEX,USD/kW,500,500,500,500,500,500,500,500,500,500
GAS_OCGT,Japan,CAPEX,USD/kW,500,500,500,500,500,500,500,500,500,500
GAS_OCGT,Russia,CAPEX,USD/kW,450,450,450,450,450,450,450,450,450,450
GAS_OCGT,China,CAPEX,USD/kW,350,350,350,350,350,350,350,350,350,350
GAS_OCGT,India,CAPEX,USD/kW,400,400,400,400,400,400,400,400,400,400
GAS_OCGT,Middle East,CAPEX,USD/kW,450,450,450,450,450,450,450,450,450,450
GAS_OCGT,Africa,CAPEX,USD/kW,400,400,400,400,400,400,400,400,400,400
GAS_OCGT,Brazil,CAPEX,USD/kW,400,400,400,400,400,400,400,400,400,400
GAS_OCGT,Europe,OPEX,USD/kW,20,20,20,20,20,20,20,20,20,20
GAS_OCGT,United States,OPEX,USD/kW,20,20,20,20,20,20,20,20,20,20
GAS_OCGT,Japan,OPEX,USD/kW,20,20,20,20,20,20,20,20,20,20
GAS_OCGT,Russia,OPEX,USD/kW,25,25,25,25,25,25,25,25,25,25
GAS_OCGT,China,OPEX,USD/kW,20,20,20,20,20,20,20,20,20,20
GAS_OCGT,India,OPEX,USD/kW,20,20,20,20,20,20,20,20,20,20
GAS_OCGT,Middle East,OPEX,USD/kW,25,25,25,25,25,25,25,25,25,25
GAS_OCGT,Africa,OPEX,USD/kW,20,20,20,20,20,20,20,20,20,20
GAS_OCGT,Brazil,OPEX,USD/kW,20,20,20,20,20,20,20,20,20,20
GAS_OCGT,Europe,varOPEX,USD/kWh,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
GAS_OCGT,United States,varOPEX,USD/kWh,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
GAS_OCGT,Japan,varOPEX,USD/kWh,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
GAS_OCGT,Russia,varOPEX,USD/kWh,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
GAS_OCGT,China,varOPEX,USD/kWh,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
GAS_OCGT,India,varOPEX,USD/kWh,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
GAS_OCGT,Middle East,varOPEX,USD/kWh,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
GAS_OCGT,Africa,varOPEX,USD/kWh,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
GAS_OCGT,Brazil,varOPEX,USD/kWh,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
GAS_OCGT,Europe,Lifetime,year,35,35,35,35,35,35,35,35,35,35
GAS_OCGT,United States,Lifetime,year,35,35,35,35,35,35,35,35,35,35
GAS_OCGT,Japan,Lifetime,year,35,35,35,35,35,35,35,35,35,35
GAS_OCGT,Russia,Lifetime,year,35,35,35,35,35,35,35,35,35,35
GAS_OCGT,China,Lifetime,year,35,35,35,35,35,35,35,35,35,35
GAS_OCGT,India,Lifetime,year,35,35,35,35,35,35,35,35,35,35
GAS_OCGT,Middle East,Lifetime,year,35,35,35,35,35,35,35,35,35,35
GAS_OCGT,Africa,Lifetime,year,35,35,35,35,35,35,35,35,35,35
GAS_OCGT,Brazil,Lifetime,year,35,35,35,35,35,35,35,35,35,35
GAS_CCGT,Europe,CAPEX,USD/kW,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GAS_CCGT,United States,CAPEX,USD/kW,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GAS_CCGT,Japan,CAPEX,USD/kW,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GAS_CCGT,Russia,CAPEX,USD/kW,800,800,800,800,800,800,800,800,800,800
GAS_CCGT,China,CAPEX,USD/kW,560,560,560,560,560,560,560,560,560,560
GAS_CCGT,India,CAPEX,USD/kW,700,700,700,700,700,700,700,700,700,700
GAS_CCGT,Middle East,CAPEX,USD/kW,800,800,800,800,800,800,800,800,800,800
GAS_CCGT,Africa,CAPEX,USD/kW,700,700,700,700,700,700,700,700,700,700
GAS_CCGT,Brazil,CAPEX,USD/kW,700,700,700,700,700,700,700,700,700,700
GAS_CCGT,Europe,OPEX,USD/kW,25,25,25,25,25,25,25,25,25,25
GAS_CCGT,United States,OPEX,USD/kW,25,25,25,25,25,25,25,25,25,25
GAS_CCGT,Japan,OPEX,USD/kW,30,30,30,30,30,30,30,30,30,30
GAS_CCGT,Russia,OPEX,USD/kW,30,30,30,30,30,30,30,30,30,30
GAS_CCGT,China,OPEX,USD/kW,20,20,20,20,20,20,20,20,20,20
GAS_CCGT,India,OPEX,USD/kW,25,25,25,25,25,25,25,25,25,25
GAS_CCGT,Middle East,OPEX,USD/kW,30,30,30,30,30,30,30,30,30,30
GAS_CCGT,Africa,OPEX,USD/kW,25,25,25,25,25,25,25,25,25,25
GAS_CCGT,Brazil,OPEX,USD/kW,25,25,25,25,25,25,25,25,25,25
