ProcessName,RegionGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
NUK_LWR,Europe,CAPEX,USD/kW,6600,6000,5550,5100,4800,4500,4500,4500,4500,4500
NUK_LWR,United States,CAPEX,USD/kW,5000,5000,4900,4800,4650,4500,4500,4500,4500,4500
NUK_LWR,Japan,CAPEX,USD/kW,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
NUK_LWR,Russia,CAPEX,USD/kW,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
NUK_LWR,China,CAPEX,USD/kW,2000,2800,2775,2750,2625,2500,2500,2500,2500,2500
NUK_LWR,India,CAPEX,USD/kW,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
NUK_LWR,Middle East,CAPEX,USD/kW,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
NUK_LWR,Africa,CAPEX,USD/kW,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
NUK_LWR,Brazil,CAPEX,USD/kW,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
NUK_LWR,Europe,OPEX,USD/kW,170,165,162.5,160,160,160,160,160,160,160
NUK_LWR,United States,OPEX,USD/kW,180,180,177.5,175,175,175,175,175,175,175
NUK_LWR,Japan,OPEX,USD/kW,210,210,217.5,225,225,225,225,225,225,225
NUK_LWR,Russia,OPEX,USD/kW,160,160,160,160,160,160,160,160,160,160
NUK_LWR,China,OPEX,USD/kW,120,120,120,120,120,120,120,120,120,120
NUK_LWR,India,OPEX,USD/kW,140,140,140,140,140,140,140,140,140,140
NUK_LWR,Middle East,OPEX,USD/kW,160,160,160,160,160,160,160,160,160,160
NUK_LWR,Africa,OPEX,USD/kW,170,170,170,170,170,170,170,170,170,170
NUK_LWR,Brazil,OPEX,USD/kW,170,170,170,170,170,170,170,170,170,170
NUK_LWR,Europe,varOPEX,USD/kWh,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
NUK_LWR,United States,varOPEX,USD/kWh,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
NUK_LWR,Japan,varOPEX,USD/kWh,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
NUK_LWR,Russia,varOPEX,USD/kWh,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
NUK_LWR,China,varOPEX,USD/kWh,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
NUK_LWR,India,varOPEX,USD/kWh,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
NUK_LWR,Middle East,varOPEX,USD/kWh,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
NUK_LWR,Africa,varOPEX,USD/kWh,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
NUK_LWR,Brazil,varOPEX,USD/kWh,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
NUK_LWR,Europe,Lifetime,year,40,40,40,40,40,40,40,40,40,40
NUK_LWR,United States,Lifetime,year,40,40,40,40,40,40,40,40,40,40
NUK_LWR,Japan,Lifetime,year,40,40,40,40,40,40,40,40,40,40
NUK_LWR,Russia,Lifetime,year,40,40,40,40,40,40,40,40,40,40
NUK_LWR,China,Lifetime,year,40,40,40,40,40,40,40,40,40,40
NUK_LWR,India,Lifetime,year,40,40,40,40,40,40,40,40,40,40
NUK_LWR,Middle East,Lifetime,year,40,40,40,40,40,40,40,40,40,40
NUK_LWR,Africa,Lifetime,year,40,40,40,40,40,40,40,40,40,40
NUK_LWR,Brazil,Lifetime,year,40,40,40,40,40,40,40,40,40,40
