Zone,Process,2015,2020,2025,2030,2035,2040,2045,2050
GBR.NI,WND_ON,1016,1016,654,654,654,654,654,654
GBR.NI,PV_FT,163,163,0,0,0,0,0,0
GBR.NI,PV_TK,0,0,344,699,1073,1469,1469,1469
GBR.NI,PV_Dist,0,0,0,0,0,0,0,0
GBR.NI,CSP_ST6,0,0,0,0,0,0,0,0
GBR.NI,CSP_ST9,0,0,0,0,0,0,0,0
GBR.NI,GEO_hydro,0,0,0,0,0,0,0,0
GBR.NI,HYD_LG,0,0,0,0,0,0,0,0
GBR.NI,HYD_SM,0,0,25,50,77,105,105,105
GBR.Scotland,WND_ON,7173,7173,7413,7661,7921,8197,8197,8197
GBR.Scotland,PV_FT,88,88,0,0,0,0,0,0
GBR.Scotland,PV_TK,0,0,0,0,0,0,0,0
GBR.Scotland,PV_Dist,0,0,0,0,0,0,0,0
GBR.Scotland,CSP_ST6,0,0,0,0,0,0,0,0
GBR.Scotland,CSP_ST9,0,0,0,0,0,0,0,0
GBR.Scotland,GEO_hydro,0,0,0,0,0,0,0,0
GBR.Scotland,HYD_LG,1320,1320,448,448,448,448,448,448
GBR.Scotland,HYD_SM,195,195,736,1293,1881,2502,2502,2502
GBR.UKC,WND_ON,492,492,823,1164,1524,1904,1904,1904
GBR.UKC,PV_FT,64,64,0,0,0,0,0,0
GBR.UKC,PV_TK,0,0,579,1176,1805,2471,2471,2471
GBR.UKC,PV_Dist,0,0,0,0,0,0,0,0
GBR.UKC,CSP_ST6,0,0,0,0,0,0,0,0
GBR.UKC,CSP_ST9,0,0,0,0,0,0,0,0
GBR.UKC,GEO_hydro,0,0,0,0,0,0,0,0
GBR.UKC,HYD_LG,0,0,0,0,0,0,0,0
GBR.UKC,HYD_SM,0,0,22,44,67,92,92,92
GBR.UKD,WND_ON,466,466,487,508,530,554,554,554
GBR.UKD,PV_FT,232,232,0,0,0,0,0,0
GBR.UKD,PV_TK,0,0,1017,2065,3170,4338,4338,4338
GBR.UKD,PV_Dist,0,0,0,0,0,0,0,0
GBR.UKD,CSP_ST6,0,0,0,0,0,0,0,0
GBR.UKD,CSP_ST9,0,0,0,0,0,0,0,0
GBR.UKD,GEO_hydro,0,0,0,0,0,0,0,0
GBR.UKD,HYD_LG,0,0,0,0,0,0,0,0
GBR.UKD,HYD_SM,0,0,11,22,34,47,47,47
GBR.UKE,WND_ON,633,633,999,1376,1774,2194,2194,2194
GBR.UKE,PV_FT,191,191,0,0,0,0,0,0
GBR.UKE,PV_TK,0,0,702,1426,2189,2996,2996,2996
GBR.UKE,PV_Dist,0,0,0,0,0,0,0,0
GBR.UKE,CSP_ST6,0,0,0,0,0,0,0,0
GBR.UKE,CSP_ST9,0,0,0,0,0,0,0,0
