Zone,Process,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
TWN.Central,WND_ON,457,457,0,0,0,0,0,0,0,0
TWN.Central,PV_FT,178,178,211,251,298,354,389,428,354,354
TWN.Central,PV_TK,0,0,456,1016,1683,2463,2709,2980,2463,2463
TWN.Central,PV_Dist,0,0,416,927,1536,2248,2473,2720,2248,2248
TWN.Central,CSP_ST6,0,0,0,0,0,0,0,0,0,0
TWN.Central,CSP_ST9,0,0,0,0,0,0,0,0,0,0
TWN.Central,GEO_hydro,0,0,0,0,0,0,0,0,0,0
TWN.Central,HYD_LG,1680,1680,2191,2820,3567,4442,4442,4442,4442,4442
TWN.Central,HYD_SM,10,10,234,509,837,1220,1220,1220,1220,1220
TWN.East,WND_ON,0,0,117,262,433,634,697,767,634,634
TWN.East,PV_FT,32,32,41,52,65,80,88,97,80,80
TWN.East,PV_TK,0,0,423,944,1563,2288,2517,2768,2288,2288
TWN.East,PV_Dist,0,0,68,152,252,369,406,446,369,369
TWN.East,CSP_ST6,0,0,0,0,0,0,0,0,0,0
TWN.East,CSP_ST9,0,0,0,0,0,0,0,0,0,0
TWN.East,GEO_hydro,0,0,0,0,0,0,0,0,0,0
TWN.East,HYD_LG,0,0,555,1238,2050,3000,3000,3000,3000,3000
TWN.East,HYD_SM,20,20,300,643,1052,1531,1531,1531,1531,1531
TWN.North,WND_ON,122,122,155,196,244,301,331,364,301,301
TWN.North,PV_FT,390,390,0,0,0,0,0,0,0,0
TWN.North,PV_TK,0,0,227,506,838,1227,1350,1485,1227,1227
TWN.North,PV_Dist,0,0,460,1026,1699,2487,2736,3009,2487,2487
TWN.North,CSP_ST6,0,0,0,0,0,0,0,0,0,0
TWN.North,CSP_ST9,0,0,0,0,0,0,0,0,0,0
TWN.North,GEO_hydro,0,0,0,0,0,0,0,0,0,0
TWN.North,HYD_LG,200,200,256,325,407,503,503,503,503,503
TWN.North,HYD_SM,0,0,130,291,482,705,705,705,705,705
TWN.South,WND_ON,67,67,156,266,396,548,603,663,548,548
TWN.South,PV_FT,242,242,63,63,63,63,69,76,63,63
TWN.South,PV_TK,0,0,1142,2547,4219,6175,6793,7472,6175,6175
TWN.South,PV_Dist,0,0,537,1197,1983,2902,3192,3511,2902,2902
TWN.South,CSP_ST6,0,0,0,0,0,0,0,0,0,0
TWN.South,CSP_ST9,0,0,0,0,0,0,0,0,0,0
TWN.South,GEO_hydro,0,0,0,0,0,0,0,0,0,0
TWN.South,HYD_LG,200,200,667,1241,1924,2723,2723,2723,2723,2723
TWN.South,HYD_SM,0,0,238,530,879,1286,1286,1286,1286,1286
TWN.OffRgn1,WND_OFF_SH,0,0,288,576,863,1151,1266,1393,1151,1151
TWN.OffRgn1,WND_OFF_IN,0,0,747,1494,2240,2987,3286,3614,2987,2987
TWN.OffRgn1,WND_OFF_DE,0,0,5404,10808,16213,21617,23779,26157,21617,21617
TWN.OffRgn2,WND_OFF_SH,0,0,648,1297,1946,2594,2853,3139,2594,2594
TWN.OffRgn2,WND_OFF_IN,0,0,648,1296,1943,2591,2850,3135,2591,2591
TWN.OffRgn2,WND_OFF_DE,0,0,0,0,0,0,0,0,0,0
TWN.OffRgn3,WND_OFF_SH,0,0,64,129,194,258,284,312,258,258
TWN.OffRgn3,WND_OFF_IN,0,0,77,154,230,307,338,371,307,307
TWN.OffRgn3,WND_OFF_DE,0,0,385,770,1154,1539,1693,1862,1539,1539
TWN.OffRgn4,WND_OFF_SH,0,0,245,490,736,981,1079,1187,981,981
TWN.OffRgn4,WND_OFF_IN,0,0,1603,3206,4810,6413,7054,7760,6413,6413
TWN.OffRgn4,WND_OFF_DE,0,0,1368,2737,4106,5474,6021,6624,5474,5474
