ProcessName,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
COA_SUB,0.0,0.0,0.0,0.0,0.0,0.0,1310.4,0.0,208.5,0.0,0.0,0.0,0.0,0.0,0.0
COA_SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,0.0,0.0,0.0,0.0,0.0,0.0
COA_USC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COA_IGCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAS_OCGT,0.0,0.0,0.0,0.0,0.0,0.0,222.3,0.0,0.0,0.0,993.2,299.7,153.2,0.0,0.0
GAS_CCGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL_ST,0.0,0.0,0.0,0.0,0.0,0.0,110.2,0.0,0.0,0.0,146.7,0.0,0.0,0.0,0.0
NUK_LWR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYD_LG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYD_SM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYD_PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WND_ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.3,0.0,0.0,0.0,0.0,422.6,0.0
WND_OFF_SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV_FT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0
PV_Dist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSP_ST6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEO_hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO_ST,0.0,0.0,0.0,0.0,0.0,0.0,645.0,0.0,0.0,0.0,666.2,0.0,0.0,932.9,0.0
