ProcessName,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
COA_SUB,0,0,0,0,0,0,859.4,0,0,0,0,0,0,0,0
COA_SC,0,0,0,0,0,0,0,0,1586,0,0,0,0,0,0
COA_USC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COA_IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_OCGT,0,0,0,0,0,0,0,0,0,0,654.5,256.3,0,0,0
GAS_CCGT,0,0,0,0,0,0,0,0,520,0,2180,0,1380,850,0
OIL_ST,0,0,0,0,0,0,0,0,0,0,0,0,145.4,0,0
NUK_LWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_LG,0,0,0,0,0,0,0,0,395.3,0,0,0,1800,0,0
HYD_SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_PS,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0
WND_ON,0,0,0,0,0,0,0,0,266.4,0,0,228,208.5,504.8,0
WND_OFF_SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_FT,0,0,0,0,0,0,0,0,0,0,0,0,0,892.9,0
PV_Dist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP_ST6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO_hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO_ST,0,0,0,0,0,0,0,0,0,0,0,0,0,201.2,0
