2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
951.22,987.11,998.16,1013.57,1037.02,1064.48,1096.26,1132.68,1174.15,1221.12
922.04,956.82,967.54,982.47,1005.20,1031.82,1062.62,1097.93,1138.12,1183.66
910.53,944.88,955.46,970.21,992.66,1018.95,1049.36,1084.23,1123.92,1168.89
920.57,955.30,966.00,980.91,1003.60,1030.18,1060.93,1096.18,1136.32,1181.78
947.48,983.22,994.23,1009.58,1032.94,1060.29,1091.94,1128.22,1169.53,1216.32
987.82,1025.09,1036.57,1052.57,1076.92,1105.44,1138.44,1176.26,1219.33,1268.11
1034.34,1073.36,1085.38,1102.14,1127.63,1157.50,1192.05,1231.65,1276.75,1327.83
1079.26,1119.98,1132.52,1150.01,1176.61,1207.77,1243.82,1285.15,1332.20,1385.50
1116.06,1158.16,1171.13,1189.21,1216.72,1248.94,1286.23,1328.96,1377.62,1432.73
1140.81,1183.86,1197.11,1215.59,1243.71,1276.65,1314.76,1358.44,1408.18,1464.51
1152.90,1196.39,1209.79,1228.47,1256.89,1290.17,1328.69,1372.83,1423.09,1480.03
1154.70,1198.26,1211.68,1230.38,1258.85,1292.19,1330.76,1374.97,1425.31,1482.33
1150.61,1194.02,1207.39,1226.03,1254.39,1287.62,1326.05,1370.11,1420.27,1477.09
1145.55,1188.77,1202.08,1220.64,1248.87,1281.95,1320.22,1364.08,1414.02,1470.59
1143.34,1186.48,1199.76,1218.28,1246.47,1279.48,1317.67,1361.45,1411.29,1467.76
1145.56,1188.78,1202.09,1220.64,1248.88,1281.96,1320.22,1364.09,1414.03,1470.60
1169.53,1213.65,1227.24,1246.19,1275.01,1308.78,1347.85,1392.63,1443.62,1501.37
1190.36,1235.27,1249.10,1268.38,1297.72,1332.09,1371.86,1417.44,1469.33,1528.12
1200.81,1246.11,1260.06,1279.52,1309.12,1343.79,1383.90,1429.88,1482.23,1541.53
1194.67,1239.75,1253.63,1272.98,1302.43,1336.92,1376.83,1422.58,1474.66,1533.66
1168.60,1212.69,1226.27,1245.20,1274.00,1307.74,1346.78,1391.53,1442.47,1500.18
1123.27,1165.65,1178.70,1196.90,1224.59,1257.02,1294.54,1337.55,1386.52,1442.00
1063.71,1103.84,1116.20,1133.44,1159.66,1190.37,1225.90,1266.63,1313.00,1365.54
998.51,1036.18,1047.79,1063.96,1088.57,1117.40,1150.76,1188.99,1232.52,1281.83
950.89,986.76,997.81,1013.22,1036.65,1064.11,1095.87,1132.28,1173.74,1220.70
921.23,955.98,966.69,981.61,1004.32,1030.92,1061.69,1096.97,1137.13,1182.62
909.45,943.76,954.33,969.06,991.48,1017.74,1048.12,1082.94,1122.59,1167.50
917.77,952.40,963.06,977.93,1000.55,1027.05,1057.71,1092.85,1132.86,1178.18
944.58,980.21,991.19,1006.49,1029.77,1057.05,1088.60,1124.77,1165.95,1212.60
984.83,1021.99,1033.43,1049.39,1073.66,1102.10,1135.00,1172.71,1215.64,1264.27
1031.27,1070.18,1082.17,1098.87,1124.29,1154.07,1188.52,1228.01,1272.96,1323.89
1076.11,1116.71,1129.22,1146.65,1173.17,1204.24,1240.19,1281.40,1328.31,1381.45
1112.81,1154.79,1167.72,1185.75,1213.18,1245.31,1282.48,1325.09,1373.60,1428.56
1137.44,1180.36,1193.58,1212.00,1240.04,1272.88,1310.88,1354.43,1404.02,1460.19
1149.38,1192.75,1206.11,1224.72,1253.06,1286.24,1324.64,1368.65,1418.76,1475.52
1151.02,1194.45,1207.82,1226.47,1254.84,1288.07,1326.53,1370.60,1420.78,1477.62
1146.77,1190.03,1203.36,1221.94,1250.20,1283.31,1321.62,1365.53,1415.52,1472.16
1141.53,1184.60,1197.86,1216.35,1244.49,1277.45,1315.58,1359.29,1409.06,1465.43
1139.14,1182.12,1195.36,1213.81,1241.89,1274.78,1312.83,1356.45,1406.11,1462.37
1141.19,1184.24,1197.50,1215.99,1244.12,1277.07,1315.19,1358.88,1408.63,1464.99
1147.80,1191.10,1204.44,1223.03,1251.33,1284.47,1322.81,1366.76,1416.80,1473.48
1172.16,1216.38,1230.00,1248.99,1277.88,1311.73,1350.88,1395.76,1446.87,1504.75
1187.34,1232.14,1245.93,1265.17,1294.44,1328.72,1368.38,1413.84,1465.61,1524.24
1185.73,1230.46,1244.24,1263.45,1292.67,1326.91,1366.52,1411.92,1463.61,1522.17
1162.86,1206.73,1220.24,1239.08,1267.75,1301.32,1340.17,1384.69,1435.39,1492.81
1118.91,1161.12,1174.13,1192.25,1219.83,1252.14,1289.52,1332.36,1381.14,1436.39
1059.03,1098.98,1111.29,1128.45,1154.55,1185.13,1220.50,1261.05,1307.22,1359.52
992.50,1029.95,1041.48,1057.56,1082.02,1110.68,1143.83,1181.84,1225.11,1274.12
937.36,972.72,983.61,998.80,1021.90,1048.97,1080.28,1116.17,1157.03,1203.32
907.35,941.59,952.13,966.83,989.19,1015.39,1045.70,1080.44,1120.00,1164.81
895.39,929.17,939.57,954.08,976.15,1002.00,1031.91,1066.20,1105.23,1149.45
903.69,937.79,948.29,962.93,985.20,1011.30,1041.48,1076.09,1115.48,1160.11
930.65,965.76,976.57,991.65,1014.59,1041.46,1072.55,1108.18,1148.76,1194.72
971.17,1007.81,1019.10,1034.83,1058.77,1086.81,1119.25,1156.44,1198.78,1246.74
1017.94,1056.34,1068.17,1084.66,1109.75,1139.14,1173.15,1212.12,1256.50,1306.77
1063.09,1103.20,1115.55,1132.77,1158.97,1189.67,1225.18,1265.89,1312.23,1364.73
1100.03,1141.53,1154.31,1172.13,1199.24,1231.00,1267.75,1309.87,1357.83,1412.15
1124.80,1167.24,1180.31,1198.53,1226.26,1258.73,1296.31,1339.38,1388.41,1443.96
1136.77,1179.66,1192.87,1211.28,1239.30,1272.13,1310.10,1353.63,1403.18,1459.32
1138.34,1181.29,1194.52,1212.96,1241.02,1273.88,1311.91,1355.50,1405.13,1461.34
1133.96,1176.75,1189.92,1208.29,1236.24,1268.99,1306.87,1350.29,1399.72,1455.72
1128.59,1171.17,1184.28,1202.56,1230.38,1262.97,1300.67,1343.88,1393.08,1448.82
1126.08,1168.57,1181.65,1199.90,1227.65,1260.17,1297.78,1340.90,1389.99,1445.60
1128.04,1170.60,1183.71,1201.98,1229.78,1262.35,1300.04,1343.23,1392.41,1448.11
1133.27,1176.02,1189.19,1207.55,1235.48,1268.20,1306.06,1349.45,1398.86,1454.82
1140.06,1183.08,1196.33,1214.79,1242.89,1275.81,1313.90,1357.55,1407.25,1463.55
1160.37,1204.15,1217.63,1236.43,1265.03,1298.53,1337.30,1381.73,1432.31,1489.62
1164.99,1208.95,1222.48,1241.36,1270.07,1303.71,1342.63,1387.23,1438.02,1495.55
1147.20,1190.48,1203.81,1222.39,1250.67,1283.79,1322.12,1366.04,1416.05,1472.71
1105.73,1147.45,1160.30,1178.21,1205.47,1237.39,1274.33,1316.67,1364.88,1419.48
1045.61,1085.06,1097.21,1114.14,1139.92,1170.11,1205.04,1245.07,1290.66,1342.29
977.13,1014.00,1025.35,1041.18,1065.27,1093.48,1126.12,1163.53,1206.13,1254.39
903.31,937.39,947.89,962.52,984.79,1010.87,1041.05,1075.63,1115.01,1159.62
