2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
2951.49,3062.85,3097.14,3144.96,3217.71,3302.93,3401.52,3514.53,3643.21,3788.96
2861.88,2969.86,3003.11,3049.47,3120.02,3202.65,3298.25,3407.83,3532.60,3673.93
2826.56,2933.20,2966.04,3011.83,3081.50,3163.11,3257.54,3365.76,3488.99,3628.58
2857.39,2965.19,2998.40,3044.68,3115.12,3197.62,3293.07,3402.48,3527.05,3668.16
2940.01,3050.93,3085.10,3132.72,3205.19,3290.08,3388.29,3500.86,3629.03,3774.23
3063.89,3179.48,3215.08,3264.72,3340.24,3428.70,3531.05,3648.37,3781.94,3933.25
3206.74,3327.72,3364.98,3416.93,3495.97,3588.56,3695.68,3818.47,3958.27,4116.63
3344.68,3470.87,3509.73,3563.91,3646.36,3742.93,3854.66,3982.72,4128.54,4293.71
3457.66,3588.11,3628.29,3684.30,3769.53,3869.36,3984.87,4117.26,4268.00,4438.75
3533.69,3667.01,3708.07,3765.31,3852.42,3954.44,4072.49,4207.79,4361.85,4536.35
3570.79,3705.51,3747.00,3804.85,3892.87,3995.96,4115.25,4251.97,4407.64,4583.99
3576.32,3711.24,3752.80,3810.73,3898.89,4002.14,4121.61,4258.55,4414.46,4591.08
3563.78,3698.23,3739.64,3797.37,3885.22,3988.11,4107.16,4243.62,4398.99,4574.98
3548.23,3682.10,3723.33,3780.81,3868.27,3970.72,4089.25,4225.11,4379.80,4555.02
3541.45,3675.06,3716.21,3773.58,3860.88,3963.13,4081.43,4217.03,4371.43,4546.32
3563.92,3698.38,3739.79,3797.53,3885.38,3988.27,4107.33,4243.79,4399.16,4575.17
3634.81,3771.94,3814.18,3873.06,3962.66,4067.60,4189.03,4328.20,4486.66,4666.17
3695.01,3834.42,3877.36,3937.21,4028.29,4134.98,4258.41,4399.89,4560.98,4743.46
3723.19,3863.66,3906.92,3967.24,4059.01,4166.51,4290.89,4433.45,4595.76,4779.63
3701.08,3840.71,3883.72,3943.68,4034.90,4141.76,4265.40,4407.11,4568.46,4751.24
3618.86,3755.39,3797.44,3856.06,3945.27,4049.75,4170.64,4309.21,4466.97,4645.69
3478.80,3610.04,3650.47,3706.82,3792.57,3893.01,4009.22,4142.43,4294.09,4465.88
3296.12,3420.47,3458.77,3512.17,3593.41,3688.58,3798.69,3924.90,4068.59,4231.37
3096.74,3213.57,3249.56,3299.72,3376.06,3465.47,3568.92,3687.49,3822.49,3975.42
2947.49,3058.70,3092.95,3140.69,3213.35,3298.45,3396.91,3509.77,3638.27,3783.83
2856.41,2964.18,2997.37,3043.64,3114.05,3196.52,3291.94,3401.31,3525.84,3666.90
2820.24,2926.64,2959.41,3005.10,3074.62,3156.05,3250.26,3358.24,3481.19,3620.47
2845.78,2953.14,2986.21,3032.31,3102.45,3184.62,3279.68,3388.65,3512.71,3653.25
2928.08,3038.55,3072.57,3120.01,3192.18,3276.72,3374.54,3486.65,3614.31,3758.91
3051.68,3166.82,3202.28,3251.72,3326.94,3415.05,3516.99,3633.84,3766.88,3917.58
3194.28,3314.79,3351.91,3403.66,3482.39,3574.62,3681.33,3803.63,3942.89,4100.64
3331.95,3457.66,3496.37,3550.35,3632.48,3728.68,3839.99,3967.57,4112.83,4277.37
3444.61,3574.57,3614.60,3670.40,3755.31,3854.76,3969.83,4101.73,4251.90,4422.01
3520.26,3653.07,3693.98,3751.00,3837.78,3939.41,4057.01,4191.80,4345.27,4519.12
3556.92,3691.11,3732.44,3790.06,3877.74,3980.43,4099.26,4235.45,4390.52,4566.17
3561.94,3696.32,3737.71,3795.41,3883.21,3986.05,4105.04,4241.43,4396.71,4572.62
3548.86,3682.75,3723.99,3781.48,3868.95,3971.42,4089.97,4225.85,4380.57,4555.83
3532.76,3666.04,3707.09,3764.32,3851.40,3953.40,4071.41,4206.68,4360.70,4535.16
3525.43,3658.43,3699.40,3756.51,3843.41,3945.19,4062.96,4197.95,4351.64,4525.75
3531.69,3664.93,3705.97,3763.18,3850.23,3952.20,4070.18,4205.41,4359.37,4533.79
3562.14,3696.53,3737.92,3795.62,3883.43,3986.28,4105.27,4241.66,4396.96,4572.87
3634.74,3771.87,3814.11,3872.99,3962.58,4067.52,4188.95,4328.12,4486.58,4666.08
3678.45,3817.23,3859.98,3919.57,4010.24,4116.44,4239.32,4380.17,4540.53,4722.19
3670.70,3809.19,3851.84,3911.30,4001.78,4107.77,4230.39,4370.94,4530.97,4712.24
3598.46,3734.22,3776.03,3834.33,3923.02,4026.92,4147.13,4284.91,4441.79,4619.50
3462.54,3593.18,3633.41,3689.50,3774.85,3874.82,3990.49,4123.07,4274.02,4445.02
3278.70,3402.40,3440.50,3493.61,3574.43,3669.10,3778.62,3904.16,4047.10,4209.02
3075.05,3191.07,3226.80,3276.62,3352.41,3441.20,3543.92,3661.67,3795.73,3947.59
2895.88,3005.13,3038.78,3085.69,3157.08,3240.69,3337.43,3448.31,3574.56,3717.57
2803.73,2909.51,2942.09,2987.51,3056.62,3137.57,3231.23,3338.59,3460.82,3599.28
2766.97,2871.37,2903.52,2948.34,3016.55,3096.44,3188.87,3294.82,3415.44,3552.09
2792.46,2897.81,2930.26,2975.50,3044.33,3124.95,3218.24,3325.16,3446.90,3584.80
2875.21,2983.69,3017.10,3063.67,3134.55,3217.56,3313.61,3423.70,3549.05,3691.04
2999.63,3112.80,3147.65,3196.25,3270.19,3356.79,3457.00,3571.85,3702.62,3850.76
3143.21,3261.80,3298.32,3349.24,3426.72,3517.47,3622.47,3742.82,3879.85,4035.08
3281.83,3405.65,3443.78,3496.95,3577.84,3672.59,3782.23,3907.89,4050.96,4213.03
3395.23,3523.33,3562.78,3617.78,3701.47,3799.50,3912.92,4042.93,4190.94,4358.61
3471.30,3602.26,3642.60,3698.83,3784.40,3884.62,4000.58,4133.50,4284.83,4456.26
3508.03,3640.38,3681.14,3737.97,3824.44,3925.73,4042.92,4177.24,4330.17,4503.41
3512.84,3645.37,3686.19,3743.10,3829.69,3931.11,4048.46,4182.97,4336.11,4509.59
3499.38,3631.40,3672.07,3728.75,3815.01,3916.05,4032.95,4166.94,4319.49,4492.31
3482.85,3614.25,3654.72,3711.14,3796.99,3897.55,4013.90,4147.26,4299.09,4471.09
3475.14,3606.25,3646.63,3702.93,3788.59,3888.93,4005.02,4138.08,4289.58,4461.20
3481.13,3612.47,3652.92,3709.31,3795.12,3895.62,4011.91,4145.21,4296.97,4468.88
3497.16,3629.10,3669.74,3726.39,3812.59,3913.56,4030.39,4164.29,4316.75,4489.46
3525.81,3658.84,3699.81,3756.92,3843.83,3945.63,4063.41,4198.42,4352.13,4526.25
3586.01,3721.31,3762.97,3821.07,3909.46,4013.00,4132.79,4270.10,4426.43,4603.52
3597.53,3733.25,3775.06,3833.34,3922.01,4025.88,4146.06,4283.81,4440.64,4618.31
3540.61,3674.19,3715.33,3772.69,3859.96,3962.19,4080.47,4216.04,4370.39,4545.24
3412.06,3540.79,3580.43,3635.71,3719.81,3818.33,3932.31,4062.96,4211.71,4380.21
3227.29,3349.05,3386.55,3438.83,3518.38,3611.56,3719.37,3842.94,3983.64,4143.02
3017.60,3131.45,3166.51,3215.39,3289.78,3376.90,3477.71,3593.25,3724.80,3873.83
2776.38,2881.13,2913.39,2958.36,3026.80,3106.96,3199.71,3306.01,3427.05,3564.16
2685.32,2786.63,2817.84,2861.34,2927.53,3005.06,3094.77,3197.59,3314.65,3447.27
2648.93,2748.86,2779.64,2822.56,2887.85,2964.33,3052.82,3154.25,3269.73,3400.54
2668.61,2769.30,2800.30,2843.54,2909.31,2986.36,3075.51,3177.69,3294.03,3425.82
2749.28,2853.01,2884.95,2929.49,2997.26,3076.64,3168.48,3273.75,3393.61,3529.38
2870.62,2978.92,3012.28,3058.78,3129.54,3212.42,3308.31,3418.23,3543.38,3685.14
3010.64,3124.22,3159.21,3207.98,3282.19,3369.11,3469.68,3584.96,3716.21,3864.89
3145.79,3264.48,3301.03,3351.99,3429.53,3520.36,3625.44,3745.90,3883.04,4038.39
3256.30,3379.16,3417.00,3469.75,3550.01,3644.03,3752.81,3877.49,4019.45,4180.26
3330.35,3456.00,3494.70,3548.65,3630.74,3726.89,3838.15,3965.66,4110.85,4275.32
3366.00,3492.99,3532.10,3586.63,3669.60,3766.79,3879.23,4008.11,4154.86,4321.08
3370.51,3497.67,3536.84,3591.44,3674.52,3771.83,3884.43,4013.48,4160.42,4326.87
3357.23,3483.89,3522.90,3577.28,3660.04,3756.97,3869.12,3997.67,4144.03,4309.82
3341.01,3467.06,3505.88,3560.00,3642.36,3738.82,3850.43,3978.36,4124.01,4289.00
3333.48,3459.24,3497.97,3551.98,3634.14,3730.39,3841.75,3969.38,4114.71,4279.33
3339.38,3465.37,3504.17,3558.27,3640.58,3737.00,3848.55,3976.42,4122.00,4286.91
3355.15,3481.74,3520.72,3575.08,3657.78,3754.65,3866.73,3995.20,4141.47,4307.16
3369.99,3497.13,3536.29,3590.88,3673.95,3771.25,3883.82,4012.86,4159.78,4326.20
3382.16,3509.77,3549.07,3603.86,3687.22,3784.87,3897.86,4027.36,4174.81,4341.83
3418.01,3546.97,3586.68,3642.05,3726.30,3824.99,3939.17,4070.05,4219.06,4387.85
3388.07,3515.90,3555.27,3610.15,3693.66,3791.49,3904.67,4034.40,4182.10,4349.42
3278.40,3402.09,3440.19,3493.30,3574.10,3668.76,3778.28,3903.81,4046.73,4208.63
3100.30,3217.27,3253.30,3303.52,3379.94,3469.45,3573.02,3691.73,3826.89,3980.00
2888.52,2997.50,3031.06,3077.85,3149.05,3232.45,3328.95,3439.55,3565.47,3708.12
2683.59,2784.84,2816.02,2859.50,2925.64,3003.13,3092.77,3195.53,3312.52,3445.05
2593.04,2690.88,2721.01,2763.01,2826.93,2901.80,2988.42,3087.71,3200.75,3328.81
2557.32,2653.80,2683.52,2724.95,2787.98,2861.82,2947.25,3045.17,3156.65,3282.95
2588.37,2686.02,2716.10,2758.03,2821.83,2896.56,2983.03,3082.14,3194.98,3322.80
2671.77,2772.57,2803.61,2846.90,2912.75,2989.89,3079.15,3181.45,3297.92,3429.87
2796.83,2902.35,2934.85,2980.16,3049.10,3129.85,3223.28,3330.37,3452.30,3590.42
2941.05,3052.01,3086.19,3133.83,3206.33,3291.24,3389.49,3502.10,3630.32,3775.56
3080.31,3196.52,3232.31,3282.21,3358.14,3447.08,3549.98,3667.92,3802.21,3954.33
3194.34,3314.86,3351.97,3403.72,3482.46,3574.69,3681.40,3803.71,3942.97,4100.72
