2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
2651.69,2751.73,2782.54,2825.50,2890.86,2967.42,3056.00,3157.54,3273.14,3404.09
2571.18,2668.18,2698.06,2739.71,2803.09,2877.33,2963.22,3061.67,3173.76,3300.74
2539.44,2635.25,2664.75,2705.89,2768.49,2841.81,2926.64,3023.87,3134.58,3259.99
2567.14,2663.99,2693.82,2735.41,2798.69,2872.81,2958.56,3056.86,3168.77,3295.55
2641.37,2741.03,2771.72,2814.51,2879.62,2955.88,3044.12,3145.25,3260.41,3390.85
2752.67,2856.53,2888.51,2933.10,3000.95,3080.43,3172.38,3277.78,3397.79,3533.73
2881.02,2989.71,3023.19,3069.86,3140.87,3224.06,3320.30,3430.61,3556.21,3698.49
3004.95,3118.32,3153.24,3201.92,3275.99,3362.75,3463.13,3578.19,3709.19,3857.59
3106.47,3223.67,3259.76,3310.09,3386.66,3476.35,3580.12,3699.07,3834.50,3987.91
3174.77,3294.55,3331.44,3382.87,3461.13,3552.79,3658.85,3780.41,3918.81,4075.60
3208.11,3329.15,3366.42,3418.39,3497.47,3590.10,3697.26,3820.10,3959.96,4118.39
3213.07,3334.30,3371.63,3423.68,3502.88,3595.65,3702.98,3826.01,3966.09,4124.76
3201.81,3322.60,3359.81,3411.68,3490.60,3583.04,3690.00,3812.60,3952.18,4110.30
3187.84,3308.11,3345.15,3396.79,3475.37,3567.41,3673.90,3795.97,3934.94,4092.37
3181.75,3301.79,3338.76,3390.30,3468.73,3560.59,3666.88,3788.71,3927.42,4084.55
3198.81,3319.49,3356.66,3408.48,3487.33,3579.69,3686.54,3809.03,3948.48,4106.45
3263.04,3386.15,3424.06,3476.92,3557.35,3651.57,3760.57,3885.51,4027.77,4188.91
3317.88,3443.06,3481.62,3535.36,3617.15,3712.94,3823.78,3950.82,4095.46,4259.32
3343.98,3470.14,3509.00,3563.17,3645.60,3742.15,3853.85,3981.90,4127.68,4292.82
3324.77,3450.21,3488.84,3542.70,3624.65,3720.64,3831.71,3959.02,4103.96,4268.15
3251.33,3373.99,3411.77,3464.44,3544.58,3638.46,3747.07,3871.56,4013.31,4173.87
3125.66,3243.59,3279.91,3330.54,3407.58,3497.83,3602.24,3721.93,3858.19,4012.55
2961.49,3073.22,3107.63,3155.60,3228.60,3314.11,3413.04,3526.43,3655.54,3801.79
2782.19,2887.16,2919.48,2964.55,3033.13,3113.46,3206.40,3312.93,3434.22,3571.62
2648.11,2748.02,2778.79,2821.68,2886.96,2963.42,3051.88,3153.27,3268.72,3399.49
2566.27,2663.10,2692.91,2734.49,2797.74,2871.84,2957.57,3055.83,3167.71,3294.44
2533.78,2629.37,2658.81,2699.86,2762.31,2835.47,2920.11,3017.13,3127.59,3252.72
2556.72,2653.18,2682.89,2724.30,2787.32,2861.14,2946.55,3044.45,3155.91,3282.17
2630.67,2729.92,2760.48,2803.10,2867.94,2943.90,3031.78,3132.50,3247.19,3377.10
2741.72,2845.16,2877.02,2921.43,2989.01,3068.17,3159.76,3264.74,3384.27,3519.67
2869.84,2978.11,3011.46,3057.95,3128.69,3211.55,3307.41,3417.30,3542.41,3684.14
2993.53,3106.47,3141.25,3189.75,3263.53,3349.97,3449.97,3564.59,3695.09,3842.93
3094.76,3211.52,3247.48,3297.61,3373.89,3463.24,3566.63,3685.13,3820.04,3972.88
3162.72,3282.04,3318.79,3370.03,3447.99,3539.30,3644.96,3766.06,3903.94,4060.13
3195.65,3316.22,3353.35,3405.12,3483.89,3576.16,3682.91,3805.27,3944.59,4102.40
3200.16,3320.90,3358.09,3409.93,3488.81,3581.20,3688.11,3810.64,3950.16,4108.19
3188.41,3308.71,3345.76,3397.41,3476.00,3568.06,3674.57,3796.65,3935.65,4093.11
3173.95,3293.70,3330.58,3381.99,3460.23,3551.87,3657.90,3779.43,3917.80,4074.54
3167.36,3286.86,3323.66,3374.97,3453.05,3544.50,3650.30,3771.58,3909.66,4066.08
3172.99,3292.70,3329.57,3380.97,3459.18,3550.79,3656.79,3778.28,3916.61,4073.31
3203.99,3324.87,3362.10,3414.01,3492.98,3585.49,3692.52,3815.20,3954.88,4113.11
3268.44,3391.75,3429.73,3482.68,3563.24,3657.61,3766.79,3891.94,4034.43,4195.84
3306.67,3431.43,3469.85,3523.41,3604.92,3700.39,3810.85,3937.47,4081.62,4244.92
3298.71,3423.16,3461.49,3514.93,3596.24,3691.48,3801.68,3927.98,4071.79,4234.70
3233.07,3355.05,3392.62,3444.99,3524.68,3618.03,3726.03,3849.83,3990.77,4150.44
3110.62,3227.97,3264.12,3314.51,3391.18,3480.99,3584.91,3704.01,3839.62,3993.24
2945.46,3056.59,3090.81,3138.53,3211.13,3296.17,3394.57,3507.35,3635.76,3781.22
2762.72,2866.95,2899.05,2943.81,3011.91,3091.67,3183.96,3289.75,3410.19,3546.62
2601.78,2699.94,2730.17,2772.31,2836.45,2911.57,2998.48,3098.10,3211.53,3340.01
2518.99,2614.02,2643.29,2684.10,2746.19,2818.92,2903.07,2999.52,3109.34,3233.74
2485.96,2579.75,2608.64,2648.91,2710.19,2781.96,2865.01,2960.19,3068.57,3191.34
2508.86,2603.51,2632.67,2673.31,2735.15,2807.59,2891.40,2987.46,3096.83,3220.73
2583.21,2680.67,2710.68,2752.53,2816.20,2890.79,2977.08,3075.99,3188.61,3316.18
2694.99,2796.67,2827.99,2871.64,2938.07,3015.88,3105.91,3209.10,3326.59,3459.68
2824.00,2930.54,2963.35,3009.10,3078.71,3160.25,3254.58,3362.71,3485.83,3625.29
2948.54,3059.79,3094.05,3141.81,3214.49,3299.62,3398.12,3511.02,3639.56,3785.18
3050.43,3165.52,3200.97,3250.38,3325.57,3413.65,3515.55,3632.35,3765.33,3915.98
3118.77,3236.44,3272.68,3323.20,3400.08,3490.12,3594.31,3713.73,3849.69,4003.71
3151.78,3270.69,3307.31,3358.37,3436.06,3527.06,3632.34,3753.02,3890.43,4046.08
3156.10,3275.17,3311.85,3362.97,3440.77,3531.89,3637.32,3758.17,3895.76,4051.62
3144.00,3262.62,3299.15,3350.08,3427.58,3518.36,3623.38,3743.77,3880.83,4036.10
3129.15,3247.21,3283.57,3334.26,3411.39,3501.74,3606.27,3726.09,3862.50,4017.03
3122.23,3240.03,3276.30,3326.88,3403.84,3493.99,3598.29,3717.84,3853.96,4008.14
3127.61,3245.61,3281.95,3332.61,3409.71,3500.01,3604.49,3724.24,3860.59,4015.05
3142.01,3260.55,3297.06,3347.96,3425.41,3516.12,3621.09,3741.39,3878.37,4033.54
3176.51,3296.36,3333.27,3384.72,3463.02,3554.74,3660.85,3782.48,3920.96,4077.83
3228.20,3350.00,3387.51,3439.80,3519.37,3612.58,3720.42,3844.03,3984.76,4144.19
3235.55,3357.62,3395.22,3447.63,3527.38,3620.80,3728.89,3852.78,3993.83,4153.62
3181.89,3301.94,3338.91,3390.45,3468.89,3560.76,3667.05,3788.88,3927.60,4084.73
3065.01,3180.65,3216.27,3265.92,3341.47,3429.96,3532.35,3649.71,3783.33,3934.69
2898.88,3008.25,3041.93,3088.89,3160.35,3244.05,3340.89,3451.88,3578.26,3721.42
2711.14,2813.43,2844.93,2888.85,2955.68,3033.95,3124.52,3228.33,3346.52,3480.41
2494.48,2588.59,2617.57,2657.98,2719.47,2791.49,2874.82,2970.33,3079.08,3202.27
2412.66,2503.69,2531.72,2570.81,2630.28,2699.94,2780.53,2872.92,2978.10,3097.24
2379.96,2469.76,2497.41,2535.96,2594.63,2663.34,2742.85,2833.98,2937.73,3055.26
2397.65,2488.11,2515.97,2554.81,2613.91,2683.14,2763.23,2855.04,2959.57,3077.97
2470.13,2563.33,2592.03,2632.04,2692.93,2764.25,2846.76,2941.35,3049.03,3171.02
2579.15,2676.45,2706.42,2748.20,2811.78,2886.24,2972.40,3071.16,3183.60,3310.96
2704.95,2807.00,2838.43,2882.25,2948.93,3027.03,3117.39,3220.96,3338.88,3472.46
2826.38,2933.02,2965.86,3011.64,3081.31,3162.92,3257.33,3365.55,3488.77,3628.35
2925.67,3036.05,3070.05,3117.44,3189.56,3274.03,3371.77,3483.79,3611.34,3755.82
2992.20,3105.09,3139.86,3188.33,3262.09,3348.48,3448.44,3563.01,3693.46,3841.22
3024.23,3138.33,3173.47,3222.46,3297.01,3384.32,3485.35,3601.15,3732.99,3882.34
3028.28,3142.54,3177.72,3226.78,3301.42,3388.86,3490.02,3605.97,3737.99,3887.54
3016.35,3130.15,3165.20,3214.06,3288.41,3375.50,3476.27,3591.76,3723.26,3872.22
3001.78,3115.03,3149.91,3198.54,3272.53,3359.20,3459.47,3574.41,3705.28,3853.52
