2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
2942.96,3053.99,3088.19,3135.86,3208.40,3293.37,3391.69,3504.37,3632.67,3778.01
2852.97,2960.60,2993.75,3039.97,3110.29,3192.66,3287.97,3397.21,3521.59,3662.48
2817.49,2923.78,2956.52,3002.16,3071.61,3152.96,3247.08,3354.96,3477.79,3616.93
2848.45,2955.92,2989.02,3035.16,3105.37,3187.61,3282.77,3391.83,3516.01,3656.68
2931.43,3042.02,3076.09,3123.57,3195.83,3280.47,3378.39,3490.64,3618.44,3763.20
3055.83,3171.12,3206.63,3256.13,3331.45,3419.68,3521.77,3638.77,3771.99,3922.90
3199.29,3319.99,3357.17,3408.99,3487.85,3580.22,3687.10,3809.60,3949.07,4107.07
3337.82,3463.75,3502.53,3556.60,3638.88,3735.25,3846.75,3974.56,4120.07,4284.91
3451.28,3581.49,3621.60,3677.51,3762.58,3862.23,3977.52,4109.67,4260.13,4430.57
3527.64,3660.73,3701.72,3758.86,3845.82,3947.67,4065.51,4200.58,4354.37,4528.58
3564.90,3699.39,3740.82,3798.57,3886.44,3989.37,4108.45,4244.95,4400.37,4576.42
3570.44,3705.15,3746.64,3804.48,3892.48,3995.57,4114.85,4251.56,4407.21,4583.54
3557.85,3692.08,3733.42,3791.06,3878.76,3981.48,4100.33,4236.56,4391.67,4567.37
3542.24,3675.88,3717.04,3774.42,3861.74,3964.01,4082.34,4217.97,4372.40,4547.33
3535.43,3668.81,3709.89,3767.16,3854.31,3956.39,4074.49,4209.86,4363.99,4538.58
3554.50,3688.60,3729.90,3787.48,3875.10,3977.73,4096.47,4232.57,4387.53,4563.06
3626.29,3763.11,3805.24,3863.99,3953.37,4058.07,4179.21,4318.06,4476.15,4655.23
3687.60,3826.72,3869.57,3929.31,4020.20,4126.67,4249.86,4391.06,4551.82,4733.93
3716.77,3856.99,3900.18,3960.39,4052.00,4159.32,4283.48,4425.79,4587.83,4771.38
3695.29,3834.70,3877.64,3937.50,4028.59,4135.28,4258.73,4400.22,4561.32,4743.81
3613.20,3749.51,3791.50,3850.03,3939.09,4043.41,4164.12,4302.47,4459.99,4638.42
3472.73,3603.75,3644.10,3700.36,3785.96,3886.23,4002.24,4135.21,4286.60,4458.10
3289.22,3413.32,3451.54,3504.82,3585.90,3680.87,3790.75,3916.69,4060.09,4222.52
3088.81,3205.34,3241.24,3291.27,3367.41,3456.59,3559.78,3678.05,3812.70,3965.24
2941.00,3051.96,3086.13,3133.77,3206.27,3291.18,3389.43,3502.04,3630.25,3775.49
2849.54,2957.04,2990.16,3036.32,3106.55,3188.83,3284.02,3393.13,3517.35,3658.08
2813.22,2919.36,2952.04,2997.62,3066.96,3148.18,3242.16,3349.88,3472.52,3611.45
2838.87,2945.97,2978.96,3024.95,3094.92,3176.89,3271.72,3380.42,3504.19,3644.38
2921.53,3031.75,3065.70,3113.03,3185.04,3269.39,3366.99,3478.85,3606.22,3750.50
3045.67,3160.58,3195.97,3245.31,3320.38,3408.32,3510.06,3626.68,3759.46,3909.86
3188.88,3309.19,3346.25,3397.90,3476.51,3568.58,3675.10,3797.21,3936.23,4093.71
3327.15,3452.67,3491.33,3545.23,3627.24,3723.31,3834.45,3961.85,4106.90,4271.20
3440.30,3570.10,3610.07,3665.80,3750.60,3849.93,3964.86,4096.59,4246.57,4416.47
3516.28,3648.94,3689.80,3746.76,3833.43,3934.96,4052.42,4187.06,4340.35,4514.00
3553.09,3687.15,3728.43,3785.99,3873.57,3976.16,4094.85,4230.90,4385.80,4561.27
3558.14,3692.38,3733.73,3791.37,3879.07,3981.81,4100.67,4236.91,4392.03,4567.75
3545.02,3678.76,3719.95,3777.38,3864.76,3967.12,4085.54,4221.28,4375.83,4550.89
3528.85,3661.99,3703.00,3760.16,3847.14,3949.03,4066.92,4202.03,4355.88,4530.15
3521.50,3654.36,3695.28,3752.32,3839.12,3940.80,4058.44,4193.27,4346.80,4520.70
3527.79,3660.89,3701.88,3759.03,3845.99,3947.84,4065.69,4200.77,4354.57,4528.78
3566.53,3701.09,3742.53,3800.31,3888.22,3991.20,4110.34,4246.90,4402.39,4578.52
3637.70,3774.94,3817.21,3876.14,3965.81,4070.84,4192.36,4331.64,4490.23,4669.88
3679.27,3818.08,3860.84,3920.44,4011.13,4117.36,4240.27,4381.15,4541.55,4723.25
3669.26,3807.69,3850.33,3909.77,4000.21,4106.15,4228.73,4369.22,4529.19,4710.39
3595.09,3730.73,3772.50,3830.74,3919.36,4023.15,4143.25,4280.91,4437.64,4615.18
3457.84,3588.30,3628.48,3684.49,3769.73,3869.56,3985.08,4117.47,4268.22,4438.98
3273.26,3396.76,3434.79,3487.82,3568.50,3663.01,3772.35,3897.68,4040.38,4202.03
3069.26,3185.06,3220.72,3270.44,3346.10,3434.72,3537.25,3654.77,3788.58,3940.15
2896.11,3005.38,3039.03,3085.95,3157.33,3240.95,3337.70,3448.59,3574.85,3717.87
2803.59,2909.36,2941.94,2987.36,3056.46,3137.41,3231.06,3338.41,3460.64,3599.09
2766.69,2871.07,2903.22,2948.03,3016.23,3096.11,3188.54,3294.47,3415.09,3551.72
2792.29,2897.64,2930.08,2975.32,3044.15,3124.77,3218.05,3324.96,3446.69,3584.59
2875.41,2983.89,3017.31,3063.88,3134.76,3217.78,3313.84,3423.94,3549.29,3691.29
3000.37,3113.57,3148.43,3197.04,3270.99,3357.62,3457.85,3572.74,3703.54,3851.71
3144.58,3263.22,3299.76,3350.70,3428.21,3519.00,3624.05,3744.45,3881.54,4036.83
3283.80,3407.70,3445.85,3499.05,3579.99,3674.80,3784.50,3910.24,4053.40,4215.57
3397.71,3525.90,3565.38,3620.42,3704.17,3802.27,3915.77,4045.87,4193.99,4361.79
3474.11,3605.18,3645.55,3701.83,3787.46,3887.77,4003.82,4136.85,4288.30,4459.87
3511.01,3643.47,3684.27,3741.15,3827.69,3929.06,4046.35,4180.78,4333.85,4507.24
3515.85,3648.50,3689.35,3746.31,3832.97,3934.48,4051.93,4186.55,4339.83,4513.45
3502.35,3634.48,3675.18,3731.91,3818.24,3919.37,4036.37,4170.47,4323.16,4496.12
3485.76,3617.27,3657.77,3714.24,3800.16,3900.80,4017.25,4150.72,4302.68,4474.82
3478.03,3609.25,3649.67,3706.01,3791.74,3892.16,4008.34,4141.52,4293.14,4464.90
3484.06,3615.50,3655.99,3712.43,3798.30,3898.90,4015.29,4148.69,4300.58,4472.64
