2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
4237.24,4397.11,4446.34,4514.98,4619.43,4741.77,4883.31,5045.56,5230.28,5439.53
4107.42,4262.39,4310.12,4376.65,4477.90,4596.49,4733.70,4890.97,5070.04,5272.88
4056.24,4209.28,4256.41,4322.12,4422.10,4539.21,4674.72,4830.03,5006.86,5207.18
4100.91,4255.63,4303.28,4369.71,4470.80,4589.20,4726.19,4883.22,5062.00,5264.52
4220.60,4379.84,4428.88,4497.25,4601.29,4723.14,4864.14,5025.74,5209.74,5418.17
4400.06,4566.07,4617.19,4688.47,4796.93,4923.97,5070.96,5239.43,5431.26,5648.55
4607.00,4780.82,4834.35,4908.98,5022.54,5155.55,5309.45,5485.85,5686.70,5914.21
4806.84,4988.19,5044.04,5121.91,5240.40,5379.18,5539.76,5723.81,5933.37,6170.75
4970.51,5158.04,5215.80,5296.32,5418.84,5562.35,5728.39,5918.71,6135.40,6380.87
5080.65,5272.34,5331.37,5413.68,5538.91,5685.60,5855.32,6049.86,6271.36,6522.26
5134.40,5328.12,5387.77,5470.95,5597.51,5745.75,5917.27,6113.86,6337.70,6591.26
5142.40,5336.42,5396.17,5479.47,5606.23,5754.70,5926.49,6123.39,6347.58,6601.53
5124.24,5317.57,5377.11,5460.12,5586.43,5734.38,5905.56,6101.76,6325.16,6578.21
5101.72,5294.20,5353.48,5436.12,5561.87,5709.17,5879.60,6074.94,6297.36,6549.30
5091.89,5284.00,5343.16,5425.65,5551.16,5698.18,5868.27,6063.24,6285.23,6536.68
5104.26,5296.84,5356.15,5438.83,5564.65,5712.02,5882.54,6077.98,6300.50,6552.57
5210.46,5407.04,5467.59,5551.99,5680.43,5830.86,6004.93,6204.43,6431.59,6688.90
5302.53,5502.58,5564.19,5650.09,5780.79,5933.89,6111.03,6314.06,6545.23,6807.09
5348.38,5550.16,5612.31,5698.95,5830.78,5985.20,6163.87,6368.65,6601.82,6865.95
5320.56,5521.30,5583.12,5669.31,5800.46,5954.08,6131.81,6335.54,6567.49,6830.24
5204.23,5400.57,5461.04,5545.35,5673.63,5823.89,5997.74,6197.01,6423.89,6680.90
5002.45,5191.19,5249.31,5330.35,5453.66,5598.09,5765.20,5956.74,6174.83,6421.87
4737.54,4916.28,4971.32,5048.07,5164.84,5301.63,5459.89,5641.29,5847.83,6081.78
4447.63,4615.43,4667.11,4739.16,4848.79,4977.20,5125.78,5296.08,5489.98,5709.62
4235.20,4394.99,4444.20,4512.81,4617.20,4739.48,4880.96,5043.13,5227.76,5436.91
4103.26,4258.07,4305.75,4372.22,4473.36,4591.84,4728.91,4886.02,5064.91,5267.54
4050.88,4203.71,4250.78,4316.40,4416.25,4533.21,4668.53,4823.64,5000.24,5200.29
4087.88,4242.11,4289.61,4355.83,4456.59,4574.62,4711.18,4867.70,5045.92,5247.79
4207.13,4365.85,4414.74,4482.89,4586.59,4708.06,4848.61,5009.70,5193.11,5400.87
4386.20,4551.69,4602.65,4673.71,4781.82,4908.46,5054.99,5222.94,5414.16,5630.76
4592.79,4766.07,4819.44,4893.84,5007.04,5139.65,5293.08,5468.93,5669.16,5895.97
4792.25,4973.05,5028.73,5106.36,5224.49,5362.85,5522.94,5706.44,5915.36,6152.02
4955.48,5142.44,5200.02,5280.29,5402.44,5545.52,5711.06,5900.80,6116.84,6361.56
5065.08,5256.17,5315.03,5397.08,5521.93,5668.17,5837.37,6031.31,6252.13,6502.26
5118.19,5311.29,5370.76,5453.67,5579.83,5727.61,5898.59,6094.56,6317.69,6570.45
5125.48,5318.85,5378.41,5461.44,5587.78,5735.76,5906.98,6103.23,6326.68,6579.80
5106.54,5299.20,5358.54,5441.26,5567.13,5714.57,5885.16,6080.69,6303.31,6555.49
5083.23,5275.01,5334.08,5416.42,5541.72,5688.49,5858.30,6052.93,6274.54,6525.57
5072.62,5264.00,5322.94,5405.12,5530.15,5676.61,5846.07,6040.30,6261.44,6511.95
5081.71,5273.43,5332.48,5414.80,5540.06,5686.78,5856.54,6051.11,6272.65,6523.61
5128.77,5322.27,5381.86,5464.94,5591.36,5739.44,5910.78,6107.15,6330.75,6584.03
5233.33,5430.77,5491.58,5576.36,5705.36,5856.46,6031.28,6231.66,6459.81,6718.26
5295.83,5495.63,5557.16,5642.95,5773.49,5926.39,6103.31,6306.08,6536.96,6798.49
5283.80,5483.15,5544.55,5630.14,5760.38,5912.94,6089.45,6291.76,6522.12,6783.05
5178.57,5373.95,5434.12,5518.01,5645.66,5795.18,5968.17,6166.46,6392.22,6647.96
4981.41,5169.35,5227.23,5307.93,5430.72,5574.54,5740.95,5931.69,6148.85,6394.86
4715.11,4893.00,4947.79,5024.17,5140.40,5276.53,5434.05,5614.59,5820.14,6053.00
4420.28,4587.05,4638.41,4710.02,4818.98,4946.60,5094.26,5263.52,5456.22,5674.51
4173.10,4330.55,4379.03,4446.64,4549.50,4669.99,4809.39,4969.18,5151.11,5357.19
4039.63,4192.04,4238.98,4304.42,4403.99,4520.63,4655.58,4810.25,4986.36,5185.86
3986.41,4136.81,4183.13,4247.70,4345.97,4461.06,4594.23,4746.87,4920.66,5117.53
4023.35,4175.14,4221.89,4287.07,4386.24,4502.40,4636.81,4790.86,4966.26,5164.95
4143.25,4299.57,4347.71,4414.83,4516.96,4636.59,4775.00,4933.64,5114.27,5318.88
4323.52,4486.64,4536.88,4606.92,4713.49,4838.32,4982.75,5148.29,5336.78,5550.29
4531.55,4702.51,4755.17,4828.58,4940.28,5071.11,5222.49,5396.00,5593.56,5817.35
4732.39,4910.93,4965.92,5042.58,5159.23,5295.87,5453.96,5635.16,5841.47,6075.18
4896.70,5081.45,5138.34,5217.67,5338.37,5479.75,5643.33,5830.82,6044.29,6286.11
5006.92,5195.82,5254.00,5335.11,5458.52,5603.09,5770.35,5962.06,6180.34,6427.60
5060.15,5251.06,5309.86,5391.83,5516.56,5662.66,5831.70,6025.45,6246.05,6495.94
5067.14,5258.32,5317.20,5399.28,5524.18,5670.48,5839.76,6033.77,6254.68,6504.92
5047.67,5238.11,5296.76,5378.53,5502.95,5648.69,5817.31,6010.58,6230.64,6479.91
5023.74,5213.28,5271.65,5353.04,5476.87,5621.92,5789.74,5982.10,6201.11,6449.20
5012.60,5201.72,5259.96,5341.16,5464.72,5609.45,5776.90,5968.83,6187.36,6434.90
5021.30,5210.74,5269.09,5350.43,5474.20,5619.18,5786.92,5979.18,6198.09,6446.06
5044.54,5234.86,5293.48,5375.20,5499.54,5645.19,5813.71,6006.86,6226.78,6475.90
5105.84,5298.48,5357.80,5440.52,5566.37,5713.79,5884.35,6079.86,6302.45,6554.60
5187.67,5383.39,5443.66,5527.70,5655.57,5805.35,5978.65,6177.29,6403.45,6659.64
5197.60,5393.70,5454.09,5538.29,5666.41,5816.48,5990.11,6189.12,6415.71,6672.39
5109.48,5302.25,5361.62,5444.39,5570.34,5717.86,5888.55,6084.18,6306.94,6559.26
4920.16,5105.79,5162.96,5242.67,5363.94,5506.00,5670.36,5858.75,6073.25,6316.23
4652.23,4827.75,4881.80,4957.17,5071.84,5206.16,5361.58,5539.71,5742.52,5972.27
4349.96,4514.08,4564.62,4635.09,4742.31,4867.91,5013.22,5179.78,5369.42,5584.24
4018.83,4170.46,4217.15,4282.26,4381.32,4497.35,4631.60,4785.48,4960.69,5159.16
3886.95,4033.60,4078.76,4141.73,4237.54,4349.76,4479.61,4628.44,4797.89,4989.85
3834.25,3978.91,4023.46,4085.57,4180.08,4290.79,4418.88,4565.69,4732.84,4922.20
