2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
2591.09,2688.85,2718.96,2760.93,2824.80,2899.61,2986.17,3085.38,3198.34,3326.30
2511.66,2606.42,2635.60,2676.29,2738.20,2810.72,2894.62,2990.79,3100.29,3224.33
2480.34,2573.92,2602.74,2642.92,2704.06,2775.67,2858.53,2953.50,3061.64,3184.13
2507.67,2602.28,2631.42,2672.04,2733.86,2806.26,2890.03,2986.05,3095.37,3219.21
2580.91,2678.28,2708.27,2750.08,2813.70,2888.22,2974.44,3073.26,3185.78,3313.23
2690.72,2792.23,2823.50,2867.09,2933.41,3011.10,3100.99,3204.01,3321.32,3454.20
2817.34,2923.64,2956.37,3002.01,3071.46,3152.80,3246.92,3354.79,3477.62,3616.75
2939.62,3050.53,3084.68,3132.31,3204.76,3289.64,3387.84,3500.40,3628.55,3773.72
3039.77,3154.46,3189.78,3239.02,3313.95,3401.71,3503.26,3619.65,3752.18,3902.29
3107.17,3224.39,3260.50,3310.83,3387.42,3477.13,3580.93,3699.90,3835.36,3988.81
3140.05,3258.52,3295.01,3345.88,3423.28,3513.94,3618.83,3739.07,3875.96,4031.03
3144.95,3263.60,3300.15,3351.09,3428.61,3519.42,3624.47,3744.89,3882.00,4037.31
3133.83,3252.07,3288.48,3339.25,3416.50,3506.98,3611.66,3731.66,3868.28,4023.04
3120.05,3237.77,3274.02,3324.57,3401.47,3491.55,3595.78,3715.25,3851.27,4005.35
3114.04,3231.53,3267.71,3318.16,3394.92,3484.83,3588.85,3708.09,3843.85,3997.63
3120.07,3237.78,3274.04,3324.58,3401.49,3491.57,3595.80,3715.27,3851.29,4005.37
3185.32,3305.49,3342.51,3394.11,3472.62,3564.59,3671.00,3792.96,3931.83,4089.13
3242.02,3364.34,3402.01,3454.53,3534.44,3628.04,3736.35,3860.48,4001.82,4161.93
3270.46,3393.85,3431.85,3484.83,3565.44,3659.87,3769.12,3894.35,4036.93,4198.43
3253.77,3376.52,3414.33,3467.04,3547.24,3641.19,3749.88,3874.47,4016.32,4177.00
