2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
1484.14,1540.14,1557.38,1581.42,1618.01,1660.86,1710.44,1767.26,1831.97,1905.26
1438.57,1492.84,1509.56,1532.86,1568.32,1609.86,1657.91,1713.00,1775.71,1846.75
1420.60,1474.20,1490.70,1513.72,1548.73,1589.75,1637.21,1691.60,1753.53,1823.69
1436.28,1490.47,1507.16,1530.43,1565.83,1607.30,1655.28,1710.27,1772.89,1843.82
1478.30,1534.08,1551.25,1575.20,1611.64,1654.32,1703.70,1760.31,1824.76,1897.76
1541.30,1599.45,1617.36,1642.33,1680.32,1724.82,1776.31,1835.33,1902.52,1978.64
1613.95,1674.84,1693.60,1719.74,1759.53,1806.12,1860.04,1921.84,1992.20,2071.90
1684.11,1747.65,1767.22,1794.50,1836.01,1884.63,1940.89,2005.38,2078.80,2161.96
1741.57,1807.28,1827.51,1855.73,1898.65,1948.94,2007.11,2073.80,2149.72,2235.73
1780.24,1847.40,1868.09,1896.93,1940.81,1992.21,2051.68,2119.84,2197.45,2285.37
1799.11,1866.98,1887.89,1917.03,1961.38,2013.32,2073.42,2142.31,2220.74,2309.59
1801.91,1869.90,1890.84,1920.03,1964.44,2016.47,2076.66,2145.66,2224.21,2313.20
1795.54,1863.28,1884.14,1913.23,1957.49,2009.33,2069.31,2138.06,2216.34,2305.01
1787.63,1855.07,1875.85,1904.80,1948.87,2000.48,2060.20,2128.65,2206.58,2294.86
1784.18,1851.49,1872.23,1901.13,1945.11,1996.62,2056.22,2124.54,2202.32,2290.43
1787.64,1855.08,1875.85,1904.81,1948.88,2000.49,2060.21,2128.66,2206.59,2294.87
1825.07,1893.93,1915.14,1944.70,1989.69,2042.38,2103.35,2173.23,2252.80,2342.93
1857.61,1927.69,1949.28,1979.37,2025.16,2078.79,2140.85,2211.97,2292.96,2384.69
1873.92,1944.62,1966.40,1996.76,2042.95,2097.05,2159.65,2231.40,2313.10,2405.64
1864.35,1934.69,1956.35,1986.55,2032.50,2086.33,2148.61,2220.00,2301.28,2393.34
1823.63,1892.43,1913.62,1943.16,1988.11,2040.76,2101.68,2171.51,2251.01,2341.07
1752.84,1818.97,1839.34,1867.73,1910.94,1961.55,2020.10,2087.22,2163.64,2250.20
1659.82,1722.45,1741.73,1768.62,1809.53,1857.46,1912.91,1976.46,2048.82,2130.79
1558.00,1616.78,1634.88,1660.12,1698.53,1743.51,1795.56,1855.21,1923.13,2000.07
1483.76,1539.74,1556.98,1581.02,1617.59,1660.43,1709.99,1766.81,1831.49,1904.77
1437.44,1491.67,1508.38,1531.66,1567.09,1608.60,1656.61,1711.65,1774.32,1845.31
1419.05,1472.59,1489.08,1512.07,1547.04,1588.01,1635.42,1689.76,1751.62,1821.70
1432.04,1486.07,1502.71,1525.91,1561.21,1602.55,1650.39,1705.22,1767.66,1838.38
1473.91,1529.51,1546.64,1570.52,1606.85,1649.40,1698.64,1755.08,1819.33,1892.12
1536.78,1594.76,1612.61,1637.51,1675.39,1719.76,1771.10,1829.94,1896.94,1972.83
1609.30,1670.02,1688.72,1714.79,1754.46,1800.92,1854.68,1916.30,1986.46,2065.93
1679.33,1742.68,1762.20,1789.40,1830.80,1879.28,1935.38,1999.68,2072.89,2155.83
1736.63,1802.15,1822.33,1850.46,1893.27,1943.41,2001.42,2067.92,2143.63,2229.39
1775.11,1842.08,1862.71,1891.46,1935.22,1986.47,2045.77,2113.74,2191.13,2278.79
1793.76,1861.43,1882.28,1911.33,1955.55,2007.34,2067.26,2135.94,2214.14,2302.73
1796.32,1864.09,1884.96,1914.06,1958.34,2010.20,2070.21,2138.99,2217.30,2306.01
1789.67,1857.19,1877.99,1906.98,1951.09,2002.76,2062.55,2131.08,2209.10,2297.48
1781.49,1848.70,1869.40,1898.26,1942.17,1993.61,2053.12,2121.33,2199.00,2286.97
1777.76,1844.84,1865.49,1894.29,1938.11,1989.44,2048.83,2116.90,2194.40,2282.19
1780.95,1848.15,1868.84,1897.69,1941.59,1993.01,2052.51,2120.70,2198.34,2286.29
1790.25,1857.79,1878.60,1907.60,1951.72,2003.41,2063.22,2131.77,2209.82,2298.22
1828.52,1897.50,1918.75,1948.37,1993.44,2046.23,2107.32,2177.33,2257.05,2347.35
1852.52,1922.42,1943.94,1973.95,2019.61,2073.10,2134.99,2205.92,2286.68,2378.17
1850.28,1920.09,1941.59,1971.57,2017.17,2070.60,2132.41,2203.25,2283.92,2375.29
1814.78,1883.25,1904.34,1933.73,1978.47,2030.86,2091.49,2160.98,2240.09,2329.71
1746.24,1812.12,1832.41,1860.70,1903.74,1954.16,2012.50,2079.36,2155.49,2241.72
1652.72,1715.07,1734.28,1761.05,1801.79,1849.50,1904.72,1968.00,2040.05,2121.67
1548.76,1607.19,1625.19,1650.28,1688.45,1733.17,1784.91,1844.21,1911.73,1988.21
1463.08,1518.28,1535.28,1558.98,1595.04,1637.29,1686.16,1742.18,1805.97,1878.22
1416.23,1469.66,1486.11,1509.06,1543.96,1584.85,1632.16,1686.39,1748.13,1818.07
1397.54,1450.27,1466.51,1489.15,1523.59,1563.94,1610.63,1664.14,1725.07,1794.08
1410.51,1463.73,1480.12,1502.97,1537.73,1578.46,1625.58,1679.59,1741.08,1810.74
1452.61,1507.41,1524.29,1547.82,1583.63,1625.57,1674.09,1729.71,1793.04,1864.78
1515.90,1573.09,1590.70,1615.26,1652.62,1696.39,1747.03,1805.08,1871.16,1946.02
1588.93,1648.88,1667.34,1693.08,1732.25,1778.12,1831.20,1892.04,1961.31,2039.78
1659.44,1722.05,1741.33,1768.21,1809.12,1857.03,1912.46,1976.00,2048.35,2130.30
1717.13,1781.91,1801.86,1829.68,1872.01,1921.58,1978.95,2044.69,2119.55,2204.35
1755.82,1822.07,1842.47,1870.91,1914.19,1964.89,2023.54,2090.77,2167.32,2254.03
1774.51,1841.46,1862.08,1890.83,1934.57,1985.80,2045.08,2113.03,2190.39,2278.02
1776.97,1844.01,1864.66,1893.45,1937.25,1988.55,2047.91,2115.95,2193.42,2281.17
1770.13,1836.92,1857.49,1886.16,1929.79,1980.90,2040.03,2107.81,2184.98,2272.40
1761.74,1828.21,1848.68,1877.22,1920.64,1971.51,2030.36,2097.82,2174.62,2261.62
1757.83,1824.15,1844.57,1873.05,1916.38,1967.13,2025.85,2093.16,2169.79,2256.60
1760.88,1827.32,1847.78,1876.30,1919.71,1970.55,2029.37,2096.80,2173.56,2260.52
1769.04,1835.79,1856.34,1885.00,1928.61,1979.68,2038.78,2106.52,2183.64,2271.00
1782.64,1849.89,1870.61,1899.49,1943.43,1994.89,2054.45,2122.70,2200.42,2288.45
1813.54,1881.96,1903.03,1932.41,1977.11,2029.47,2090.05,2159.49,2238.56,2328.12
1819.74,1888.40,1909.54,1939.02,1983.87,2036.41,2097.20,2166.88,2246.22,2336.08
1791.09,1858.67,1879.48,1908.49,1952.64,2004.35,2064.19,2132.77,2210.85,2299.30
1725.87,1790.99,1811.04,1839.00,1881.54,1931.37,1989.03,2055.11,2130.35,2215.58
1631.93,1693.50,1712.46,1738.90,1779.12,1826.24,1880.76,1943.24,2014.39,2094.98
1525.22,1582.76,1600.48,1625.19,1662.78,1706.82,1757.77,1816.17,1882.67,1957.99
1410.59,1463.81,1480.20,1503.05,1537.82,1578.55,1625.67,1679.68,1741.17,1810.83
1364.29,1415.76,1431.62,1453.72,1487.34,1526.73,1572.31,1624.55,1684.03,1751.40
1345.79,1396.57,1412.20,1434.01,1467.18,1506.03,1550.99,1602.52,1661.19,1727.65
1355.82,1406.97,1422.72,1444.69,1478.11,1517.25,1562.55,1614.46,1673.57,1740.52
1396.86,1449.56,1465.79,1488.42,1522.85,1563.18,1609.84,1663.33,1724.23,1793.21
1458.58,1513.61,1530.56,1554.18,1590.14,1632.25,1680.97,1736.82,1800.41,1872.44
1529.80,1587.52,1605.30,1630.08,1667.79,1711.95,1763.06,1821.64,1888.33,1963.88
1598.55,1658.86,1677.44,1703.33,1742.74,1788.89,1842.29,1903.50,1973.19,2052.13
1654.77,1717.20,1736.43,1763.24,1804.03,1851.80,1907.08,1970.44,2042.58,2124.30
