2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
4468.36,4609.21,5166.65,5759.30,6359.02,6979.75,7615.84,8260.85,8907.64,9548.38
4328.82,4465.28,5005.31,5579.44,6160.43,6761.78,7378.01,8002.87,8629.47,9250.20
4273.77,4408.49,4941.65,5508.49,6082.09,6675.79,7284.18,7901.09,8519.72,9132.56
4310.47,4446.35,4984.09,5555.80,6134.32,6733.12,7346.74,7968.96,8592.89,9210.99
4440.36,4580.33,5134.28,5723.21,6319.17,6936.02,7568.12,8209.09,8851.83,9488.55
4635.06,4781.17,5359.41,5974.16,6596.25,7240.14,7899.96,8569.04,9239.96,9904.60
4859.44,5012.63,5618.85,6263.37,6915.57,7590.64,8282.40,8983.86,9687.26,10384.08
5075.88,5235.89,5869.12,6542.34,7223.60,7928.73,8651.30,9384.00,10118.73,10846.59
5252.82,5418.41,6073.71,6770.40,7475.40,8205.11,8952.88,9711.12,10471.46,11224.69
5371.43,5540.75,6210.85,6923.27,7644.19,8390.38,9155.02,9930.39,10707.90,11478.14
5428.69,5599.82,6277.06,6997.08,7725.68,8479.83,9252.62,10036.25,10822.05,11600.50
5436.29,5607.66,6285.85,7006.87,7736.50,8491.70,9265.57,10050.30,10837.20,11616.74
5415.62,5586.34,6261.95,6980.23,7707.09,8459.41,9230.35,10012.10,10796.01,11572.58
5390.49,5560.41,6232.89,6947.84,7671.32,8420.15,9187.51,9965.63,10745.90,11518.87
5379.46,5549.04,6220.14,6933.63,7655.63,8402.93,9168.72,9945.25,10723.92,11495.31
5390.14,5560.06,6232.49,6947.39,7670.82,8419.61,9186.92,9964.99,10745.21,11518.13
5416.77,5587.53,6263.28,6981.72,7708.73,8461.21,9232.31,10014.22,10798.30,11575.04
5545.73,5720.55,6412.39,7147.93,7892.24,8662.64,9452.10,10252.62,11055.37,11850.60
5629.19,5806.64,6508.89,7255.50,8011.02,8793.01,9594.35,10406.92,11221.75,12028.94
5628.34,5805.77,6507.92,7254.41,8009.81,8791.69,9592.91,10405.36,11220.06,12027.14
5520.45,5694.47,6383.16,7115.34,7856.26,8623.15,9409.01,10205.89,11004.97,11796.57
5306.08,5473.34,6135.29,6839.04,7551.19,8288.30,9043.64,9809.58,10577.63,11338.49
5010.93,5168.89,5794.01,6458.62,7131.16,7827.26,8540.59,9263.92,9989.24,10707.79
4681.49,4829.06,5413.09,6034.00,6662.33,7312.67,7979.10,8654.87,9332.51,10003.82
4514.53,4656.88,5220.28,5819.28,6425.44,7052.90,7695.99,8348.17,9002.24,9650.27
4371.27,4509.10,5054.64,5634.63,6221.57,6829.13,7451.82,8083.33,8716.66,9344.14
4314.58,4450.63,4989.09,5561.57,6140.89,6740.58,7355.20,7978.53,8603.65,9223.01
