2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
786.52,811.31,909.44,1013.77,1119.35,1228.64,1340.65,1454.25,1568.16,1681.03
761.52,785.53,880.54,981.56,1083.78,1189.60,1298.06,1408.04,1518.34,1627.62
751.66,775.36,869.14,968.85,1069.75,1174.20,1281.25,1389.81,1498.68,1606.55
758.24,782.14,876.74,977.32,1079.11,1184.47,1292.45,1401.96,1511.79,1620.59
781.50,806.14,903.64,1007.30,1112.21,1220.81,1332.10,1444.97,1558.16,1670.31
816.37,842.11,943.96,1052.25,1161.84,1275.28,1391.54,1509.44,1627.68,1744.82
856.56,883.56,990.43,1104.05,1219.03,1338.05,1460.03,1583.73,1707.79,1830.70
895.14,923.36,1035.01,1153.72,1273.86,1398.20,1525.63,1654.84,1784.42,1912.78
926.84,956.05,1071.65,1194.57,1318.95,1447.70,1579.64,1713.43,1847.59,1980.50
948.08,977.96,1096.21,1221.95,1349.18,1480.88,1615.84,1752.70,1889.94,2025.89
958.33,988.54,1108.07,1235.17,1363.78,1496.90,1633.32,1771.66,1910.38,2047.80
959.70,989.94,1109.65,1236.92,1365.71,1499.03,1635.64,1774.17,1913.09,2050.71
955.99,986.12,1105.37,1232.15,1360.45,1493.25,1629.33,1767.33,1905.71,2042.80
951.49,981.48,1100.16,1226.34,1354.04,1486.21,1621.66,1759.01,1896.74,2033.18
949.52,979.44,1097.88,1223.80,1351.23,1483.13,1618.29,1755.36,1892.80,2028.96
951.43,981.41,1100.09,1226.26,1353.95,1486.11,1621.55,1758.89,1896.61,2033.04
956.20,986.33,1105.60,1232.41,1360.74,1493.56,1629.68,1767.71,1906.12,2043.24
979.29,1010.16,1132.31,1262.18,1393.60,1529.64,1669.04,1810.41,1952.16,2092.59
994.24,1025.58,1149.59,1281.45,1414.88,1552.99,1694.52,1838.04,1981.96,2124.53
994.09,1025.42,1149.42,1281.25,1414.66,1552.75,1694.26,1837.76,1981.66,2124.21
974.96,1005.69,1127.33,1256.65,1387.53,1523.00,1661.84,1802.64,1943.84,2083.73
936.57,966.09,1082.93,1207.16,1332.89,1463.02,1596.40,1731.66,1867.30,2001.68
883.70,911.56,1021.81,1139.03,1257.66,1380.45,1506.30,1633.92,1761.92,1888.72
824.69,850.69,953.58,1062.98,1173.69,1288.28,1405.73,1524.84,1644.29,1762.63
796.74,821.87,921.36,1027.15,1134.20,1245.04,1358.68,1473.95,1589.57,1704.14
771.08,795.40,891.70,994.08,1097.70,1204.97,1314.95,1426.52,1538.43,1649.32
760.93,784.94,879.96,981.00,1083.25,1189.12,1297.66,1407.76,1518.20,1627.63
768.20,792.44,888.37,990.37,1093.60,1200.48,1310.05,1421.20,1532.69,1643.17
791.50,816.47,915.30,1020.40,1126.75,1236.86,1349.75,1464.26,1579.13,1692.95
826.43,852.50,955.70,1065.42,1176.46,1291.43,1409.29,1528.85,1648.77,1767.60
866.70,894.04,1002.25,1117.32,1233.77,1354.33,1477.92,1603.29,1729.03,1853.64
904.66,933.17,1046.01,1165.98,1287.39,1413.06,1541.84,1672.43,1803.38,1933.11
936.98,966.51,1083.38,1207.65,1333.40,1463.55,1596.94,1732.19,1867.82,2002.18
959.11,989.34,1108.97,1236.17,1364.89,1498.13,1634.66,1773.11,1911.95,2049.48
970.35,1000.93,1121.98,1250.67,1380.90,1515.70,1653.84,1793.91,1934.38,2073.53
972.63,1003.29,1124.62,1253.62,1384.16,1519.28,1657.74,1798.15,1938.95,2078.43
969.63,1000.19,1121.16,1249.76,1379.90,1514.60,1652.64,1792.61,1932.98,2072.03
965.49,995.92,1116.37,1244.42,1374.01,1508.14,1645.59,1784.96,1924.73,2063.18
963.46,993.84,1114.03,1241.82,1371.13,1504.98,1642.14,1781.23,1920.70,2058.86
964.93,995.34,1115.72,1243.70,1373.21,1507.26,1644.62,1783.92,1923.60,2061.98
968.91,999.45,1120.32,1248.82,1378.86,1513.46,1651.40,1791.26,1931.52,2070.47
990.99,1022.23,1145.85,1277.28,1410.28,1547.95,1689.03,1832.08,1975.53,2117.64
1004.87,1036.54,1161.88,1295.15,1430.01,1569.60,1712.65,1857.71,2003.17,2147.27
1003.73,1035.37,1160.57,1293.69,1428.39,1567.83,1710.71,1855.60,2000.90,2144.83
984.83,1015.89,1138.85,1269.59,1401.90,1538.88,1679.30,1821.74,1964.60,2106.16
946.05,975.89,1094.01,1219.61,1346.71,1478.30,1613.20,1750.04,1887.29,2023.28
893.20,921.37,1032.90,1151.49,1271.50,1395.75,1523.13,1652.34,1781.93,1910.35
833.81,860.12,964.24,1074.95,1186.99,1302.99,1421.92,1542.55,1663.55,1783.46
826.26,852.35,955.65,1065.49,1176.64,1291.73,1409.76,1529.49,1649.60,1768.60
800.12,825.39,925.43,1031.79,1139.44,1250.90,1365.21,1481.17,1597.48,1712.74
789.77,814.70,913.45,1018.45,1124.70,1234.73,1347.56,1462.02,1576.84,1690.62
797.15,822.32,921.99,1027.96,1135.20,1246.26,1360.14,1475.67,1591.56,1706.39
820.84,846.76,949.39,1058.50,1168.92,1283.27,1400.52,1519.47,1638.79,1757.02
856.39,883.43,990.49,1104.32,1219.51,1338.80,1461.11,1585.20,1709.66,1832.99
897.38,925.71,1037.88,1157.14,1277.84,1402.82,1530.96,1660.96,1791.36,1920.57
935.41,964.89,1081.57,1205.63,1331.17,1461.11,1594.27,1729.30,1864.70,1998.84
971.90,1002.54,1123.79,1252.70,1383.14,1518.16,1656.53,1796.83,1937.52,2076.90
999.80,1031.32,1156.08,1288.70,1422.91,1561.82,1704.17,1848.51,1993.25,2136.64
1017.46,1049.55,1176.54,1311.54,1448.13,1589.51,1734.39,1881.29,2028.61,2174.54
1025.78,1058.14,1186.20,1322.32,1460.05,1602.60,1748.67,1896.79,2045.32,2192.45
1027.45,1059.87,1188.16,1324.52,1462.49,1605.28,1751.61,1899.98,2048.76,2196.14
1025.88,1058.25,1186.36,1322.52,1460.28,1602.86,1748.97,1897.12,2045.67,2192.83
1023.91,1056.22,1184.09,1319.98,1457.48,1599.79,1745.62,1893.49,2041.76,2188.64
1022.93,1055.20,1182.93,1318.69,1456.05,1598.21,1743.90,1891.61,2039.74,2186.47
1022.36,1054.61,1182.24,1317.91,1455.18,1597.26,1742.85,1890.47,2038.50,2185.15
1028.35,1060.78,1189.14,1325.58,1463.63,1606.53,1752.96,1901.44,2050.32,2197.82
