2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
10013.84,10329.63,11579.42,12907.97,14252.29,15643.68,17069.47,18515.18,19964.84,21400.89
9705.41,10011.48,11222.77,12510.40,13813.31,15161.85,16543.72,17944.91,19349.92,20741.73
9583.73,9885.96,11082.06,12353.55,13640.13,14971.77,16336.31,17719.93,19107.32,20481.69
9664.87,9969.66,11175.89,12458.14,13755.61,15098.52,16474.62,17869.95,19269.09,20655.09
9951.97,10265.82,11507.88,12828.22,14164.24,15547.04,16964.02,18400.80,19841.50,21268.67
10383.61,10711.06,12007.00,13384.61,14778.58,16221.36,17699.79,19198.89,20702.08,22191.15
10879.57,11222.67,12580.51,14023.92,15484.47,16996.16,18545.21,20115.91,21690.90,23251.10
11357.99,11716.17,13133.72,14640.61,16165.38,17743.55,19360.71,21000.49,22644.73,24273.54
11749.10,12119.62,13585.98,15144.75,16722.03,18354.54,20027.39,21723.63,23424.49,25109.39
12011.26,12390.05,13889.13,15482.68,17095.15,18764.09,20474.27,22208.36,23947.17,25669.66
12137.84,12520.61,14035.49,15645.84,17275.30,18961.83,20690.03,22442.39,24199.53,25940.17
12154.64,12537.94,14054.92,15667.50,17299.22,18988.07,20718.67,22473.46,24233.03,25976.08
12108.96,12490.83,14002.10,15608.62,17234.21,18916.72,20640.81,22389.01,24141.97,25878.47
12053.41,12433.52,13937.86,15537.01,17155.14,18829.93,20546.12,22286.29,24031.21,25759.74
12029.05,12408.39,13909.69,15505.61,17120.47,18791.88,20504.59,22241.25,23982.64,25707.68
12052.65,12432.74,13936.99,15536.04,17154.06,18828.75,20544.83,22284.89,24029.70,25758.12
12111.52,12493.47,14005.06,15611.92,17237.85,18920.72,20645.18,22393.74,24147.07,25883.94
12396.56,12787.50,14334.66,15979.34,17643.53,19366.01,21131.05,22920.76,24715.36,26493.10
12581.04,12977.80,14547.99,16217.14,17906.10,19654.21,21445.52,23261.87,25083.17,26887.37
12579.18,12975.87,14545.83,16214.74,17903.45,19651.29,21442.34,23258.42,25079.45,26883.38
12340.69,12729.87,14270.06,15907.33,17564.02,19278.73,21035.82,22817.47,24603.97,26373.71
11866.87,12241.10,13722.16,15296.56,16889.65,18538.52,20228.14,21941.38,23659.30,25361.08
11213.21,11566.83,12966.30,14453.97,15959.30,17517.35,19113.90,20732.77,22356.06,23964.10
10485.04,10815.69,12124.29,13515.35,14922.93,16379.80,17872.67,19386.42,20904.29,22407.91
10098.80,10417.27,11677.66,13017.48,14373.21,15776.41,17214.29,18672.27,20134.23,21582.46
9782.11,10090.59,11311.46,12609.26,13922.48,15281.67,16674.46,18086.72,19502.83,20905.65
9656.76,9961.30,11166.52,12447.70,13744.08,15085.86,16460.81,17854.97,19252.93,20637.77
9746.42,10053.78,11270.18,12563.26,13871.68,15225.92,16613.62,18020.73,19431.67,20829.37
10033.77,10350.20,11602.47,12933.67,14280.66,15674.83,17103.45,18552.05,20004.59,21443.50
10464.80,10794.82,12100.89,13489.27,14894.13,16348.18,17838.18,19349.00,20863.94,22364.66
10961.62,11307.30,12675.37,14129.67,15601.23,17124.31,18685.05,20267.59,21854.45,23426.42
11440.82,11801.61,13229.49,14747.37,16283.25,17872.93,19501.89,21153.61,22809.85,24450.53
11832.43,12205.58,13682.34,15252.16,16840.62,18484.71,20169.43,21877.70,23590.62,25287.47
12094.70,12476.12,13985.61,15590.23,17213.90,18894.43,20616.49,22362.62,24113.51,25847.97
12220.95,12606.35,14131.60,15752.97,17393.59,19091.66,20831.69,22596.05,24365.22,26117.78
12237.07,12622.98,14150.24,15773.75,17416.53,19116.84,20859.17,22625.85,24397.36,26152.23
12190.49,12574.93,14096.37,15713.71,17350.23,19044.07,20779.77,22539.73,24304.49,26052.69
12133.97,12516.62,14031.01,15640.84,17269.78,18955.77,20683.42,22435.22,24191.80,25931.88
12108.69,12490.55,14001.78,15608.26,17233.80,18916.28,20640.33,22388.48,24141.40,25877.86
12131.48,12514.06,14028.14,15637.64,17266.25,18951.89,20679.18,22430.62,24186.84,25926.57
12189.62,12574.03,14095.37,15712.58,17349.00,19042.71,20778.29,22538.12,24302.76,26050.83
