2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
6237.25,6434.04,7213.10,8041.41,8879.67,9747.59,10637.43,11540.15,12445.69,13343.10
6047.76,6238.58,6994.00,7797.19,8610.03,9451.63,10314.50,11189.88,12068.01,12938.25
5973.01,6161.47,6907.57,7700.84,8503.65,9334.87,10187.11,11051.69,11919.01,12778.54
6022.86,6212.89,6965.21,7765.09,8574.59,9412.74,10272.06,11143.85,12018.37,12885.05
6199.26,6394.85,7169.16,7992.44,8825.60,9688.24,10572.68,11469.91,12369.96,13261.92
6463.66,6667.59,7474.88,8333.21,9201.86,10101.22,11023.28,11958.66,12896.97,13826.83
6768.38,6981.91,7827.20,8725.94,9635.47,10577.15,11542.57,12521.92,13504.32,14477.85
7052.48,7274.75,8154.34,9089.48,10035.79,11015.21,12018.80,13036.42,14056.83,15067.66
7293.32,7523.18,8432.80,9399.88,10378.50,11391.37,12429.24,13481.60,14536.86,15582.21
7455.20,7690.16,8619.98,9608.52,10608.87,11644.22,12705.12,13780.85,14859.52,15928.09
7533.90,7771.35,8710.98,9709.97,10720.88,11767.16,12839.27,13926.35,15016.42,16096.26
7545.13,7782.93,8723.97,9724.45,10736.87,11784.72,12858.42,13947.13,15038.82,16120.27
7517.79,7754.72,8692.36,9689.21,10697.96,11742.02,12811.83,13896.59,14984.33,16061.87
7484.06,7719.93,8653.36,9645.75,10649.97,11689.34,12754.36,13834.25,14917.11,15989.81
7469.11,7704.52,8636.08,9626.48,10628.70,11666.00,12728.88,13806.63,14887.32,15957.88
7483.25,7719.10,8652.42,9644.70,10648.82,11688.07,12752.97,13832.75,14915.49,15988.07
7518.73,7755.70,8693.45,9690.42,10699.30,11743.48,12813.43,13898.32,14986.19,16063.87
7692.96,7935.42,8894.89,9914.97,10947.22,12015.59,13110.33,14220.37,15333.45,16436.09
7805.36,8051.36,9024.85,10059.83,11107.16,12191.14,13301.88,14428.13,15557.47,16676.22
7803.39,8049.33,9022.57,10057.28,11104.35,12188.05,13298.50,14424.47,15553.53,16671.99
7666.91,7908.76,8866.19,9884.13,10914.30,11980.85,13074.24,14183.38,15295.92,16398.40
7375.59,7608.26,8529.35,9508.67,10499.74,11525.84,12577.78,13644.88,14715.27,15775.99
6974.95,7195.00,8066.13,8992.32,9929.64,10900.09,11895.02,12904.32,13916.74,14920.04
6527.40,6733.35,7548.65,8415.50,9292.77,10201.07,11132.31,12077.02,13024.69,13963.85
6289.69,6488.26,7274.48,8110.41,8956.38,9832.39,10730.68,11642.07,12556.35,13462.42
6095.10,6287.53,7049.49,7859.61,8679.47,9528.46,10399.06,11282.37,12168.49,13046.67
6018.07,6208.07,6960.42,7760.33,8569.85,9408.14,10267.78,11139.98,12014.96,12882.09
6073.13,6264.86,7024.08,7831.29,8648.20,9494.13,10361.61,11241.75,12124.69,12999.72
6249.65,6446.95,7228.18,8058.80,8899.39,9769.84,10662.44,11568.05,12476.54,13376.86
6514.44,6720.09,7534.34,8400.07,9276.19,10183.42,11113.69,12057.51,13004.31,13942.59
6819.65,7034.92,7887.24,8793.43,9710.51,10660.12,11633.83,12621.69,13612.64,14594.67
7099.35,7323.10,8208.55,9149.91,10102.51,11088.45,12098.72,13123.10,14150.30,15167.86
7348.56,7580.17,8496.73,9471.17,10457.23,11477.79,12523.54,13583.90,14647.16,15700.45
7522.57,7759.68,8698.00,9695.55,10705.00,11749.76,12820.29,13905.79,14994.25,16072.50
