Zone code,Zone ID,Technology,Item,2015,2020,2025,2030,2035,2040,2045,2050
TWN.Central,TWNZ0,COA_SUB,Gross Output (GWh),16735,6722,4507,4279,3067,5,0,0
TWN.Central,TWNZ0,COA_SUB,Net Output (GWh),15563,6252,4192,3980,2852,5,0,0
TWN.Central,TWNZ0,COA_SC,Gross Output (GWh),43362,43362,43072,34132,31685,9401,0,0
TWN.Central,TWNZ0,COA_SC,Net Output (GWh),40327,40327,40057,31742,29467,8743,0,0
TWN.Central,TWNZ0,COA_USC,Gross Output (GWh),0,0,0,6507,17728,48409,47236,46210
TWN.Central,TWNZ0,COA_USC,Net Output (GWh),0,0,0,6052,16487,45020,43929,42975
TWN.Central,TWNZ0,COA_IGCC,Gross Output (GWh),0,0,0,0,0,0,27403,27403
TWN.Central,TWNZ0,COA_IGCC,Net Output (GWh),0,0,0,0,0,0,25485,25485
TWN.Central,TWNZ0,COA_SC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,COA_SC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,COA_OXY_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,COA_OXY_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,COA_IGCC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,COA_IGCC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,GAS_OCGT,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,GAS_OCGT,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,GAS_CCGT,Gross Output (GWh),0,0,0,12,44,210,0,0
TWN.Central,TWNZ0,GAS_CCGT,Net Output (GWh),0,0,0,11,41,195,0,0
TWN.Central,TWNZ0,GAS_CC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,GAS_CC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,OIL_ST,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,OIL_ST,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,NUK_LWR,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,NUK_LWR,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,HYD_LG,Hydropower Output (GWh),5942,5942,5942,5942,5942,5942,4381,5026
TWN.Central,TWNZ0,HYD_SM,Hydropower Output (GWh),34,34,34,34,34,34,34,0
TWN.Central,TWNZ0,HYD_PS,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,HYD_PS,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,BIO_ST,Gross Output (GWh),665,568,495,527,575,0,0,0
TWN.Central,TWNZ0,BIO_ST,Net Output (GWh),619,528,460,490,534,0,0,0
TWN.Central,TWNZ0,BIGCC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,BIGCC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,BESS_ST1,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,BESS_ST1,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,BESS_ST4,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,BESS_ST4,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,BESS_ST8,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,BESS_ST8,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,All non-hydro renewables,Output (GWh),761,2548,10244,13971,13462,13462,13462,13462
TWN.Central,TWNZ0,Wind,Output (GWh),508,1875,1875,2545,2037,2037,2037,2037
TWN.Central,TWNZ0,PV,Output (GWh),253,253,7949,11005,11005,11005,11005,11005
TWN.Central,TWNZ0,CSP,Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Other Renewalbes,Output (GWh),0,420,420,420,420,420,420,420
TWN.East,TWNZ1,COA_SUB,Gross Output (GWh),3352,2831,1920,1185,971,30,31,0
TWN.East,TWNZ1,COA_SUB,Net Output (GWh),3117,2633,1786,1102,903,28,29,0
TWN.East,TWNZ1,COA_SC,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,COA_SC,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,COA_USC,Gross Output (GWh),0,0,2309,2193,2716,5106,4408,4478
TWN.East,TWNZ1,COA_USC,Net Output (GWh),0,0,2147,2039,2526,4748,4099,4164
TWN.East,TWNZ1,COA_IGCC,Gross Output (GWh),0,0,0,0,0,0,745,745
TWN.East,TWNZ1,COA_IGCC,Net Output (GWh),0,0,0,0,0,0,692,692
TWN.East,TWNZ1,COA_SC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,COA_SC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,COA_OXY_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,COA_OXY_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,COA_IGCC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,COA_IGCC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,GAS_OCGT,Gross Output (GWh),120,0,0,0,0,0,0,0
TWN.East,TWNZ1,GAS_OCGT,Net Output (GWh),112,0,0,0,0,0,0,0
TWN.East,TWNZ1,GAS_CCGT,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,GAS_CCGT,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,GAS_CC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,GAS_CC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,OIL_ST,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,OIL_ST,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,NUK_LWR,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,NUK_LWR,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,HYD_LG,Hydropower Output (GWh),0,2533,2533,2533,2533,2533,3627,3804
TWN.East,TWNZ1,HYD_SM,Hydropower Output (GWh),67,67,67,67,67,67,0,0
TWN.East,TWNZ1,HYD_PS,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,HYD_PS,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,BIO_ST,Gross Output (GWh),116,99,98,93,90,0,0,0
TWN.East,TWNZ1,BIO_ST,Net Output (GWh),108,92,92,86,84,0,0,0
TWN.East,TWNZ1,BIGCC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,BIGCC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,BESS_ST1,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,BESS_ST1,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,BESS_ST4,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,BESS_ST4,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,BESS_ST8,Storage Input (GWh),0,0,0,0,0,0,0,0
