Zone code,Zone ID,Flow,Annual Total(GWh),M01H00,M01H01,M01H02,M01H03,M01H04,M01H05,M01H06,M01H07,M01H08,M01H09,M01H10,M01H11,M01H12,M01H13,M01H14,M01H15,M01H16,M01H17,M01H18,M01H19,M01H20,M01H21,M01H22,M01H23,M02H00,M02H01,M02H02,M02H03,M02H04,M02H05,M02H06,M02H07,M02H08,M02H09,M02H10,M02H11,M02H12,M02H13,M02H14,M02H15,M02H16,M02H17,M02H18,M02H19,M02H20,M02H21,M02H22,M02H23,M03H00,M03H01,M03H02,M03H03,M03H04,M03H05,M03H06,M03H07,M03H08,M03H09,M03H10,M03H11,M03H12,M03H13,M03H14,M03H15,M03H16,M03H17,M03H18,M03H19,M03H20,M03H21,M03H22,M03H23,M04H00,M04H01,M04H02,M04H03,M04H04,M04H05,M04H06,M04H07,M04H08,M04H09,M04H10,M04H11,M04H12,M04H13,M04H14,M04H15,M04H16,M04H17,M04H18,M04H19,M04H20,M04H21,M04H22,M04H23,M05H00,M05H01,M05H02,M05H03,M05H04,M05H05,M05H06,M05H07,M05H08,M05H09,M05H10,M05H11,M05H12,M05H13,M05H14,M05H15,M05H16,M05H17,M05H18,M05H19,M05H20,M05H21,M05H22,M05H23,M06H00,M06H01,M06H02,M06H03,M06H04,M06H05,M06H06,M06H07,M06H08,M06H09,M06H10,M06H11,M06H12,M06H13,M06H14,M06H15,M06H16,M06H17,M06H18,M06H19,M06H20,M06H21,M06H22,M06H23,M07H00,M07H01,M07H02,M07H03,M07H04,M07H05,M07H06,M07H07,M07H08,M07H09,M07H10,M07H11,M07H12,M07H13,M07H14,M07H15,M07H16,M07H17,M07H18,M07H19,M07H20,M07H21,M07H22,M07H23,M08H00,M08H01,M08H02,M08H03,M08H04,M08H05,M08H06,M08H07,M08H08,M08H09,M08H10,M08H11,M08H12,M08H13,M08H14,M08H15,M08H16,M08H17,M08H18,M08H19,M08H20,M08H21,M08H22,M08H23,M09H00,M09H01,M09H02,M09H03,M09H04,M09H05,M09H06,M09H07,M09H08,M09H09,M09H10,M09H11,M09H12,M09H13,M09H14,M09H15,M09H16,M09H17,M09H18,M09H19,M09H20,M09H21,M09H22,M09H23,M10H00,M10H01,M10H02,M10H03,M10H04,M10H05,M10H06,M10H07,M10H08,M10H09,M10H10,M10H11,M10H12,M10H13,M10H14,M10H15,M10H16,M10H17,M10H18,M10H19,M10H20,M10H21,M10H22,M10H23,M11H00,M11H01,M11H02,M11H03,M11H04,M11H05,M11H06,M11H07,M11H08,M11H09,M11H10,M11H11,M11H12,M11H13,M11H14,M11H15,M11H16,M11H17,M11H18,M11H19,M11H20,M11H21,M11H22,M11H23,M12H00,M12H01,M12H02,M12H03,M12H04,M12H05,M12H06,M12H07,M12H08,M12H09,M12H10,M12H11,M12H12,M12H13,M12H14,M12H15,M12H16,M12H17,M12H18,M12H19,M12H20,M12H21,M12H22,M12H23
TWN.Central,TWNZ0,Demand(GWh),72716.1560677493,234.380,242.550,248.027,250.671,251.022,250.067,248.907,248.398,248.891,250.121,256.075,259.929,259.890,254.908,245.009,231.381,216.169,206.327,199.884,197.342,199.037,205.034,214.025,224.386,213.543,220.933,225.883,228.266,228.571,227.693,226.627,226.151,226.582,227.680,233.044,236.509,236.450,232.024,223.046,210.693,196.909,188.307,182.332,179.968,181.660,187.083,195.217,204.592,242.948,251.571,257.589,260.784,261.618,261.014,260.025,259.491,259.766,260.617,262.526,266.808,267.456,263.589,253.935,240.216,224.389,214.863,208.122,205.450,207.351,213.458,222.621,233.185,241.471,250.752,258.305,263.580,266.599,267.821,267.910,267.464,266.805,265.872,264.273,266.430,265.543,261.525,252.235,239.913,224.579,215.759,209.411,206.894,208.829,214.450,222.884,232.603,260.571,271.844,281.810,289.573,294.812,297.693,298.672,298.253,296.776,294.313,290.692,290.781,287.875,282.357,271.885,259.073,242.306,232.110,225.543,222.961,224.711,230.850,240.045,250.642,258.483,269.866,280.271,288.693,294.650,298.140,299.476,299.067,297.241,294.132,289.696,288.810,285.153,279.309,268.985,256.805,240.438,231.211,224.722,222.150,223.980,229.857,238.677,248.844,268.438,280.270,291.378,300.631,307.400,311.539,313.241,312.855,310.699,306.969,301.732,300.173,295.913,289.718,279.205,267.127,250.490,241.223,234.760,232.199,234.020,239.872,248.651,258.770,268.959,281.009,292.155,301.293,307.855,311.773,313.319,312.891,310.825,307.291,302.292,300.932,296.748,290.427,279.601,267.025,249.955,240.578,233.836,231.164,233.064,239.169,248.330,258.892,253.334,264.520,274.787,283.130,289.057,292.545,293.882,293.461,291.600,288.440,286.582,284.953,280.420,273.902,263.309,251.280,235.309,226.790,220.287,217.700,219.660,225.393,234.004,243.930,253.115,263.799,273.043,280.054,284.614,286.982,287.681,287.243,286.007,284.003,285.776,285.222,281.310,274.855,263.946,251.141,235.080,225.511,219.056,216.503,218.186,224.172,233.151,243.500,237.089,245.795,252.207,256.005,257.504,257.469,256.815,256.296,256.251,256.504,261.060,263.501,262.294,257.388,247.364,234.219,219.062,210.370,203.862,201.271,203.080,208.937,217.734,227.879,236.493,244.442,249.752,252.290,252.583,251.601,250.420,249.881,250.326,251.496,257.395,261.218,261.196,256.328,246.563,233.110,218.087,209.384,202.763,200.126,202.114,207.947,216.707,226.806
TWN.Central,TWNZ0,Zone Supply(GWh),68819.80265265195,177.733,165.834,192.586,209.865,216.036,210.416,193.572,166.878,252.841,257.375,266.900,270.754,270.714,265.732,255.499,229.365,208.044,187.042,170.935,164.719,169.141,184.379,205.568,227.038,150.411,156.873,178.982,194.656,200.798,194.427,178.605,155.912,221.866,231.765,242.821,246.286,246.227,241.801,232.823,215.344,194.736,174.597,159.536,153.718,158.118,171.997,188.073,190.592,172.162,176.575,202.648,219.307,224.860,219.091,202.060,175.319,267.471,264.002,273.351,277.632,278.281,274.413,264.759,251.041,224.747,208.002,192.043,185.435,190.375,205.852,227.370,217.723,173.420,172.693,193.837,207.740,211.181,205.199,191.377,200.257,279.113,268.050,275.479,282.392,277.247,275.118,262.710,250.388,228.163,217.030,202.796,196.300,201.381,217.560,225.100,221.209,232.610,209.587,208.183,241.955,225.806,232.094,253.921,309.968,295.673,294.313,297.655,296.706,295.182,293.181,282.709,259.073,242.431,236.751,223.803,223.759,223.784,231.265,245.046,260.405,277.820,247.344,251.554,257.049,277.868,284.965,313.131,308.347,303.789,294.334,291.205,298.152,297.021,283.381,273.117,258.742,252.011,232.026,224.597,224.728,230.771,240.333,242.537,254.539,286.269,266.816,252.218,266.180,289.397,293.555,324.898,306.441,314.630,318.915,316.488,306.635,305.547,301.515,284.073,273.656,259.214,245.127,234.760,231.842,234.020,239.872,254.307,262.431,282.994,288.318,277.112,288.843,287.122,302.710,322.129,301.113,318.174,323.015,312.872,310.612,305.455,301.193,284.485,269.691,258.611,241.100,238.836,230.328,233.815,243.226,250.993,258.892,266.000,206.357,205.698,224.965,237.091,243.517,269.552,299.963,291.600,288.440,292.794,292.640,286.988,277.057,265.721,251.280,235.309,224.275,217.147,217.099,217.084,225.393,234.004,245.745,201.666,182.609,206.687,222.778,227.959,223.405,207.074,238.541,290.368,290.950,296.600,289.643,292.134,285.679,274.771,261.966,233.350,228.917,209.349,202.906,207.271,225.886,231.678,254.302,204.355,159.573,184.835,200.987,206.452,201.085,185.490,207.812,268.789,266.922,271.535,273.977,264.220,267.710,257.840,243.167,220.862,201.128,184.668,178.176,182.904,197.932,221.878,237.145,197.069,159.978,186.423,202.993,208.805,203.795,187.940,178.905,264.005,260.673,268.219,272.043,272.020,267.153,256.385,231.011,209.359,191.973,175.318,168.818,173.921,188.796,207.910,228.777
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,1154.9241071140302,3.886,17.216,19.362,19.583,19.583,19.583,18.447,19.583,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.218,12.788,17.688,17.688,17.688,17.688,17.688,16.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.767,19.583,19.583,19.583,19.583,19.583,19.583,19.583,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.956,18.952,18.952,18.952,18.952,18.952,18.952,9.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.783,19.583,19.583,19.583,19.535,4.925,0.000,1.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.166,1.143,2.434,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.278,19.583,6.904,6.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.944,1.351,9.634,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.636,18.952,18.952,18.952,18.952,2.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.013,19.583,19.583,19.583,19.583,19.583,19.583,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.400,18.952,16.399,18.952,18.952,18.952,13.745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.531,19.583,17.909,19.583,19.583,19.583,16.471,11.475,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ2,1257.9041957999177,14.968,0.000,0.000,0.000,0.000,0.000,0.000,2.437,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.016,25.925,25.925,25.925,25.925,25.925,25.925,25.925,12.233,11.566,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.290,23.416,23.416,23.416,23.416,23.416,23.416,14.000,3.205,0.000,0.000,0.000,0.000,0.000,0.000,5.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.766,25.925,25.925,25.925,25.925,25.925,13.400,10.620,0.000,1.526,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.243,24.836,25.089,25.089,17.291,3.862,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.034,14.993,11.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,5.364,1.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.836,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.515,8.654,13.567,9.713,0.000,0.000,0.000,0.000,2.106,0.000,0.000,0.000,0.000,1.523,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.731,16.176,25.925,25.925,25.925,17.901,4.703,0.000,0.000,9.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.930,25.089,25.089,25.089,25.089,25.089,13.819,0.000,11.630,5.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.099,25.925,25.925,25.925,25.925,25.925,25.925,25.925,10.314
TWN.Central,TWNZ0,Import from: TWNZ3,4354.252145066505,37.793,59.500,36.078,21.222,15.402,20.069,36.888,59.500,12.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.024,6.698,3.971,0.000,0.000,0.000,43.349,51.272,29.213,15.921,10.085,15.578,30.334,53.742,19.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.833,0.125,0.000,0.000,0.000,52.814,55.412,35.357,21.894,17.175,22.340,38.382,59.500,16.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.841,57.095,57.581,45.516,36.888,36.466,43.671,57.581,57.581,15.568,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.537,42.239,59.500,59.500,59.500,59.500,59.500,59.500,36.685,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.690,27.475,52.318,57.581,57.581,57.581,57.581,33.185,18.847,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.570,58.017,59.500,59.500,59.500,59.500,36.745,21.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.652,41.092,59.500,59.500,59.500,57.464,39.591,12.795,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.173,57.581,57.581,57.581,57.581,57.581,57.581,33.557,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,46.436,59.500,46.773,37.693,37.072,43.995,59.500,55.279,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.333,57.581,50.973,36.066,32.101,37.432,57.581,50.345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.263,59.500,45.420,29.714,24.195,28.222,46.009,59.500,4.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.519,5.383,2.268,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZF1,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ3,350.334868544721,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.473,4.584,0.000,0.000,0.000,3.010,10.473,10.473,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.459,6.761,0.000,0.000,0.000,5.254,9.459,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.668,10.473,5.913,2.310,4.983,10.473,10.473,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.730,5.486,1.229,3.118,0.000,0.000,0.000,8.635,10.135,8.952,10.135,10.135,2.681,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.450,1.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.770,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.573,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.473,10.473,8.317,10.473,10.473,0.000,2.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.067,10.135,3.675,0.137,2.653,10.135,10.135,8.577,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.473,6.835,0.000,0.000,0.000,4.956,10.473,10.473
TWN.Central,TWNZ0,Export to: TWNZ2,1555.9192710078594,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.385,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.143,14.278,2.026,5.457,31.465,10.078,13.437,19.675,48.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.452,46.811,29.796,28.863,44.103,41.942,46.840,46.840,28.126,6.548,0.202,0.000,3.498,4.706,0.000,0.000,0.000,2.413,0.000,0.000,0.000,0.000,0.000,3.860,5.695,48.401,44.563,29.618,44.633,48.401,48.401,48.401,15.123,3.931,11.945,12.625,0.000,2.219,1.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.300,35.687,48.401,48.401,48.401,48.401,48.401,48.401,1.017,7.349,15.725,4.928,0.000,2.158,3.859,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,46.840,2.054,7.443,18.368,24.566,27.504,35.406,40.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.576,4.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.861,11.660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ1,964.4728933305199,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.254,10.825,10.825,10.825,10.825,10.489,0.000,7.328,2.056,0.000,0.000,0.000,2.259,6.996,4.413,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.085,9.777,9.777,9.777,9.777,9.777,4.651,7.657,2.946,0.620,0.000,0.000,3.077,6.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.385,10.825,10.825,10.825,10.825,10.825,10.825,6.456,8.591,3.933,3.600,3.967,7.847,7.677,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.177,10.475,10.475,10.475,10.475,10.475,10.475,3.584,6.880,8.087,5.543,7.506,10.266,3.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.964,5.925,7.307,10.825,10.825,0.000,0.125,4.642,8.295,8.341,8.683,0.415,5.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.509,5.844,7.161,4.072,4.132,1.936,9.160,0.815,0.000,7.942,8.263,10.475,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.131,6.462,7.415,9.983,4.868,6.528,8.724,3.904,0.000,0.000,0.000,0.000,5.655,2.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.652,6.910,6.549,6.906,4.885,2.666,8.655,0.523,5.000,0.000,0.751,4.057,2.662,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.213,7.688,6.568,3.155,2.412,0.000,0.000,0.000,5.514,7.393,7.138,0.000,0.000,1.815,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.948,10.825,4.420,10.825,10.825,10.825,10.825,0.000,9.109,5.745,4.012,4.538,9.143,3.230,5.792,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.879,10.418,10.475,10.475,1.926,10.322,10.475,8.948,4.664,5.713,2.220,1.857,2.260,3.950,7.828,0.689,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.177,10.825,10.825,10.825,10.825,9.822,0.000,6.724,1.680,0.000,0.000,0.000,1.819,6.656,1.813
