Zone code,Zone ID,Flow,Annual Total(GWh),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.Central,TWNZ0,Demand(GWh),79819.20138460601,2322.556,2406.809,2388.610,2451.486,2431.695,2096.881,1915.620,2065.522,2543.037,2704.042,2716.870,2702.727,2641.542,2297.892,2106.975,2262.249,2734.013,2987.846,3040.188,2954.934,2815.642,2464.252,2272.214,2427.161,2543.954,2730.264,2754.304,2739.766,2639.777,2293.015,2107.343,2260.018
TWN.Central,TWNZ0,Residual Demand(GWh),0,1538.053,1212.751,1598.078,2274.939,2323.246,2009.101,1828.791,1933.922,1672.799,1484.199,1877.218,2524.356,2589.134,2253.890,2060.915,2092.954,1963.172,1970.816,2367.236,2799.625,2761.986,2407.599,2216.233,2241.411,1765.023,1568.146,1975.076,2571.312,2544.071,2211.075,2026.801,2108.027
TWN.Central,TWNZ0,Zone Supply(GWh),76828.932985471,2312.347,2732.245,2318.269,2342.073,2329.706,1599.798,1598.846,1644.387,2732.493,3005.715,2697.563,2702.727,2703.401,1894.712,1902.097,2023.420,2627.458,2895.061,2546.720,3378.914,3278.309,1937.596,1907.976,2036.050,2617.661,3011.173,2619.658,2847.645,2772.332,1912.130,1915.913,1984.537
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,806.8082566998806,10.208,0.000,70.341,0.000,0.000,0.000,0.000,0.000,29.311,129.252,19.307,0.000,0.000,9.140,0.000,0.222,106.555,92.785,11.689,0.000,0.000,68.666,0.000,0.000,0.000,118.029,134.647,0.000,0.000,6.656,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ2,967.296690031629,0.000,0.000,0.000,225.801,225.801,225.801,0.000,43.468,0.000,0.000,0.000,0.000,0.000,15.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,230.819,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ3,4141.044163040369,0.000,0.000,0.000,0.000,0.000,271.282,316.773,377.667,0.000,0.000,0.000,0.000,0.000,378.434,204.877,238.607,0.000,0.000,529.745,0.000,0.000,227.171,364.237,391.111,0.000,0.000,0.000,0.000,0.000,374.228,191.430,275.482
TWN.Central,TWNZ0,Import from: TWNZF1,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ3,418.0203830229985,0.000,0.000,0.000,91.214,91.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39.479,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.659,0.000,0.000,0.000,0.000,0.000,0.000,92.227,92.227,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,2268.851534398053,0.000,325.436,0.000,0.000,0.000,0.000,0.000,0.000,218.768,430.925,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.966,408.216,364.895,0.000,0.000,0.000,73.707,398.938,0.000,0.000,0.000,0.000,0.000,0.000
