Item,Unit,2015,2020,2025,2030,2035,2040,2045,2050
Electricity Demand,GWh,10370,11626,13279,0,0,0,0,0
Electricity Supply,GWh,10990,11962,12539,0,0,0,0,0
Electricity Spilled,GWh,0,0,0,0,0,0,0,0
Electricity Import,GWh,1034,732,1621,0,0,0,0,0
Electricity Export,GWh,1654,1069,881,0,0,0,0,0
Renewable Gen. to Demand,%,94.7,83.6,75.6,0,0,0,0,0
Carbon Emission,K.Tonnes,1012,1964,1520,0,0,0,0,0
Carbon Sequestration,K.Tonnes,0,0,0,0,0,0,0,0
Annual Variable Cost,M.USD,136,374,396,0,0,0,0,0
Annual Fixed Cost,M.USD,503,492,518,0,0,0,0,0
Fuel Consumption Coal,TJ,226,0,0,0,0,0,0,0
Fuel Consumption Gas,TJ,1160,1616,21288,0,0,0,0,0
Fuel Consumption Oil,TJ,12627,25559,4439,0,0,0,0,0
Fuel Consumption Uranium,TJ,0,0,0,0,0,0,0,0
Fuel Consumption Biomass,TJ,1338,0,7329,0,0,0,0,0
Capacity - Coal,MW,6,0,0,0,0,0,0,0
Capacity - Coal CCS,MW,0,0,0,0,0,0,0,0
Capacity - Gas,MW,30,30,361,361,331,331,331,331
Capacity - Gas CCS,MW,0,0,0,0,0,0,0,0
Capacity - Oil,MW,684,684,684,452,198,0,0,0
Capacity - Nuclear,MW,0,0,0,0,0,0,0,0
Capacity - Biomass,MW,43,0,166,166,166,166,166,166
Capacity - BECCS,MW,0,0,0,0,0,0,0,0
Capacity - Pump Hydro Storage,MW,0,0,0,0,0,0,0,0
Capacity - Battery Storage,MW,0,0,166,166,166,0,0,0
Capacity - Hydropower,MW,1944,1944,1944,1944,1734,1558,1456,1267
Capacity - Wind,MW,278,278,219,219,144,0,0,0
Capacity - Offshore Wind,MW,0,0,0,0,0,0,0,0
Capacity - PV,MW,22,22,22,22,22,0,0,0
Capacity - Other Renewables,MW,217,217,217,217,70,70,70,0
Generation - Coal,GWh,22,0,0,0,0,0,0,0
Generation - Coal CCS,GWh,0,0,0,0,0,0,0,0
Generation - Gas,GWh,112,156,2138,0,0,0,0,0
Generation - Gas CCS,GWh,0,0,0,0,0,0,0,0
Generation - Oil,GWh,1033,2091,363,0,0,0,0,0
Generation - Nuclear,GWh,0,0,0,0,0,0,0,0
Generation - Biomass,GWh,108,0,606,0,0,0,0,0
Generation - BECCS,GWh,0,0,0,0,0,0,0,0
Generation - Hydropower,GWh,6825,6825,6825,0,0,0,0,0
Generation - Wind,GWh,1329,1329,1047,0,0,0,0,0
Generation - Offshore Wind,GWh,0,0,0,0,0,0,0,0
Generation - PV,GWh,38,38,38,0,0,0,0,0
Generation - Other Renewables,GWh,1523,1523,1523,0,0,0,0,0
