Zone code,Zone ID,Flow,2015,2020,2025,2030,2035,2040,2045,2050
CRI.All,CRIZ0,Demand(GWh),10370,11626,13279,0,0,0,0,0
CRI.All,CRIZ0,Supply(GWh),10990,11962,12539,0,0,0,0,0
CRI.All,CRIZ0,Spill(GWh),0,0,0,0,0,0,0,0
CRI.All,CRIZ0,Import from: NICZ2,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,Import from: NICZ3,1034,603,1240,0,0,0,0,0
CRI.All,CRIZ0,Import from: ET2286,0,130,381,0,0,0,0,0
CRI.All,CRIZ0,Import from: CRIZF0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,Import from: CRIZF1,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,Export to: ET814,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,Export to: NICZ2,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,Export to: NICZ3,1653,1069,881,0,0,0,0,0
CRI.OffRgn1,CRIZF0,Supply(GWh),0,0,0,0,0,0,0,0
CRI.OffRgn1,CRIZF0,Spill(GWh),0,0,0,0,0,0,0,0
CRI.OffRgn1,CRIZF0,Export to: CRIZ0,0,0,0,0,0,0,0,0
CRI.OffRgn2,CRIZF1,Supply(GWh),0,0,0,0,0,0,0,0
CRI.OffRgn2,CRIZF1,Spill(GWh),0,0,0,0,0,0,0,0
CRI.OffRgn2,CRIZF1,Export to: CRIZ0,0,0,0,0,0,0,0,0
