Zone code,Zone ID,ProcessName,CF_Class,2015,2020,2025,2030,2035,2040,2045,2050
CRI.All,CRIZ0,COA_SUB,0,6,0,0,0,0,0,0,0
CRI.All,CRIZ0,COA_SC,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,COA_USC,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,COA_IGCC,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,COA_SC_CCS,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,COA_OXY_CCS,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,COA_IGCC_CCS,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,GAS_OCGT,0,30,30,361,361,331,331,331,331
CRI.All,CRIZ0,GAS_CCGT,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,GAS_CC_CCS,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,OIL_ST,0,684,684,684,452,198,0,0,0
CRI.All,CRIZ0,NUK_LWR,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,HYD_LG,0,1935,1935,1935,1935,1725,1549,1447,1267
CRI.All,CRIZ0,HYD_SM,0,9,9,9,9,9,9,9,0
CRI.All,CRIZ0,HYD_PS,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,WND_ON,9,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,WND_ON,10,278,278,219,219,144,0,0,0
CRI.All,CRIZ0,PV_FT,5,22,22,22,22,22,0,0,0
CRI.All,CRIZ0,PV_TK,5,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,PV_Dist,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,GEO_hydro,0,217,217,217,217,70,70,70,0
CRI.All,CRIZ0,BIO_ST,0,43,0,166,166,166,166,166,166
CRI.All,CRIZ0,BIGCC_CCS,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,BESS_ST1,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,BESS_ST4,0,0,0,166,166,166,0,0,0
CRI.All,CRIZ0,BESS_ST8,0,0,0,0,0,0,0,0,0
CRI.OffRgn1,CRIZF0,WND_OFF_SH,10,0,0,0,0,0,0,0,0
CRI.OffRgn1,CRIZF0,WND_OFF_IN,10,0,0,0,0,0,0,0,0
CRI.OffRgn1,CRIZF0,WND_OFF_DE,10,0,0,0,0,0,0,0,0
CRI.OffRgn2,CRIZF1,WND_OFF_SH,1,0,0,0,0,0,0,0,0
CRI.OffRgn2,CRIZF1,WND_OFF_IN,1,0,0,0,0,0,0,0,0
CRI.OffRgn2,CRIZF1,WND_OFF_DE,1,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,Transmission from:CRIZ0,To:ET814,100,100,400,0,0,0,0,0
CRI.All,CRIZ0,Transmission from:CRIZ0,To:NICZ2,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,Transmission from:CRIZ0,To:NICZ3,615,615,615,0,0,0,0,0
CRI.OffRgn1,CRIZF0,Transmission from:CRIZF0,To:CRIZ0,0,0,0,0,0,0,0,0
CRI.OffRgn2,CRIZF1,Transmission from:CRIZF1,To:CRIZ0,0,0,0,0,0,0,0,0
