Zone code,Zone ID,Flow,2015,2020,2025,2030,2035,2040,2045,2050
NIC.Central,NICZ1,Demand(GWh),1236,1386,1583,0,0,0,0,0
NIC.Central,NICZ1,Supply(GWh),664,703,1157,0,0,0,0,0
NIC.Central,NICZ1,Spill(GWh),0,0,0,0,0,0,0,0
NIC.Central,NICZ1,Import from: ET1299,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,Import from: ET1309,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,Import from: NICZ2,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,Import from: NICZ3,870,1021,687,0,0,0,0,0
NIC.Central,NICZ1,Export to: ET2166,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,Export to: NICZ2,298,338,260,0,0,0,0,0
NIC.Central,NICZ1,Export to: ET2168,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,Export to: NICZ3,0,0,1,0,0,0,0,0
NIC.East,NICZ2,Demand(GWh),591,663,757,0,0,0,0,0
NIC.East,NICZ2,Supply(GWh),297,330,500,0,0,0,0,0
NIC.East,NICZ2,Spill(GWh),0,0,0,0,0,0,0,0
NIC.East,NICZ2,Import from: CRIZ0,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Import from: ET1292,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Import from: ET1298,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Import from: NICZ1,294,333,257,0,0,0,0,0
NIC.East,NICZ2,Import from: NICZ3,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Import from: NICZF3,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Export to: ET2170,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Export to: CRIZ0,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Export to: ET2172,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Export to: NICZ3,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Export to: NICZ1,0,0,0,0,0,0,0,0
NIC.West,NICZ3,Demand(GWh),1909,2140,2444,0,0,0,0,0
NIC.West,NICZ3,Supply(GWh),2589,2748,3498,0,0,0,0,0
NIC.West,NICZ3,Spill(GWh),0,0,0,0,0,0,0,0
NIC.West,NICZ3,Import from: CRIZ0,1602,1036,854,0,0,0,0,0
NIC.West,NICZ3,Import from: ET1308,0,11,66,0,0,0,0,0
NIC.West,NICZ3,Import from: NICZ1,0,0,1,0,0,0,0,0
NIC.West,NICZ3,Import from: NICZ2,0,0,0,0,0,0,0,0
NIC.West,NICZ3,Import from: NICZF2,0,0,0,0,0,0,0,0
NIC.West,NICZ3,Export to: ET2175,336,0,0,0,0,0,0,0
NIC.West,NICZ3,Export to: CRIZ0,1067,622,1279,0,0,0,0,0
NIC.West,NICZ3,Export to: NICZ2,0,0,0,0,0,0,0,0
NIC.West,NICZ3,Export to: NICZ1,881,1033,695,0,0,0,0,0
NIC.OffRgn1,NICZF2,Supply(GWh),0,0,0,0,0,0,0,0
NIC.OffRgn1,NICZF2,Spill(GWh),0,0,0,0,0,0,0,0
NIC.OffRgn1,NICZF2,Export to: NICZ3,0,0,0,0,0,0,0,0
NIC.OffRgn2,NICZF3,Supply(GWh),0,0,0,0,0,0,0,0
NIC.OffRgn2,NICZF3,Spill(GWh),0,0,0,0,0,0,0,0
NIC.OffRgn2,NICZF3,Export to: NICZ2,0,0,0,0,0,0,0,0
