Zone code,Zone ID,ProcessName,CF_Class,2015,2020,2025,2030,2035,2040,2045,2050
NIC.Central,NICZ1,COA_SUB,0,19,19,19,19,19,19,0,0
NIC.Central,NICZ1,COA_SC,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,COA_USC,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,COA_IGCC,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,COA_SC_CCS,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,COA_OXY_CCS,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,COA_IGCC_CCS,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,GAS_OCGT,0,0,0,41,41,41,41,41,41
NIC.Central,NICZ1,GAS_CCGT,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,GAS_CC_CCS,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,OIL_ST,0,104,104,104,104,104,0,0,0
NIC.Central,NICZ1,NUK_LWR,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,HYD_LG,0,50,50,50,50,50,50,50,50
NIC.Central,NICZ1,HYD_SM,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,HYD_PS,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,WND_ON,10,11,11,11,11,11,0,0,0
NIC.Central,NICZ1,PV_FT,5,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,PV_TK,5,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,PV_Dist,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,BIO_ST,0,0,0,20,20,20,20,20,20
NIC.Central,NICZ1,BIGCC_CCS,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,BESS_ST1,0,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,BESS_ST4,0,0,0,20,20,20,0,0,0
NIC.Central,NICZ1,BESS_ST8,0,0,0,0,0,0,0,0,0
NIC.East,NICZ2,COA_SUB,0,9,9,9,9,9,9,0,0
NIC.East,NICZ2,COA_SC,0,0,0,0,0,0,0,0,0
NIC.East,NICZ2,COA_USC,0,0,0,0,0,0,0,0,0
NIC.East,NICZ2,COA_IGCC,0,0,0,0,0,0,0,0,0
NIC.East,NICZ2,COA_SC_CCS,0,0,0,0,0,0,0,0,0
NIC.East,NICZ2,COA_OXY_CCS,0,0,0,0,0,0,0,0,0
NIC.East,NICZ2,COA_IGCC_CCS,0,0,0,0,0,0,0,0,0
NIC.East,NICZ2,GAS_OCGT,0,0,0,19,19,19,19,19,19
NIC.East,NICZ2,GAS_CCGT,0,0,0,0,0,0,0,0,0
