Zone code,Zone ID,Item,Item,2015,2020,2025,2030,2035,2040,2045,2050
NIC.Central,NICZ1,Fuel Consumption (TJ),Coal,798,1375,1375,0,0,0,0,0
NIC.Central,NICZ1,Fuel Consumption (TJ),Gas,0,0,3020,0,0,0,0,0
NIC.Central,NICZ1,Fuel Consumption (TJ),Oil,4530,4303,4314,0,0,0,0,0
NIC.Central,NICZ1,Fuel Consumption (TJ),Uranium,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,Fuel Consumption (TJ),Biomass,0,0,1800,0,0,0,0,0
NIC.East,NICZ2,Fuel Consumption (TJ),Coal,437,654,654,0,0,0,0,0
NIC.East,NICZ2,Fuel Consumption (TJ),Gas,0,0,1439,0,0,0,0,0
NIC.East,NICZ2,Fuel Consumption (TJ),Oil,3082,3216,2660,0,0,0,0,0
NIC.East,NICZ2,Fuel Consumption (TJ),Uranium,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Fuel Consumption (TJ),Biomass,0,0,858,0,0,0,0,0
NIC.West,NICZ3,Fuel Consumption (TJ),Coal,1235,2124,2124,0,0,0,0,0
NIC.West,NICZ3,Fuel Consumption (TJ),Gas,2538,4278,4926,0,0,0,0,0
NIC.West,NICZ3,Fuel Consumption (TJ),Oil,13609,8137,13208,0,0,0,0,0
NIC.West,NICZ3,Fuel Consumption (TJ),Uranium,0,0,0,0,0,0,0,0
NIC.West,NICZ3,Fuel Consumption (TJ),Biomass,3324,7472,10488,0,0,0,0,0
NIC.Central,NICZ1,Emission (K.Tonnes),Total,407.6,445.4,615.8,0,0,0,0,0
NIC.Central,NICZ1,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0,0,0,0,0
NIC.East,NICZ2,Emission (K.Tonnes),Total,267.2,297.6,337.7,0,0,0,0,0
NIC.East,NICZ2,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0,0,0,0,0
NIC.West,NICZ3,Emission (K.Tonnes),Total,1257.1,1038.1,1446.5,0,0,0,0,0
NIC.West,NICZ3,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0,0,0,0,0
NIC.Central,NICZ1,Marginal Gen. Cost (USD/kWh),,0.0867,0.1507,0.1469,0,0,0,0,0
NIC.East,NICZ2,Marginal Gen. Cost (USD/kWh),,0.1008,0.1640,0.1625,0,0,0,0,0
NIC.West,NICZ3,Marginal Gen. Cost (USD/kWh),,0.0832,0.1481,0.1406,0,0,0,0,0
NIC.Central,NICZ1,Variable Gen. Cost (M.USD),,41.47,67.25,131.85,0,0,0,0,0
NIC.Central,NICZ1,Fixed annual Cost (M.USD),,21.53,21.53,25.71,0,0,0,0,0
NIC.East,NICZ2,Variable Gen. Cost (M.USD),,27.92,48.49,72.94,0,0,0,0,0
NIC.East,NICZ2,Fixed annual Cost (M.USD),,5.63,5.63,7.62,0,0,0,0,0
NIC.West,NICZ3,Variable Gen. Cost (M.USD),,182.21,253.99,413.43,0,0,0,0,0
NIC.West,NICZ3,Fixed annual Cost (M.USD),,114.41,96.35,100.28,0,0,0,0,0
NIC.OffRgn1,NICZF2,Fixed annual Cost (M.USD),,0.00,0.00,0.00,0,0,0,0,0
NIC.OffRgn2,NICZF3,Fixed annual Cost (M.USD),,0.00,0.00,0.00,0,0,0,0,0
