Zone code,Zone ID,Flow,Annual Total(GWh),M01H00,M01H01,M01H02,M01H03,M01H04,M01H05,M01H06,M01H07,M01H08,M01H09,M01H10,M01H11,M01H12,M01H13,M01H14,M01H15,M01H16,M01H17,M01H18,M01H19,M01H20,M01H21,M01H22,M01H23,M02H00,M02H01,M02H02,M02H03,M02H04,M02H05,M02H06,M02H07,M02H08,M02H09,M02H10,M02H11,M02H12,M02H13,M02H14,M02H15,M02H16,M02H17,M02H18,M02H19,M02H20,M02H21,M02H22,M02H23,M03H00,M03H01,M03H02,M03H03,M03H04,M03H05,M03H06,M03H07,M03H08,M03H09,M03H10,M03H11,M03H12,M03H13,M03H14,M03H15,M03H16,M03H17,M03H18,M03H19,M03H20,M03H21,M03H22,M03H23,M04H00,M04H01,M04H02,M04H03,M04H04,M04H05,M04H06,M04H07,M04H08,M04H09,M04H10,M04H11,M04H12,M04H13,M04H14,M04H15,M04H16,M04H17,M04H18,M04H19,M04H20,M04H21,M04H22,M04H23,M05H00,M05H01,M05H02,M05H03,M05H04,M05H05,M05H06,M05H07,M05H08,M05H09,M05H10,M05H11,M05H12,M05H13,M05H14,M05H15,M05H16,M05H17,M05H18,M05H19,M05H20,M05H21,M05H22,M05H23,M06H00,M06H01,M06H02,M06H03,M06H04,M06H05,M06H06,M06H07,M06H08,M06H09,M06H10,M06H11,M06H12,M06H13,M06H14,M06H15,M06H16,M06H17,M06H18,M06H19,M06H20,M06H21,M06H22,M06H23,M07H00,M07H01,M07H02,M07H03,M07H04,M07H05,M07H06,M07H07,M07H08,M07H09,M07H10,M07H11,M07H12,M07H13,M07H14,M07H15,M07H16,M07H17,M07H18,M07H19,M07H20,M07H21,M07H22,M07H23,M08H00,M08H01,M08H02,M08H03,M08H04,M08H05,M08H06,M08H07,M08H08,M08H09,M08H10,M08H11,M08H12,M08H13,M08H14,M08H15,M08H16,M08H17,M08H18,M08H19,M08H20,M08H21,M08H22,M08H23,M09H00,M09H01,M09H02,M09H03,M09H04,M09H05,M09H06,M09H07,M09H08,M09H09,M09H10,M09H11,M09H12,M09H13,M09H14,M09H15,M09H16,M09H17,M09H18,M09H19,M09H20,M09H21,M09H22,M09H23,M10H00,M10H01,M10H02,M10H03,M10H04,M10H05,M10H06,M10H07,M10H08,M10H09,M10H10,M10H11,M10H12,M10H13,M10H14,M10H15,M10H16,M10H17,M10H18,M10H19,M10H20,M10H21,M10H22,M10H23,M11H00,M11H01,M11H02,M11H03,M11H04,M11H05,M11H06,M11H07,M11H08,M11H09,M11H10,M11H11,M11H12,M11H13,M11H14,M11H15,M11H16,M11H17,M11H18,M11H19,M11H20,M11H21,M11H22,M11H23,M12H00,M12H01,M12H02,M12H03,M12H04,M12H05,M12H06,M12H07,M12H08,M12H09,M12H10,M12H11,M12H12,M12H13,M12H14,M12H15,M12H16,M12H17,M12H18,M12H19,M12H20,M12H21,M12H22,M12H23
CRI.All,CRIZ0,Demand(GWh),10369.6867011111,1258.42,1277.23,1280.06,1263.14,1225.44,1172.27,1112.25,1070.80,1047.34,1038.19,1048.34,1070.12,1102.64,1139.98,1175.35,1204.53,1223.90,1233.01,1233.87,1230.13,1225.82,1224.06,1226.12,1231.00,1260.49,1278.75,1281.06,1264.05,1226.04,1172.69,1112.36,1078.64,1054.88,1045.51,1052.30,1073.95,1106.33,1143.53,1178.46,1207.70,1227.19,1236.46,1237.46,1233.77,1229.40,1227.45,1229.16,1233.60,1280.98,1293.71,1291.09,1271.04,1231.52,1178.88,1117.20,1085.76,1061.78,1052.27,1059.01,1080.67,1113.12,1150.45,1186.05,1218.46,1242.62,1257.23,1263.34,1263.65,1261.45,1259.48,1258.97,1259.34,1267.21,1278.93,1275.56,1255.27,1216.01,1164.20,1102.98,1075.38,1051.55,1042.07,1045.35,1066.66,1098.59,1135.31,1170.48,1203.03,1227.78,1243.30,1250.39,1251.56,1249.88,1247.96,1247.04,1246.59,1271.89,1288.84,1289.96,1272.13,1233.72,1180.52,1119.79,1079.19,1055.65,1046.49,1056.73,1078.67,1111.41,1149.02,1184.50,1214.88,1235.88,1246.77,1249.30,1246.84,1243.19,1241.38,1242.68,1246.21,1262.63,1281.19,1283.72,1266.48,1228.39,1174.79,1114.34,1081.65,1057.73,1048.26,1055.01,1076.67,1109.11,1146.41,1181.68,1210.77,1230.00,1238.93,1239.57,1235.58,1231.00,1228.99,1230.80,1235.45,1250.08,1268.78,1271.56,1254.58,1216.97,1163.93,1104.08,1069.82,1046.17,1036.83,1043.55,1065.00,1097.11,1134.03,1169.03,1197.83,1216.89,1225.75,1226.43,1222.54,1218.10,1216.19,1218.10,1222.82,1267.64,1286.18,1288.67,1271.31,1233.14,1179.46,1118.91,1085.50,1061.65,1052.28,1059.16,1080.94,1113.51,1150.94,1186.39,1215.60,1234.90,1243.88,1244.55,1240.58,1236.00,1233.99,1235.82,1240.46,1256.20,1274.69,1277.20,1259.86,1221.88,1168.44,1108.15,1080.32,1056.41,1046.95,1050.35,1071.85,1104.07,1141.10,1176.23,1205.09,1224.15,1232.96,1233.53,1229.49,1224.88,1222.82,1224.55,1229.11,1258.42,1277.23,1280.06,1262.84,1225.15,1171.97,1111.95,1070.51,1047.06,1037.92,1048.07,1069.85,1102.35,1139.71,1175.35,1204.53,1223.90,1233.01,1233.87,1230.13,1225.82,1224.06,1226.12,1231.00,1264.11,1282.62,1285.11,1267.53,1229.40,1175.77,1115.29,1083.69,1059.74,1050.25,1056.97,1078.59,1110.99,1148.23,1183.74,1212.78,1231.96,1240.82,1241.39,1237.35,1232.72,1230.64,1232.40,1236.98,1250.44,1268.96,1271.55,1254.32,1216.52,1163.31,1103.26,1075.71,1051.83,1042.35,1045.75,1067.10,1099.11,1135.93,1170.86,1199.55,1218.47,1227.19,1227.73,1223.70,1219.10,1217.03,1218.78,1223.33
CRI.All,CRIZ0,Zone Supply(GWh),10968.500341576064,765.36,788.13,787.77,861.66,1156.31,1161.70,991.15,1035.37,1047.34,776.73,1002.21,931.55,980.53,1034.48,1073.11,702.97,1223.90,717.89,1233.87,721.14,718.44,717.48,719.58,726.82,1121.24,803.51,800.43,1127.20,712.59,732.55,597.25,578.32,570.99,546.11,569.69,594.08,642.56,687.52,663.35,1133.22,812.72,1144.31,1139.61,1134.27,842.15,841.36,935.10,899.90,926.44,843.22,833.02,1066.01,737.71,663.76,1036.19,1057.06,589.41,537.15,582.74,565.56,676.28,635.33,1110.71,712.07,845.21,782.04,799.03,806.66,809.33,809.64,1059.39,1061.40,855.47,863.69,945.15,814.64,1067.76,676.47,587.86,1074.52,536.43,526.96,602.38,985.82,585.02,1104.77,766.33,723.84,877.06,800.78,821.72,941.94,837.81,839.07,1016.92,940.09,1271.89,1288.84,1007.71,1272.13,922.58,1180.52,925.39,1079.19,1055.65,1046.48,1056.73,908.68,1111.41,1149.02,1184.50,983.89,1235.88,1246.77,1131.64,1246.84,1243.19,1241.38,1242.68,1246.21,1473.81,1608.87,1616.13,1590.68,1405.50,1323.81,1351.01,1301.34,1165.13,1152.08,1174.01,1188.64,1229.25,1280.00,1470.62,1365.63,1400.62,1421.44,1452.57,1548.49,1561.11,1562.45,1565.42,1526.34,1572.78,1591.34,1591.18,1568.22,1521.58,1457.34,1383.80,1341.00,1307.66,1291.77,1302.83,1332.85,1373.55,1417.91,1446.68,1762.79,1789.28,1804.99,1811.44,1812.22,1812.05,1814.96,1818.60,1802.96,1623.78,1642.21,1641.63,1617.70,1570.64,1505.28,1430.52,1389.20,1358.82,1344.99,1355.18,1382.30,1423.02,1466.93,1499.60,1534.15,1562.55,1579.52,1586.35,1586.81,1585.42,1849.19,1588.80,1713.67,1871.40,1889.89,1892.40,1875.06,1837.08,1783.64,1712.89,1393.58,1647.03,1350.56,1357.13,1384.78,1425.39,1474.48,1509.79,1543.05,1570.22,1585.83,1591.44,1844.69,1583.01,1838.02,1839.75,1844.31,1620.00,1637.46,1895.26,1609.57,1840.35,1778.93,1703.57,1651.99,1337.56,1606.30,1621.19,1364.77,1405.35,1456.53,1493.22,1524.25,1563.91,1569.46,1576.93,1845.33,1841.02,1839.26,1841.32,1844.61,1583.68,1599.83,1596.33,1569.69,1518.52,1732.95,1371.42,1329.60,1296.62,1279.75,1291.41,1319.51,1359.71,1411.18,1440.84,1469.39,1495.48,1513.11,1806.42,1810.13,1812.23,1816.46,1822.95,1779.86,1250.44,1261.69,1271.55,1254.32,1216.52,1163.31,1093.41,1075.71,1051.83,1005.56,1007.56,1009.01,1099.11,1135.93,1170.86,1199.55,1218.47,1227.19,1227.73,1223.69,1219.10,1217.03,1218.78,1223.33
CRI.All,CRIZ0,Spilled Energy(GWh),0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: NICZ3,1048.451468470927,493.06,489.10,492.29,401.48,69.14,10.57,121.10,35.42,0.00,261.46,46.13,138.58,122.11,105.50,102.24,501.56,0.00,515.12,0.00,508.99,507.37,506.58,506.53,504.18,139.25,475.24,480.63,136.85,513.44,440.14,515.12,500.32,483.89,499.40,482.62,479.87,463.77,456.01,515.12,74.48,414.47,92.14,97.85,99.51,387.25,386.09,294.06,333.69,354.55,450.49,458.07,205.03,493.81,515.12,81.02,28.69,472.36,515.12,476.27,515.12,436.84,515.12,75.35,506.39,397.41,475.19,464.31,456.99,452.12,449.84,199.59,197.94,411.74,415.23,330.41,440.62,148.25,487.73,515.12,0.87,515.12,515.12,442.97,80.84,513.57,30.54,404.14,479.18,350.72,442.51,428.67,309.61,412.07,408.89,230.11,306.49,0.00,0.00,282.25,0.00,311.14,0.00,194.40,0.00,0.00,0.00,0.00,169.99,0.00,0.00,0.00,231.00,0.00,0.00,117.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.27,0.00,0.00,0.00,0.00,9.84,0.00,0.00,36.79,38.19,58.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: ET2286,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: CRIZF0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: CRIZF1,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Export to: ET814,0.3603020474870425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Export to: NICZ3,1646.9048068884038,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,211.17,327.68,332.41,324.19,177.11,149.02,236.67,219.69,107.40,103.82,119.00,111.97,120.14,133.59,288.94,154.86,170.62,182.51,213.00,312.92,330.11,333.47,334.62,290.88,322.70,322.56,319.62,313.63,304.61,293.41,279.72,271.18,261.50,254.94,259.29,267.85,276.45,283.87,277.65,564.95,572.40,579.23,585.01,589.68,593.95,598.77,600.51,580.15,356.14,356.03,352.96,346.38,337.50,325.81,311.61,303.69,297.16,292.71,296.02,301.37,309.51,315.99,313.20,318.55,327.65,335.64,341.79,346.23,349.42,615.20,352.98,473.21,615.20,615.20,615.20,615.20,615.20,615.20,604.74,313.26,590.62,303.61,306.79,312.92,321.32,333.39,333.56,337.96,346.07,352.87,357.92,615.20,358.12,615.20,615.20,615.20,361.57,360.23,615.20,346.73,615.20,606.95,591.62,581.49,290.51,568.38,573.13,294.92,302.99,316.82,317.87,319.72,328.16,336.44,343.06,615.20,615.20,615.20,615.20,613.62,319.57,317.21,311.23,302.16,289.12,557.18,256.13,245.91,236.88,229.50,234.44,240.92,248.72,262.95,257.09,256.60,263.53,272.29,565.02,572.78,579.52,585.82,590.56,542.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,Demand(GWh),1236.267700229101,154.20,156.42,156.22,153.07,146.87,138.46,128.91,122.55,118.60,117.05,118.38,122.02,127.48,133.77,139.84,145.00,148.62,150.57,151.11,150.80,150.25,149.95,150.13,150.63,155.63,157.36,156.71,153.26,146.93,138.58,128.91,123.22,119.21,117.62,118.75,122.38,127.83,134.11,140.24,145.66,149.69,152.10,153.09,153.12,152.75,152.44,152.41,152.55,157.19,158.57,157.62,153.96,147.49,139.13,129.33,123.83,119.77,118.15,119.28,122.94,128.44,134.77,140.99,146.64,150.95,153.69,154.99,155.24,155.00,154.68,154.52,154.41,155.62,156.87,155.85,152.21,145.85,137.68,128.03,122.93,118.92,117.33,118.23,121.78,127.13,133.29,139.36,144.95,149.28,152.11,153.52,153.89,153.73,153.42,153.20,152.98,155.35,157.37,157.10,153.96,147.77,139.40,129.60,123.29,119.30,117.73,119.08,122.76,128.28,134.64,140.86,146.37,150.47,152.94,153.99,154.06,153.70,153.42,153.38,153.51,151.03,154.24,155.22,153.01,147.30,138.85,129.06,123.46,119.42,117.81,118.93,122.58,128.06,134.39,140.46,145.53,149.00,150.76,151.11,150.62,149.96,149.63,149.86,150.48,149.49,152.75,153.80,151.68,146.09,137.78,128.14,122.44,118.48,116.91,118.02,121.59,126.97,133.18,139.14,144.09,147.47,149.16,149.47,148.97,148.32,148.02,148.26,148.91,153.16,155.91,156.37,153.71,147.75,139.26,129.53,123.83,119.78,118.18,119.33,122.99,128.49,134.84,140.97,146.11,149.68,151.54,151.99,151.58,150.96,150.65,150.83,151.38,153.18,155.64,155.67,152.64,146.49,138.01,128.50,123.33,119.30,117.68,118.60,122.21,127.62,133.87,139.87,144.82,148.15,149.79,150.03,149.47,148.76,148.44,148.70,149.37,153.34,155.87,155.96,152.97,146.84,138.37,128.88,122.53,118.58,117.03,118.36,121.99,127.45,133.74,139.78,144.76,148.10,149.73,149.97,149.42,148.73,148.43,148.73,149.47,153.99,156.50,156.54,153.48,147.29,138.74,129.17,123.67,119.63,118.02,119.14,122.78,128.26,134.57,140.65,145.63,148.98,150.60,150.81,150.23,149.50,149.17,149.44,150.15,152.47,154.96,155.02,152.03,145.93,137.50,128.05,122.94,118.92,117.33,118.24,121.80,127.17,133.36,139.30,144.20,147.49,149.08,149.30,148.73,148.03,147.71,147.96,148.65
