Zone code,Zone ID,Flow,Annual Total(GWh),M12*1*2H0--3,M12*1*2H3--6,M12*1*2H6--9,M12*1*2H9--12,M12*1*2H12--15,M12*1*2H15--18,M12*1*2H18--21,M12*1*2H21--0,M3*4*5H0--3,M3*4*5H3--6,M3*4*5H6--9,M3*4*5H9--12,M3*4*5H12--15,M3*4*5H15--18,M3*4*5H18--21,M3*4*5H21--0,M6*7*8H0--3,M6*7*8H3--6,M6*7*8H6--9,M6*7*8H9--12,M6*7*8H12--15,M6*7*8H15--18,M6*7*8H18--21,M6*7*8H21--0,M9*10*11H0--3,M9*10*11H3--6,M9*10*11H6--9,M9*10*11H9--12,M9*10*11H12--15,M9*10*11H15--18,M9*10*11H18--21,M9*10*11H21--0
CRI.All,CRIZ0,Demand(MW),1291.764838316333,1423.46,1365.02,1209.22,1181.38,1277.12,1367.53,1377.87,1374.07,1437.35,1370.70,1214.48,1186.91,1282.95,1381.51,1405.19,1401.46,1427.63,1368.92,1213.30,1185.63,1281.61,1372.09,1382.02,1378.07,1427.03,1368.14,1212.46,1184.76,1280.80,1371.42,1381.38,1377.46
CRI.All,CRIZ0,Residual Demand(MW),0,1032.61,968.05,810.01,776.33,860.94,937.95,965.03,978.70,1115.12,1043.78,882.74,844.29,915.06,1011.61,1071.80,1079.14,1158.42,1091.03,930.64,891.39,981.90,1050.88,1083.85,1104.08,1156.73,1090.03,928.31,893.53,990.19,1060.88,1088.65,1109.77
CRI.All,CRIZ0,Zone Supply(MW),1324.5095737448953,1263.45,1275.32,1209.22,1181.38,1261.29,1327.23,1294.71,1268.04,1248.52,1135.68,1100.85,1121.87,1167.41,1164.80,1154.48,1173.84,1652.91,1567.68,1413.79,1329.33,1471.76,1549.24,1578.71,1591.27,1656.18,1559.51,1363.71,1331.07,1427.16,1539.43,1576.98,1588.64
CRI.All,CRIZ0,Spilled Energy(MW),0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: NICZ3,58.03860742738808,160.00,89.70,0.00,0.00,15.83,40.30,83.16,106.03,188.83,235.02,113.63,65.04,115.54,216.71,250.71,227.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: ET2286,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: CRIZF0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: CRIZF1,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Export to: ET814,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Export to: NICZ3,90.78334285595024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.27,198.76,200.49,143.71,190.15,177.15,196.68,213.20,229.15,191.37,151.25,146.31,146.36,168.01,195.60,211.18
