Zone Code,ZoneID,Technology,Item,Installed Capacity(MW),M12*1*2H0--3,M12*1*2H3--6,M12*1*2H6--9,M12*1*2H9--12,M12*1*2H12--15,M12*1*2H15--18,M12*1*2H18--21,M12*1*2H21--0,M3*4*5H0--3,M3*4*5H3--6,M3*4*5H6--9,M3*4*5H9--12,M3*4*5H12--15,M3*4*5H15--18,M3*4*5H18--21,M3*4*5H21--0,M6*7*8H0--3,M6*7*8H3--6,M6*7*8H6--9,M6*7*8H9--12,M6*7*8H12--15,M6*7*8H15--18,M6*7*8H18--21,M6*7*8H21--0,M9*10*11H0--3,M9*10*11H3--6,M9*10*11H6--9,M9*10*11H9--12,M9*10*11H12--15,M9*10*11H15--18,M9*10*11H18--21,M9*10*11H21--0
CRI.All,CRIZ0,COA_SUB,Gross Output,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,COA_SUB,Net Output,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,COA_SUB,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,COA_SUB,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,COA_SUB,AS T3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,GAS_OCGT,Gross Output,361.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,GAS_OCGT,Net Output,361.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,GAS_OCGT,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,GAS_OCGT,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.55,0.00,46.38,46.89,0.00,54.06,0.00,30.19,53.52,15.37,11.24,0.00,0.00,54.04,53.88
CRI.All,CRIZ0,GAS_OCGT,AS T3,,55.68,53.40,0.00,0.00,0.00,0.00,53.90,0.00,56.26,53.63,0.00,0.00,50.20,54.07,0.00,54.90,0.00,0.00,0.00,0.00,0.00,53.67,54.06,53.91,55.82,53.52,0.00,46.35,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,OIL_ST,Gross Output,451.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
