Zone code,Zone ID,Flow,2015,2020,2025,2030
TWN.Central,TWNZ0,Demand(GWh),51079,52691,59072,65854
TWN.Central,TWNZ0,Supply(GWh),62731,66132,62982,61617
TWN.Central,TWNZ0,Spill(GWh),0,0,0,0
TWN.Central,TWNZ0,Import from: TWNZ1,0,34,0,81
TWN.Central,TWNZ0,Import from: TWNZ2,0,0,86,2245
TWN.Central,TWNZ0,Import from: TWNZ3,21,815,205,7490
TWN.Central,TWNZ0,Import from: TWNZF1,0,0,0,0
TWN.Central,TWNZ0,Export to: TWNZ3,0,0,171,98
TWN.Central,TWNZ0,Export to: TWNZ2,10506,14290,2268,4423
TWN.Central,TWNZ0,Export to: TWNZ1,1166,0,1764,1058
TWN.East,TWNZ1,Demand(GWh),9200,9490,10640,11861
TWN.East,TWNZ1,Supply(GWh),3413,5213,6784,12708
TWN.East,TWNZ1,Spill(GWh),0,0,0,0
TWN.East,TWNZ1,Import from: TWNZ0,1158,0,1751,1051
TWN.East,TWNZ1,Import from: TWNZ2,0,0,102,283
TWN.East,TWNZ1,Import from: TWNZ3,4659,4657,2005,1643
TWN.East,TWNZ1,Import from: TWNZF2,0,0,0,0
TWN.East,TWNZ1,Export to: TWNZ3,0,0,0,2
TWN.East,TWNZ1,Export to: TWNZ0,0,34,0,82
TWN.East,TWNZ1,Export to: TWNZ2,31,345,3,3740
TWN.North,TWNZ2,Demand(GWh),111800,115328,129294,144139
TWN.North,TWNZ2,Supply(GWh),100806,100281,126668,138635
TWN.North,TWNZ2,Spill(GWh),0,0,0,0
TWN.North,TWNZ2,Import from: TWNZ0,10394,14138,2243,4376
TWN.North,TWNZ2,Import from: TWNZ1,30,340,3,3685
TWN.North,TWNZ2,Import from: TWNZF0,569,570,570,0
TWN.North,TWNZ2,Export to: TWNZ0,0,0,87,2270
TWN.North,TWNZ2,Export to: TWNZ1,0,0,103,288
TWN.South,TWNZ3,Demand(GWh),69452,71644,80320,89542
TWN.South,TWNZ3,Supply(GWh),74181,77175,82385,98685
TWN.South,TWNZ3,Spill(GWh),0,0,0,0
TWN.South,TWNZ3,Import from: TWNZ0,0,0,169,97
TWN.South,TWNZ3,Import from: TWNZ1,0,0,0,2
TWN.South,TWNZ3,Import from: TWNZF3,0,0,0,0
TWN.South,TWNZ3,Export to: TWNZ0,21,825,208,7582
TWN.South,TWNZ3,Export to: TWNZ1,4708,4706,2026,1660
TWN.OffRgn1,TWNZF0,Supply(GWh),579,579,579,0
TWN.OffRgn1,TWNZF0,Spill(GWh),1,0,0,0
TWN.OffRgn1,TWNZF0,Export to: TWNZ2,578,579,579,0
TWN.OffRgn2,TWNZF1,Supply(GWh),0,0,0,0
TWN.OffRgn2,TWNZF1,Spill(GWh),0,0,0,0
TWN.OffRgn2,TWNZF1,Export to: TWNZ0,0,0,0,0
TWN.OffRgn3,TWNZF2,Supply(GWh),0,0,0,0
TWN.OffRgn3,TWNZF2,Spill(GWh),0,0,0,0
TWN.OffRgn3,TWNZF2,Export to: TWNZ1,0,0,0,0
TWN.OffRgn4,TWNZF3,Supply(GWh),0,0,0,0
TWN.OffRgn4,TWNZF3,Spill(GWh),0,0,0,0
TWN.OffRgn4,TWNZF3,Export to: TWNZ3,0,0,0,0
