Zone code,Zone ID,Flow,Annual Total(GWh),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.Central,TWNZ0,Demand(GWh),53967.24033222193,1570.844,1627.828,1615.519,1658.045,1644.601,1418.123,1295.529,1396.914,1719.859,1828.427,1836.964,1827.639,1785.871,1553.146,1424.031,1529.049,1848.890,2019.829,2054.914,1997.798,1903.666,1665.800,1535.934,1640.731,1720.440,1846.003,1862.072,1852.568,1784.642,1549.814,1424.244,1527.505
TWN.Central,TWNZ0,Residual Demand(GWh),0,1512.764,1554.023,1540.582,1594.587,1595.176,1377.126,1254.311,1352.295,1675.384,1768.116,1781.714,1790.670,1757.850,1528.402,1398.652,1500.832,1805.289,1965.751,2007.659,1967.327,1875.563,1636.365,1506.685,1610.377,1664.257,1774.065,1792.158,1798.095,1739.553,1510.837,1385.333,1486.372
TWN.Central,TWNZ0,Zone Supply(GWh),69746.63444059534,2038.781,2095.765,2122.396,2112.177,2071.678,1925.001,1789.568,1903.792,2170.786,2279.354,2355.105,2345.780,2304.013,2071.288,1874.958,2047.191,2367.032,2537.971,2573.056,2474.335,2421.807,2183.941,2054.075,2158.872,2166.466,2292.029,2374.582,2365.077,2297.152,2062.323,1870.269,2040.014
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,165.35898009452438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.409,27.409,0.000,0.000,0.000,0.000,27.409,0.000,0.000,0.000,0.000,1.798,0.000,0.000,0.000,0.000,27.111,27.111,0.000,0.000,0.000,0.000,27.111,0.000
TWN.Central,TWNZ0,Import from: TWNZ2,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ3,445.9390756834087,38.940,38.940,0.000,38.940,38.940,0.000,12.839,0.000,39.805,39.805,0.000,0.000,0.000,0.000,39.805,0.000,0.000,0.000,0.000,39.805,0.000,0.000,0.000,0.000,39.373,39.373,0.000,0.000,0.000,0.000,39.373,0.000
TWN.Central,TWNZ0,Import from: TWNZF1,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ3,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,16390.692164151347,506.877,506.877,506.877,493.072,466.017,506.877,506.877,506.877,518.141,518.141,518.141,518.141,518.141,518.141,518.141,518.141,518.141,518.141,518.141,518.141,518.141,518.141,518.141,518.141,512.509,512.509,512.509,512.509,512.509,512.509,512.509,512.509
