Zone code,Zone ID,Flow,Annual Total(GWh),M01H00,M01H01,M01H02,M01H03,M01H04,M01H05,M01H06,M01H07,M01H08,M01H09,M01H10,M01H11,M01H12,M01H13,M01H14,M01H15,M01H16,M01H17,M01H18,M01H19,M01H20,M01H21,M01H22,M01H23,M02H00,M02H01,M02H02,M02H03,M02H04,M02H05,M02H06,M02H07,M02H08,M02H09,M02H10,M02H11,M02H12,M02H13,M02H14,M02H15,M02H16,M02H17,M02H18,M02H19,M02H20,M02H21,M02H22,M02H23,M03H00,M03H01,M03H02,M03H03,M03H04,M03H05,M03H06,M03H07,M03H08,M03H09,M03H10,M03H11,M03H12,M03H13,M03H14,M03H15,M03H16,M03H17,M03H18,M03H19,M03H20,M03H21,M03H22,M03H23,M04H00,M04H01,M04H02,M04H03,M04H04,M04H05,M04H06,M04H07,M04H08,M04H09,M04H10,M04H11,M04H12,M04H13,M04H14,M04H15,M04H16,M04H17,M04H18,M04H19,M04H20,M04H21,M04H22,M04H23,M05H00,M05H01,M05H02,M05H03,M05H04,M05H05,M05H06,M05H07,M05H08,M05H09,M05H10,M05H11,M05H12,M05H13,M05H14,M05H15,M05H16,M05H17,M05H18,M05H19,M05H20,M05H21,M05H22,M05H23,M06H00,M06H01,M06H02,M06H03,M06H04,M06H05,M06H06,M06H07,M06H08,M06H09,M06H10,M06H11,M06H12,M06H13,M06H14,M06H15,M06H16,M06H17,M06H18,M06H19,M06H20,M06H21,M06H22,M06H23,M07H00,M07H01,M07H02,M07H03,M07H04,M07H05,M07H06,M07H07,M07H08,M07H09,M07H10,M07H11,M07H12,M07H13,M07H14,M07H15,M07H16,M07H17,M07H18,M07H19,M07H20,M07H21,M07H22,M07H23,M08H00,M08H01,M08H02,M08H03,M08H04,M08H05,M08H06,M08H07,M08H08,M08H09,M08H10,M08H11,M08H12,M08H13,M08H14,M08H15,M08H16,M08H17,M08H18,M08H19,M08H20,M08H21,M08H22,M08H23,M09H00,M09H01,M09H02,M09H03,M09H04,M09H05,M09H06,M09H07,M09H08,M09H09,M09H10,M09H11,M09H12,M09H13,M09H14,M09H15,M09H16,M09H17,M09H18,M09H19,M09H20,M09H21,M09H22,M09H23,M10H00,M10H01,M10H02,M10H03,M10H04,M10H05,M10H06,M10H07,M10H08,M10H09,M10H10,M10H11,M10H12,M10H13,M10H14,M10H15,M10H16,M10H17,M10H18,M10H19,M10H20,M10H21,M10H22,M10H23,M11H00,M11H01,M11H02,M11H03,M11H04,M11H05,M11H06,M11H07,M11H08,M11H09,M11H10,M11H11,M11H12,M11H13,M11H14,M11H15,M11H16,M11H17,M11H18,M11H19,M11H20,M11H21,M11H22,M11H23,M12H00,M12H01,M12H02,M12H03,M12H04,M12H05,M12H06,M12H07,M12H08,M12H09,M12H10,M12H11,M12H12,M12H13,M12H14,M12H15,M12H16,M12H17,M12H18,M12H19,M12H20,M12H21,M12H22,M12H23
TWN.Central,TWNZ0,Demand(GWh),65853.94752803343,212.276,219.675,224.635,227.030,227.348,226.483,225.433,224.971,225.418,226.532,231.925,235.415,235.380,230.867,221.902,209.559,195.782,186.869,181.033,178.731,180.266,185.698,193.840,203.224,193.404,200.097,204.580,206.738,207.014,206.219,205.254,204.822,205.213,206.207,211.066,214.203,214.151,210.136,202.005,190.817,178.333,170.542,165.131,162.990,164.523,169.434,176.801,185.292,220.035,227.845,233.295,236.189,236.943,236.395,235.500,235.016,235.266,236.036,237.766,241.644,242.232,238.705,229.961,217.537,203.202,194.575,188.470,186.050,187.772,193.302,201.601,211.169,218.697,227.101,233.940,238.715,241.446,242.551,242.630,242.227,241.630,240.788,239.342,241.299,240.497,236.823,228.410,217.250,203.363,195.375,189.625,187.346,189.098,194.189,201.827,210.630,235.996,246.202,255.224,262.251,266.991,269.596,270.481,270.101,268.765,266.539,263.263,263.349,260.721,255.695,246.212,234.607,219.422,210.187,204.240,201.902,203.486,209.046,217.375,226.972,234.105,244.411,253.830,261.451,266.841,269.998,271.205,270.835,269.183,266.371,262.359,261.563,258.256,252.940,243.591,232.559,217.736,209.379,203.502,201.173,202.830,208.153,216.140,225.349,243.121,253.832,263.888,272.262,278.386,282.129,283.668,283.318,281.369,277.995,273.258,271.853,268.000,262.369,252.849,241.909,226.842,218.449,212.596,210.276,211.926,217.226,225.177,234.342,243.592,254.502,264.592,272.862,278.799,282.343,283.740,283.352,281.484,278.287,273.766,272.540,268.756,263.010,253.206,241.815,226.357,217.863,211.758,209.338,211.058,216.588,224.885,234.450,229.441,239.569,248.863,256.413,261.776,264.930,266.139,265.757,264.074,261.217,259.539,258.069,253.969,248.042,238.450,227.554,213.091,205.375,199.485,197.142,198.917,204.110,211.909,220.899,229.243,238.917,247.285,253.631,257.757,259.899,260.529,260.133,259.015,257.202,258.813,258.316,254.776,248.898,239.019,227.421,212.875,204.209,198.362,196.050,197.575,202.996,211.129,220.502,214.729,222.613,228.420,231.858,233.215,233.182,232.589,232.119,232.078,232.308,236.436,238.648,237.556,233.080,224.002,212.096,198.369,190.496,184.602,182.255,183.894,189.198,197.166,206.354,214.189,221.388,226.198,228.496,228.762,227.873,226.803,226.315,226.718,227.778,233.120,236.583,236.562,232.152,223.308,211.123,197.517,189.634,183.637,181.249,183.050,188.333,196.266,205.413
TWN.Central,TWNZ0,Zone Supply(GWh),61616.62375400252,165.047,126.236,143.711,161.053,167.501,162.242,145.763,142.876,227.036,213.923,211.580,216.737,216.702,211.415,199.406,193.766,184.297,180.368,180.449,178.731,181.003,181.376,182.081,189.892,136.441,113.038,137.166,152.996,158.510,153.350,137.780,115.313,151.183,197.410,194.196,197.333,197.281,193.266,183.363,175.261,168.744,163.419,163.533,156.524,139.595,164.199,165.700,158.769,225.186,134.406,153.522,170.383,176.251,170.795,153.978,154.647,237.358,220.013,219.089,222.967,223.554,220.027,211.284,196.693,190.015,180.339,177.832,178.021,178.170,178.278,182.923,203.994,233.306,199.411,196.687,203.187,201.932,208.308,215.269,251.934,234.719,217.267,221.267,223.224,222.422,218.748,210.335,199.075,184.104,176.764,171.690,171.780,171.860,176.114,183.752,204.182,241.683,259.695,240.682,243.063,245.502,257.575,280.586,265.593,254.291,266.539,272.531,272.617,268.429,264.963,255.480,243.875,219.422,219.455,204.240,204.313,212.754,218.314,219.637,213.386,232.938,256.458,270.160,264.597,285.450,281.728,270.024,251.920,269.183,266.371,262.359,266.347,258.256,255.054,245.510,232.559,217.736,209.379,203.502,201.173,202.830,208.153,216.140,217.102,244.226,267.748,272.741,269.678,295.587,292.202,278.393,258.783,281.369,277.995,282.526,275.815,276.209,266.676,253.205,250.149,226.842,218.449,212.596,219.544,211.926,226.493,231.915,227.171,236.306,262.701,282.409,287.723,283.851,287.911,273.718,252.714,281.484,278.287,277.006,275.207,277.227,266.923,255.774,242.374,226.357,217.863,211.758,209.338,211.058,216.588,224.885,234.450,229.328,253.286,231.328,237.252,239.994,247.600,276.147,253.448,264.074,263.692,264.695,264.621,257.559,250.901,238.450,228.383,222.060,205.375,208.335,205.618,198.917,204.110,211.909,220.899,244.516,218.575,222.104,224.699,220.465,226.354,234.818,278.906,246.491,229.257,240.135,237.693,248.838,220.952,246.188,208.797,189.893,209.050,182.907,198.277,195.745,195.920,215.835,211.028,219.172,205.205,187.045,154.426,184.892,181.793,187.018,173.821,225.793,211.916,218.361,211.604,210.512,211.623,203.753,189.214,185.472,176.141,176.137,176.254,176.453,176.688,179.689,192.824,201.694,142.147,137.974,154.565,160.613,155.932,140.431,155.615,214.337,208.149,214.322,217.906,217.531,211.992,196.879,194.964,186.841,181.603,181.720,182.037,182.426,182.791,183.637,192.959
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,81.26573375245347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.495,2.662,0.000,2.339,1.316,1.619,0.000,6.328,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.448,7.007,7.007,6.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.029,6.781,5.479,3.858,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.645,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.666,5.417,7.007,3.779,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.785,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ2,2245.337143211031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,12.222,0.584,0.000,0.000,8.884,27.400,25.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.241,25.241,25.241,25.241,25.241,25.241,25.241,25.241,25.241,16.214,2.559,6.466,25.241,13.140,25.241,25.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,19.257,13.155,17.451,27.945,27.945,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.044,24.895,27.044,27.044,27.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.945,27.945,27.945,15.205,27.945,0.000,26.196,27.945,0.000,19.341,0.000,1.830,7.076,0.000,6.249,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.033,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.044,14.906,8.970,13.027,26.368,27.044,18.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,15.401,1.917,0.000,0.624,11.408,27.945,21.651
TWN.Central,TWNZ0,Import from: TWNZ3,7489.796131943926,47.228,93.439,93.439,93.439,93.439,93.439,93.439,82.096,20.254,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.468,84.397,84.397,84.397,84.397,84.397,84.397,83.180,28.539,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.282,63.097,93.439,93.439,93.439,93.439,93.439,93.439,87.453,29.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.851,53.060,90.425,90.425,90.425,90.425,90.425,90.425,58.040,34.632,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.881,57.897,65.700,89.225,93.439,93.439,87.514,69.088,60.335,14.474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.688,43.404,55.622,60.308,70.172,54.283,63.766,65.305,35.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.247,47.097,56.009,70.339,78.446,61.992,69.119,71.911,38.553,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.171,38.381,61.726,61.376,64.331,74.141,67.020,64.929,29.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,49.380,62.921,90.063,90.425,90.425,90.425,66.630,49.935,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,54.651,90.267,93.439,93.439,93.439,93.439,93.439,52.886,15.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.225,39.448,85.077,90.425,90.425,90.425,90.425,90.425,60.961,4.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.535,79.242,93.439,93.439,93.439,93.439,93.439,70.700,12.381,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZF1,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ3,98.24992521261872,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.069,0.000,0.000,0.000,0.000,0.000,2.884,7.193,0.000,0.000,0.000,0.000,0.000,6.373,2.656,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.073,0.000,0.000,0.000,0.000,0.000,1.314,7.282,0.720,0.000,0.000,0.000,0.000,5.770,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.654,0.000,0.000,0.000,0.000,0.000,0.000,5.491,4.441,0.000,0.000,0.000,3.653,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.140,0.361,0.837,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.178,3.720,0.000,0.000,0.000,4.889,0.598,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.518,8.002,0.000,0.000,0.000,0.000,0.000,6.048,1.387
TWN.Central,TWNZ0,Export to: TWNZ2,4422.898898971379,0.000,0.000,12.515,27.462,33.592,29.198,13.769,0.000,21.872,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.984,32.993,37.209,33.147,16.923,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.248,0.000,16.115,34.641,39.754,34.189,11.918,7.084,31.425,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.676,67.669,62.736,56.201,61.678,56.389,60.039,63.064,67.669,27.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.433,63.583,69.925,69.925,69.925,69.925,69.925,69.925,55.827,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.102,42.236,67.669,67.669,67.669,67.669,67.669,64.123,16.374,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48.203,69.925,69.925,69.925,69.925,69.925,66.635,14.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.094,69.925,69.925,69.925,69.925,69.925,54.907,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,49.267,67.669,67.669,67.669,67.669,67.669,67.669,37.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,69.925,69.925,69.925,69.925,63.154,63.674,67.728,69.925,2.598,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43.892,67.669,49.050,13.778,42.102,39.037,44.853,2.663,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.039,0.000,5.215,19.508,25.290,21.499,7.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ1,1057.9264106925737,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.268,7.601,9.268,9.268,8.494,5.449,9.268,9.268,5.721,0.000,0.000,0.737,4.562,9.268,9.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.371,8.371,8.371,8.371,8.371,6.599,8.371,8.371,8.371,0.962,0.000,0.313,7.905,8.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.268,9.268,9.268,9.268,9.268,9.268,7.102,9.268,9.268,8.620,5.126,7.850,9.268,9.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.078,0.000,3.523,8.969,8.969,8.969,8.969,8.969,8.869,7.785,8.433,8.969,8.969,8.969,8.969,8.969,0.000,0.000,9.268,4.758,4.327,2.025,5.568,9.268,0.000,0.000,0.000,9.268,9.268,7.708,9.268,9.268,9.268,0.000,9.268,0.000,2.412,9.268,9.268,2.262,0.000,0.000,0.000,8.969,5.649,5.223,7.827,0.000,0.000,0.000,0.000,0.000,4.785,0.000,2.114,1.920,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.268,5.937,9.268,9.268,0.000,0.000,0.000,0.000,9.268,3.962,8.209,4.307,0.356,8.239,0.000,0.000,0.000,9.268,0.000,9.268,6.737,0.000,0.000,0.000,9.268,9.268,9.268,2.663,0.000,0.000,0.000,0.000,3.240,2.667,8.471,3.912,2.568,0.559,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.969,4.860,3.595,0.974,5.426,8.969,0.000,0.000,2.476,5.156,6.552,3.591,2.858,0.000,0.829,8.969,0.000,8.850,8.477,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.734,0.000,0.000,9.268,7.322,9.268,0.000,7.170,7.573,4.963,4.841,3.886,2.227,0.000,0.000,4.707,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.652,8.969,0.000,0.000,5.587,6.796,4.162,8.969,8.969,6.441,2.969,5.586,8.969,8.969,5.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.316,9.147,9.268,8.915,7.786,1.517,9.268,9.268,7.371,0.000,0.788,0.000,5.866,9.268,7.810
