Item,Unit,2015,2020,2025,2030,2035,2040,2045,2050
Electricity Demand,GWh,241531,249154,279326,311396,343844,377431,411853,446758
Electricity Supply,GWh,241711,249379,279479,311767,344765,378360,414431,451062
Electricity Spilled,GWh,1,0,0,2,6,6,48,138
Electricity Import,GWh,0,0,0,0,0,0,0,0
Electricity Export,GWh,0,0,0,0,0,0,0,0
Renewable Gen. to Demand,%,5.2,11.7,24.9,26.6,35.6,34.6,55.3,70.5
Carbon Emission,K.Tonnes,147163,142237,173246,159259,125614,82735,30109,3060
Carbon Sequestration,K.Tonnes,0,0,0,0,3384,76777,100503,95675
Annual Variable Cost,M.USD,9370,12022,13942,16067,17028,18953,15550,11340
Annual Fixed Cost,M.USD,5195,5879,7596,8598,12172,16100,26150,36543
Fuel Consumption Coal,TJ,1234794,1218313,1673861,1373462,885322,1176805,990319,741167
Fuel Consumption Gas,TJ,395750,351777,169253,520638,806431,858784,657925,509909
Fuel Consumption Oil,TJ,110520,98240,73680,1619,0,0,0,0
Fuel Consumption Uranium,TJ,462311,462311,0,0,0,0,0,0
Fuel Consumption Biomass,TJ,28649,28649,28649,28649,64199,90614,183621,143142
Capacity - Coal,MW,23330,23330,33605,26814,26814,21117,12967,12540
Capacity - Coal CCS,MW,0,0,0,0,0,10968,11780,11780
Capacity - Gas,MW,23054,23054,17771,26481,27996,33995,35213,35213
Capacity - Gas CCS,MW,0,0,0,0,0,0,8420,23662
Capacity - Oil,MW,3342,3342,3342,51,0,0,0,0
Capacity - Nuclear,MW,5214,5214,0,0,0,0,0,0
Capacity - Biomass,MW,412,412,412,412,412,2982,5787,5787
Capacity - BECCS,MW,0,0,0,492,592,692,1099,2776
Capacity - Pump Hydro Storage,MW,2600,2600,2600,2600,2600,2600,2600,2600
Capacity - Battery Storage,MW,0,50,756,964,964,3758,6520,9344
Capacity - Hydropower,MW,2110,4178,4178,4178,4178,4178,4178,4178
Capacity - Wind,MW,647,2652,3903,4491,4034,4019,4019,4019
Capacity - Offshore Wind,MW,150,150,150,3455,13073,14468,39986,63422
Capacity - PV,MW,842,2618,30343,30343,30343,30361,30361,30343
Capacity - Other Renewables,MW,0,200,200,200,200,200,200,200
Generation - Coal,GWh,124494,122935,179509,151626,101564,39031,10131,7643
Generation - Coal CCS,GWh,0,0,0,0,0,78630,84100,62902
Generation - Gas,GWh,57332,50962,24642,77097,120701,130065,50379,0
Generation - Gas CCS,GWh,0,0,0,0,0,0,42054,65863
Generation - Oil,GWh,8719,7751,5813,128,0,0,0,0
Generation - Nuclear,GWh,38641,38641,0,0,0,0,0,0
Generation - Biomass,GWh,2283,2283,2283,2283,2283,3225,9524,2283
Generation - BECCS,GWh,0,0,0,0,3343,4794,6483,12416
Generation - Hydropower,GWh,7446,14761,14761,14761,14761,14761,14767,14788
Generation - Wind,GWh,1103,6405,8650,9330,8821,8773,8773,8773
Generation - Offshore Wind,GWh,579,579,579,13298,50048,55811,145060,233385
Generation - PV,GWh,1113,3661,41851,41851,41851,41873,41873,41851
Generation - Other Renewables,GWh,0,1402,1402,1402,1402,1402,1402,1402
