Zone code,Zone ID,Flow,2015,2020,2025,2030,2035,2040,2045,2050
TWN.Central,TWNZ0,Demand(GWh),51079,52691,59072,65854,72716,79819,87099,94480
TWN.Central,TWNZ0,Supply(GWh),62731,66132,64101,67944,41386,39240,25899,25387
TWN.Central,TWNZ0,Spill(GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Import from: TWNZ1,0,34,3262,1732,2502,2351,2271,1489
TWN.Central,TWNZ0,Import from: TWNZ2,0,0,0,52,3352,2474,14,1771
TWN.Central,TWNZ0,Import from: TWNZ3,21,815,272,31,662,303,464,11298
TWN.Central,TWNZ0,Import from: TWNZF1,0,0,0,9879,33345,39023,90565,99465
TWN.Central,TWNZ0,Export to: TWNZ3,0,0,290,3168,2759,2132,3675,0
TWN.Central,TWNZ0,Export to: TWNZ2,10506,14290,7792,9976,4595,1104,27414,44720
TWN.Central,TWNZ0,Export to: TWNZ1,1166,0,482,639,1176,336,1026,209
TWN.East,TWNZ1,Demand(GWh),9200,9490,10640,11861,13097,14376,15687,17017
TWN.East,TWNZ1,Supply(GWh),3413,5213,11872,13269,13337,16261,16397,14732
TWN.East,TWNZ1,Spill(GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Import from: TWNZ0,1158,0,478,635,1168,334,1018,208
TWN.East,TWNZ1,Import from: TWNZ2,0,0,0,63,264,0,0,4
TWN.East,TWNZ1,Import from: TWNZ3,4659,4657,2074,200,1217,480,889,4075
TWN.East,TWNZ1,Import from: TWNZF2,0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Export to: TWNZ3,0,0,113,245,191,153,140,24
TWN.East,TWNZ1,Export to: TWNZ0,0,34,3285,1744,2519,2367,2287,1499
TWN.East,TWNZ1,Export to: TWNZ2,31,345,386,317,178,178,190,480
TWN.North,TWNZ2,Demand(GWh),111800,115328,129294,144139,159159,174705,190638,206795
TWN.North,TWNZ2,Supply(GWh),100806,100281,120635,133198,151733,169578,152451,122003
TWN.North,TWNZ2,Spill(GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,Import from: TWNZ0,10394,14138,7708,9870,4546,1093,27121,44243
TWN.North,TWNZ2,Import from: TWNZ1,30,340,381,312,176,176,187,473
TWN.North,TWNZ2,Import from: TWNZF0,569,570,570,875,6359,6359,10893,41872
TWN.North,TWNZ2,Export to: TWNZ0,0,0,0,52,3388,2500,14,1790
TWN.North,TWNZ2,Export to: TWNZ1,0,0,0,64,267,0,0,4
TWN.South,TWNZ3,Demand(GWh),69452,71644,80320,89542,98872,108530,118428,128465
TWN.South,TWNZ3,Supply(GWh),74181,77175,82293,84058,88261,97469,74624,55556
TWN.South,TWNZ3,Spill(GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,Import from: TWNZ0,0,0,286,3130,2725,2106,3630,0
TWN.South,TWNZ3,Import from: TWNZ1,0,0,112,243,189,152,138,23
TWN.South,TWNZ3,Import from: TWNZF3,0,0,0,2345,9596,9596,41403,88440
TWN.South,TWNZ3,Export to: TWNZ0,21,825,275,31,670,307,470,11437
TWN.South,TWNZ3,Export to: TWNZ1,4708,4706,2095,202,1229,485,898,4118
TWN.OffRgn1,TWNZF0,Supply(GWh),579,579,579,888,6456,6456,11059,42507
TWN.OffRgn1,TWNZF0,Spill(GWh),1,0,0,0,1,1,0,0
TWN.OffRgn1,TWNZF0,Export to: TWNZ2,578,579,579,888,6456,6456,11058,42507
TWN.OffRgn2,TWNZF1,Supply(GWh),0,0,0,10027,33845,39608,91921,100955
TWN.OffRgn2,TWNZF1,Spill(GWh),0,0,0,0,0,0,0,0
TWN.OffRgn2,TWNZF1,Export to: TWNZ0,0,0,0,10027,33845,39608,91921,100955
TWN.OffRgn3,TWNZF2,Supply(GWh),0,0,0,0,0,0,0,0
TWN.OffRgn3,TWNZF2,Spill(GWh),0,0,0,0,0,0,0,0
TWN.OffRgn3,TWNZF2,Export to: TWNZ1,0,0,0,0,0,0,0,0
TWN.OffRgn4,TWNZF3,Supply(GWh),0,0,0,2383,9747,9747,42080,89924
TWN.OffRgn4,TWNZF3,Spill(GWh),0,0,0,2,5,5,48,138
TWN.OffRgn4,TWNZF3,Export to: TWNZ3,0,0,0,2381,9742,9742,42032,89785
