Zone code,Zone ID,Item,Item,2015,2020,2025,2030,2035,2040,2045,2050
TWN.Central,TWNZ0,Fuel Consumption (TJ),Coal,386306,386682,370106,404293,146735,30741,1971,13946
TWN.Central,TWNZ0,Fuel Consumption (TJ),Gas,104520,92907,13105,13060,18507,79147,36662,29564
TWN.Central,TWNZ0,Fuel Consumption (TJ),Oil,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Fuel Consumption (TJ),Uranium,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Fuel Consumption (TJ),Biomass,5531,7914,5553,1698,4363,13949,14995,4918
TWN.East,TWNZ1,Fuel Consumption (TJ),Coal,30198,11270,12264,10504,2156,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Gas,616,547,410,11191,17462,32313,7227,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Oil,3643,3238,2428,1619,0,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Uranium,0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Biomass,1436,1217,822,854,1157,11546,16508,9712
TWN.North,TWNZ2,Fuel Consumption (TJ),Coal,361055,362786,760685,710980,605638,867337,820327,609216
TWN.North,TWNZ2,Fuel Consumption (TJ),Gas,212219,188639,141479,274146,457293,475001,432365,392528
TWN.North,TWNZ2,Fuel Consumption (TJ),Oil,106877,95002,71251,0,0,0,0,0
TWN.North,TWNZ2,Fuel Consumption (TJ),Uranium,293666,293666,0,0,0,0,0,0
TWN.North,TWNZ2,Fuel Consumption (TJ),Biomass,17295,17557,17377,17261,22777,9895,30709,26699
TWN.South,TWNZ3,Fuel Consumption (TJ),Coal,457234,457575,530805,247684,130792,278727,168022,118005
TWN.South,TWNZ3,Fuel Consumption (TJ),Gas,78395,69684,14258,222241,313168,272323,181671,87818
TWN.South,TWNZ3,Fuel Consumption (TJ),Oil,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Uranium,168645,168645,0,0,0,0,0,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Biomass,4387,1961,4897,8836,35902,55224,121408,101812
TWN.Central,TWNZ0,Emission (K.Tonnes),Total,42408.7,41793.0,35747.8,38979.0,14919.8,7349.7,2244.7,1402.7
TWN.Central,TWNZ0,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575.6
TWN.East,TWNZ1,Emission (K.Tonnes),Total,3158.4,1334.3,1361.3,1740.3,1183.7,1813.9,407.1,1.0
TWN.East,TWNZ1,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWN.North,TWNZ2,Emission (K.Tonnes),Total,53926.5,51897.0,85122.3,82640.0,82279.0,50220.5,26098.0,8649.6
TWN.North,TWNZ2,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,670.8,58478.1,75763.6,71005.6
TWN.South,TWNZ3,Emission (K.Tonnes),Total,47669.6,47212.9,51014.5,35899.5,27231.7,23351.4,1358.9,-6993.6
TWN.South,TWNZ3,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,2713.6,18299.0,24739.9,23093.6
TWN.Central,TWNZ0,Marginal Gen. Cost (USD/kWh),,0.0642,0.0624,0.0651,0.0670,0.0773,0.0700,0.0406,0.0480
TWN.East,TWNZ1,Marginal Gen. Cost (USD/kWh),,0.1017,0.1408,0.1233,0.1065,0.0767,0.0610,0.0343,0.0285
TWN.North,TWNZ2,Marginal Gen. Cost (USD/kWh),,0.0928,0.1628,0.1969,0.0737,0.0931,0.0908,0.0807,0.0669
TWN.South,TWNZ3,Marginal Gen. Cost (USD/kWh),,0.0653,0.0618,0.0650,0.0761,0.0939,0.0942,0.0820,0.0512
TWN.Central,TWNZ0,Variable Gen. Cost (M.USD),,2207.89,2976.46,2532.62,3019.67,1388.63,1394.55,661.15,512.04
TWN.Central,TWNZ0,Fixed annual Cost (M.USD),,1616.63,1804.33,2367.05,2373.00,2280.52,2469.25,2055.79,2171.08
TWN.East,TWNZ1,Variable Gen. Cost (M.USD),,139.38,123.30,131.67,243.19,237.72,533.65,285.28,113.53
TWN.East,TWNZ1,Fixed annual Cost (M.USD),,55.20,185.87,612.06,626.46,620.26,674.82,836.40,748.45
TWN.North,TWNZ2,Variable Gen. Cost (M.USD),,4672.11,5633.80,7729.94,8384.90,10310.94,11262.74,10245.31,8124.34
TWN.North,TWNZ2,Fixed annual Cost (M.USD),,1882.89,2037.68,2219.19,2290.86,2456.27,4953.51,6340.67,7978.52
TWN.South,TWNZ3,Variable Gen. Cost (M.USD),,2350.59,3288.08,3548.20,4419.03,5090.46,5762.45,4358.38,2589.93
TWN.South,TWNZ3,Fixed annual Cost (M.USD),,1570.64,1780.69,2327.76,2150.08,2179.63,2831.43,3295.92,3776.73
TWN.OffRgn1,TWNZF0,Fixed annual Cost (M.USD),,70.08,70.08,70.08,77.04,611.32,611.32,1046.09,4072.01
TWN.OffRgn2,TWNZF1,Fixed annual Cost (M.USD),,0.00,0.00,0.00,869.20,3132.69,3668.28,8619.80,9437.70
TWN.OffRgn3,TWNZF2,Fixed annual Cost (M.USD),,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.OffRgn4,TWNZF3,Fixed annual Cost (M.USD),,0.00,0.00,0.00,211.02,891.22,891.22,3955.25,8358.97
