Zone code,Zone ID,Flow,Annual Total(GWh),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.Central,TWNZ0,Demand(GWh),59071.86319469591,1719.237,1781.604,1768.132,1814.675,1799.976,1552.111,1417.936,1528.899,1882.379,2001.356,2010.764,2000.446,1954.790,1700.159,1558.842,1673.781,2023.662,2211.095,2249.643,2186.876,2083.729,1823.446,1681.304,1796.001,1883.033,2020.667,2038.343,2027.787,1953.462,1696.529,1559.093,1672.109
TWN.Central,TWNZ0,Residual Demand(GWh),0,1621.098,1662.000,1631.206,1685.619,1699.462,1470.382,1337.065,1441.581,1819.841,1912.810,1921.475,1933.251,1906.195,1658.990,1515.892,1627.901,1958.091,2130.113,2172.865,2134.383,2033.965,1770.847,1629.167,1744.390,1788.128,1903.909,1914.201,1919.261,1863.248,1619.436,1483.233,1592.921
TWN.Central,TWNZ0,Zone Supply(GWh),63277.98467822115,1599.066,1806.526,2245.893,1753.006,1742.902,1588.588,1454.413,1565.376,2101.277,2045.373,1730.245,2245.242,2113.296,2102.861,2075.970,1673.781,2320.471,1929.016,2478.602,2212.938,2112.048,2119.952,1718.591,2250.483,1585.201,2073.703,2381.356,2166.953,2145.741,1731.262,2007.712,2200.140
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,3664.9958952128222,120.512,430.829,89.151,0.000,0.000,0.000,0.000,0.000,360.611,508.227,280.519,0.000,0.000,0.000,0.000,0.000,282.700,385.594,184.415,0.000,0.000,0.000,0.000,0.000,299.034,493.206,230.198,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ2,357.9900306606398,0.000,0.000,0.000,93.551,93.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,77.346,93.541,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ3,80.90688060000001,0.000,26.673,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.265,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.969,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZF1,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ3,522.7563903667244,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.961,103.409,0.000,0.000,0.000,0.000,0.000,0.000,103.409,103.409,0.000,0.000,0.000,0.000,0.000,0.000,102.285,102.285,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,7240.567704858403,0.342,482.423,566.912,0.000,0.000,0.000,0.000,0.000,579.510,579.510,0.000,199.548,17.809,365.414,479.840,0.000,579.510,103.514,413.375,0.000,0.000,259.219,0.000,454.483,1.203,573.211,573.211,0.000,53.112,0.000,430.394,528.031
