Zone code,Zone ID,Item,Item,M01H00,M01H01,M01H02,M01H03,M01H04,M01H05,M01H06,M01H07,M01H08,M01H09,M01H10,M01H11,M01H12,M01H13,M01H14,M01H15,M01H16,M01H17,M01H18,M01H19,M01H20,M01H21,M01H22,M01H23,M02H00,M02H01,M02H02,M02H03,M02H04,M02H05,M02H06,M02H07,M02H08,M02H09,M02H10,M02H11,M02H12,M02H13,M02H14,M02H15,M02H16,M02H17,M02H18,M02H19,M02H20,M02H21,M02H22,M02H23,M03H00,M03H01,M03H02,M03H03,M03H04,M03H05,M03H06,M03H07,M03H08,M03H09,M03H10,M03H11,M03H12,M03H13,M03H14,M03H15,M03H16,M03H17,M03H18,M03H19,M03H20,M03H21,M03H22,M03H23,M04H00,M04H01,M04H02,M04H03,M04H04,M04H05,M04H06,M04H07,M04H08,M04H09,M04H10,M04H11,M04H12,M04H13,M04H14,M04H15,M04H16,M04H17,M04H18,M04H19,M04H20,M04H21,M04H22,M04H23,M05H00,M05H01,M05H02,M05H03,M05H04,M05H05,M05H06,M05H07,M05H08,M05H09,M05H10,M05H11,M05H12,M05H13,M05H14,M05H15,M05H16,M05H17,M05H18,M05H19,M05H20,M05H21,M05H22,M05H23,M06H00,M06H01,M06H02,M06H03,M06H04,M06H05,M06H06,M06H07,M06H08,M06H09,M06H10,M06H11,M06H12,M06H13,M06H14,M06H15,M06H16,M06H17,M06H18,M06H19,M06H20,M06H21,M06H22,M06H23,M07H00,M07H01,M07H02,M07H03,M07H04,M07H05,M07H06,M07H07,M07H08,M07H09,M07H10,M07H11,M07H12,M07H13,M07H14,M07H15,M07H16,M07H17,M07H18,M07H19,M07H20,M07H21,M07H22,M07H23,M08H00,M08H01,M08H02,M08H03,M08H04,M08H05,M08H06,M08H07,M08H08,M08H09,M08H10,M08H11,M08H12,M08H13,M08H14,M08H15,M08H16,M08H17,M08H18,M08H19,M08H20,M08H21,M08H22,M08H23,M09H00,M09H01,M09H02,M09H03,M09H04,M09H05,M09H06,M09H07,M09H08,M09H09,M09H10,M09H11,M09H12,M09H13,M09H14,M09H15,M09H16,M09H17,M09H18,M09H19,M09H20,M09H21,M09H22,M09H23,M10H00,M10H01,M10H02,M10H03,M10H04,M10H05,M10H06,M10H07,M10H08,M10H09,M10H10,M10H11,M10H12,M10H13,M10H14,M10H15,M10H16,M10H17,M10H18,M10H19,M10H20,M10H21,M10H22,M10H23,M11H00,M11H01,M11H02,M11H03,M11H04,M11H05,M11H06,M11H07,M11H08,M11H09,M11H10,M11H11,M11H12,M11H13,M11H14,M11H15,M11H16,M11H17,M11H18,M11H19,M11H20,M11H21,M11H22,M11H23,M12H00,M12H01,M12H02,M12H03,M12H04,M12H05,M12H06,M12H07,M12H08,M12H09,M12H10,M12H11,M12H12,M12H13,M12H14,M12H15,M12H16,M12H17,M12H18,M12H19,M12H20,M12H21,M12H22,M12H23
TWN.Central,TWNZ0,Fuel Consumption (GJ),Coal,135756,0,0,0,0,0,0,0,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,122619,0,0,0,0,0,0,96790,122619,122619,122619,122619,122619,122619,122619,122619,122619,122619,122619,122619,122619,122619,122619,122619,135756,135756,0,0,0,0,0,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,131377,131377,131377,9870,0,63875,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,135756,0,0,0,0,0,0,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,8995,0,0,0,0,0,0,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,0,0,0,0,0,94365,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,135756,0,0,0,0,0,0,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,131377,119192,0,0,0,0,0,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,131377,135756,0,0,0,0,0,0,0,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756,135756
TWN.Central,TWNZ0,Fuel Consumption (GJ),Gas,0,0,0,0,0,0,0,0,0,0,65258,107162,130637,122150,73583,6693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145909,301483,344800,358269,345687,291333,208786,116253,51952,2628,0,0,26393,81389,52165,172818,0,0,0,0,0,0,0,206227,416415,511469,511469,511469,511469,511469,511469,424007,350972,296839,279374,296160,339472,382084,312115,390385,148231,0,0,0,0,54164,289299,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,494970,460890,352148,315101,344467,405808,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,511469,494970,396326,249194,173711,177105,250044,397613,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,494970,0,0,0,0,0,0,0,0,0,147747,0,0,273444,67870,216730,164436,0,33614,0,0,0,32102,69104,0,0,0,0,0,0,0,0,0,0,117315,49148,214813,0,240017,213344,160995,0,0,0,0,0,0,90642,0,0,0,0,0,0,0,0,0,0,0,17274,52125,70560,58219,16371,0,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Fuel Consumption (GJ),Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Fuel Consumption (GJ),Uranium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Fuel Consumption (GJ),Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152187,179731,179731,179731,179731,29447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137958,0,173933,0,173933,173933,173933,0,173933,0,0,0,0,173933,0,0,0,0,0,0,0,0,0,179731,179731,0,179731,91928,179731,0,0,179731,179731,179731,179731,179731,179731,0,1685,0,0,0,0,0,0,0,130196,0,173933,173933,173933,0,173933,173933,0,173933,173933,173933,0,173933,44992,173933,173933,0,0,0,0,0,0,0,113304,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,12527,0,0,0,0,0,0,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,179731,0,0,0,0,0,0,0,0,0,173933,91201,173933,173933,173933,173933,173933,173933,173933,173933,173933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Fuel Consumption (GJ),Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Fuel Consumption (GJ),Gas,1347,0,0,0,0,0,0,0,37940,134598,161251,161251,161251,161251,161251,161251,117732,106068,98910,96538,99431,107254,115306,99461,0,0,0,0,0,0,0,0,25984,145646,145646,145646,145646,145646,145646,145646,145646,145646,145646,133581,145203,145646,145646,118115,0,0,0,0,0,0,0,0,60867,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,111186,0,0,0,0,0,0,0,0,87484,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,161251,107202,0,0,156858,0,105450,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,128468,0,0,0,0,0,40691,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,110334,0,0,0,0,0,0,111334,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,0,0,0,0,0,0,0,0,37551,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,161251,122541,2106,0,0,0,0,0,0,0,35605,156049,156049,156049,156049,156049,156049,156049,156049,156049,156049,142823,156049,156049,156049,146633,10661,0,0,0,0,0,0,0,42834,147568,161251,161251,161251,161251,161251,156267,114031,103993,96615,94035,97093,104735,113425,89466
TWN.East,TWNZ1,Fuel Consumption (GJ),Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Fuel Consumption (GJ),Uranium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Fuel Consumption (GJ),Biomass,0,0,0,0,0,0,0,0,0,0,112685,112685,112685,112685,112685,79990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37374,101780,101780,101780,101780,101780,85441,52768,33512,20793,0,0,34873,41890,0,0,0,0,0,0,0,0,0,0,30291,112685,112685,112685,112685,112685,112685,80676,59605,45826,41117,46082,59375,49861,0,0,0,0,0,0,0,0,0,0,19194,109050,109050,109050,109050,109050,109050,105814,85528,71770,67020,72485,83296,43701,0,0,0,0,0,0,0,0,0,0,53444,16340,112685,112685,112685,32752,112685,0,10945,0,0,0,78273,0,0,0,0,0,0,0,0,0,0,0,0,6410,78115,75155,59639,33867,4038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,34812,0,0,0,0,0,0,0,102687,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,112685,0,0,0,0,0,0,0,0,0,0,109050,109050,109050,109050,18998,0,0,0,42061,0,0,0,96384,0,0,0,0,0,0,0,0,0,0,105958,112685,112685,112685,112685,112685,112685,90527,68385,50892,19477,44128,54783,69486,0,0,0,0,0,0,0,0,0,0,109050,109050,109050,109050,109050,109050,95010,58488,38947,0,0,0,39879,47546,0,0,0,0,0,0,0,0,0,0,0,112685,112685,112685,112685,106473,0,0,0,0,0,0,0,0,0
