Zone code,Zone ID,Flow,Annual Total(GWh),M01H00,M01H01,M01H02,M01H03,M01H04,M01H05,M01H06,M01H07,M01H08,M01H09,M01H10,M01H11,M01H12,M01H13,M01H14,M01H15,M01H16,M01H17,M01H18,M01H19,M01H20,M01H21,M01H22,M01H23,M02H00,M02H01,M02H02,M02H03,M02H04,M02H05,M02H06,M02H07,M02H08,M02H09,M02H10,M02H11,M02H12,M02H13,M02H14,M02H15,M02H16,M02H17,M02H18,M02H19,M02H20,M02H21,M02H22,M02H23,M03H00,M03H01,M03H02,M03H03,M03H04,M03H05,M03H06,M03H07,M03H08,M03H09,M03H10,M03H11,M03H12,M03H13,M03H14,M03H15,M03H16,M03H17,M03H18,M03H19,M03H20,M03H21,M03H22,M03H23,M04H00,M04H01,M04H02,M04H03,M04H04,M04H05,M04H06,M04H07,M04H08,M04H09,M04H10,M04H11,M04H12,M04H13,M04H14,M04H15,M04H16,M04H17,M04H18,M04H19,M04H20,M04H21,M04H22,M04H23,M05H00,M05H01,M05H02,M05H03,M05H04,M05H05,M05H06,M05H07,M05H08,M05H09,M05H10,M05H11,M05H12,M05H13,M05H14,M05H15,M05H16,M05H17,M05H18,M05H19,M05H20,M05H21,M05H22,M05H23,M06H00,M06H01,M06H02,M06H03,M06H04,M06H05,M06H06,M06H07,M06H08,M06H09,M06H10,M06H11,M06H12,M06H13,M06H14,M06H15,M06H16,M06H17,M06H18,M06H19,M06H20,M06H21,M06H22,M06H23,M07H00,M07H01,M07H02,M07H03,M07H04,M07H05,M07H06,M07H07,M07H08,M07H09,M07H10,M07H11,M07H12,M07H13,M07H14,M07H15,M07H16,M07H17,M07H18,M07H19,M07H20,M07H21,M07H22,M07H23,M08H00,M08H01,M08H02,M08H03,M08H04,M08H05,M08H06,M08H07,M08H08,M08H09,M08H10,M08H11,M08H12,M08H13,M08H14,M08H15,M08H16,M08H17,M08H18,M08H19,M08H20,M08H21,M08H22,M08H23,M09H00,M09H01,M09H02,M09H03,M09H04,M09H05,M09H06,M09H07,M09H08,M09H09,M09H10,M09H11,M09H12,M09H13,M09H14,M09H15,M09H16,M09H17,M09H18,M09H19,M09H20,M09H21,M09H22,M09H23,M10H00,M10H01,M10H02,M10H03,M10H04,M10H05,M10H06,M10H07,M10H08,M10H09,M10H10,M10H11,M10H12,M10H13,M10H14,M10H15,M10H16,M10H17,M10H18,M10H19,M10H20,M10H21,M10H22,M10H23,M11H00,M11H01,M11H02,M11H03,M11H04,M11H05,M11H06,M11H07,M11H08,M11H09,M11H10,M11H11,M11H12,M11H13,M11H14,M11H15,M11H16,M11H17,M11H18,M11H19,M11H20,M11H21,M11H22,M11H23,M12H00,M12H01,M12H02,M12H03,M12H04,M12H05,M12H06,M12H07,M12H08,M12H09,M12H10,M12H11,M12H12,M12H13,M12H14,M12H15,M12H16,M12H17,M12H18,M12H19,M12H20,M12H21,M12H22,M12H23
TWN.Central,TWNZ0,Demand(GWh),87098.64586864413,280.704,290.489,297.048,300.214,300.635,299.492,298.102,297.492,298.083,299.555,306.687,311.302,311.256,305.289,293.434,277.112,258.893,247.107,239.390,236.346,238.375,245.558,256.325,268.734,255.749,264.599,270.527,273.381,273.747,272.695,271.418,270.848,271.364,272.679,279.104,283.253,283.183,277.902,267.150,252.355,235.847,225.542,218.386,215.555,217.582,224.076,233.818,245.046,290.965,301.293,308.501,312.329,313.328,312.605,311.421,310.781,311.111,312.129,314.415,319.542,320.318,315.765,304.202,287.773,268.817,257.408,249.334,246.134,248.410,255.724,266.698,279.350,289.197,300.315,309.364,315.687,319.306,320.773,320.881,320.348,319.556,318.436,316.517,319.096,318.030,313.321,302.194,287.437,269.072,258.510,250.906,247.892,250.209,256.942,267.042,278.682,312.074,325.578,337.520,346.826,353.108,356.563,357.739,357.237,355.465,352.511,348.166,348.265,344.778,338.251,325.708,310.366,290.283,278.072,270.208,267.115,269.211,276.563,287.577,300.267,309.573,323.210,335.680,345.775,352.917,357.105,358.707,358.219,356.028,352.297,346.977,345.907,341.520,334.584,322.217,307.632,288.028,276.978,269.206,266.126,268.318,275.357,285.919,298.096,321.496,335.671,348.984,360.076,368.193,373.157,375.200,374.737,372.151,367.677,361.395,359.518,354.407,347.041,334.449,319.986,300.058,288.960,281.220,278.152,280.334,287.342,297.856,309.975,322.119,336.556,349.914,360.868,368.736,373.436,375.291,374.779,372.301,368.061,362.065,360.426,355.407,347.896,334.928,319.868,299.423,288.191,280.117,276.917,279.192,286.504,297.476,310.125,303.406,316.808,329.112,339.112,346.219,350.403,352.008,351.504,349.271,345.481,343.247,341.287,335.850,328.108,315.420,301.015,281.886,271.684,263.895,260.796,263.144,270.011,280.323,292.212,303.143,315.942,327.019,335.422,340.890,343.732,344.571,344.047,342.563,340.158,342.276,341.606,336.915,329.277,316.211,300.877,281.640,270.178,262.447,259.389,261.406,268.575,279.328,291.723,283.948,294.376,302.058,306.608,308.405,308.364,307.582,306.960,306.905,307.207,312.662,315.584,314.136,308.363,296.358,280.615,262.462,252.054,244.260,241.156,243.323,250.337,260.873,273.024,283.234,292.754,299.114,302.153,302.505,301.329,299.914,299.268,299.802,301.203,308.268,312.847,312.820,306.998,295.303,279.191,261.199,250.778,242.848,239.690,242.071,249.057,259.548,271.643
TWN.Central,TWNZ0,Zone Supply(GWh),25898.62345139556,88.326,103.572,111.106,97.366,92.104,86.562,82.474,105.181,105.922,41.435,28.622,120.865,25.807,77.427,23.851,23.191,41.514,22.620,22.651,22.808,23.036,23.321,23.993,31.819,70.863,114.400,125.197,140.872,136.090,124.275,124.820,100.086,69.757,53.306,25.678,23.662,22.762,21.947,21.263,20.761,20.494,20.453,20.529,20.668,20.847,21.017,22.515,39.031,81.979,114.800,134.075,123.283,128.922,121.680,106.122,113.544,80.796,48.499,32.355,46.001,44.370,57.315,55.199,20.565,36.836,20.209,20.307,20.443,20.550,20.638,27.345,48.629,82.878,112.839,136.170,150.073,153.514,147.532,132.393,109.479,81.154,70.075,81.658,87.400,92.372,93.397,89.146,79.848,63.997,51.270,40.656,36.659,37.942,45.109,53.181,67.197,141.869,138.677,133.039,141.852,144.281,140.147,137.328,144.782,141.196,139.964,140.455,144.396,145.884,145.590,143.513,135.653,119.253,109.056,102.971,99.459,100.435,107.177,116.916,130.489,109.682,106.843,123.144,132.849,133.923,130.095,122.300,129.744,128.356,127.275,126.330,124.216,115.455,104.568,90.321,75.322,54.635,42.721,37.546,39.712,48.514,61.184,81.204,101.453,160.283,164.132,165.759,169.037,173.497,178.903,187.211,192.948,188.599,178.653,157.555,147.528,146.440,146.546,135.415,113.078,86.679,73.610,70.049,74.085,85.032,100.911,123.201,144.044,179.540,190.512,193.763,196.406,199.194,199.721,203.982,203.058,197.545,173.071,153.956,146.846,146.372,146.323,146.329,144.035,125.788,116.495,111.286,113.846,121.274,133.373,151.053,169.372,107.671,108.774,130.485,143.728,146.889,140.347,124.820,104.246,95.541,88.972,82.502,79.837,79.594,81.283,81.914,79.454,67.288,61.995,56.423,54.381,57.124,65.684,78.580,91.460,85.700,120.760,141.607,135.788,134.207,131.746,145.225,118.463,85.810,50.812,31.682,28.984,86.502,27.076,26.133,25.278,24.689,24.359,24.231,70.470,24.305,24.436,92.077,49.745,67.879,132.779,127.386,139.500,128.209,124.022,125.635,125.008,70.830,64.557,28.043,26.663,25.715,24.805,24.007,23.321,22.903,22.686,22.661,22.730,22.873,23.055,23.919,39.186,65.688,96.795,90.464,86.573,84.133,78.529,72.203,96.048,103.377,114.703,28.989,27.902,26.789,25.742,24.853,81.332,57.913,30.643,23.650,17.490,24.127,24.386,24.797,68.679
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,2270.9349879789634,0.000,22.834,29.966,44.835,44.536,41.873,36.104,1.577,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.692,41.090,47.636,42.579,43.556,24.392,4.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.600,39.408,48.323,47.966,56.781,33.532,42.518,9.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.151,16.065,40.332,55.242,55.242,40.792,17.808,4.489,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.612,13.244,25.453,22.243,20.967,16.801,11.517,0.000,0.000,0.000,0.000,0.000,0.645,1.568,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.631,14.857,17.687,16.313,13.002,8.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.280,17.055,20.195,18.666,14.942,7.060,0.000,0.000,5.236,24.592,28.632,21.340,8.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.773,6.009,13.726,16.819,15.651,11.133,2.685,0.000,0.000,18.359,31.211,28.126,29.001,23.864,11.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.376,17.941,25.264,21.480,16.401,6.721,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.647,47.456,53.899,51.820,47.312,20.289,1.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.591,41.629,43.853,47.214,39.489,17.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.836,28.564,43.210,42.566,39.854,34.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ2,14.131612783387531,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.368,9.243,2.425,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ3,463.8451352665866,0.000,11.552,11.552,11.552,11.552,11.552,11.552,9.466,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.227,10.434,10.434,10.434,10.434,10.434,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.741,11.552,11.552,11.552,11.552,11.552,11.552,9.507,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.179,11.179,11.179,11.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.424,11.552,11.552,11.552,11.552,8.939,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.659,11.179,11.179,11.179,11.179,11.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.552,11.552,11.552,11.552,11.552,11.552,10.957,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZF1,90565.31010654525,469.226,465.260,462.055,464.093,470.074,477.136,485.603,494.591,503.558,511.989,519.048,518.256,510.629,499.133,486.698,475.675,467.237,462.422,461.746,463.339,465.540,467.425,467.783,467.205,354.421,349.713,347.227,351.551,359.684,367.577,373.505,378.684,381.686,383.383,387.597,387.343,382.683,374.042,365.791,360.556,358.661,359.651,361.783,364.296,365.757,366.462,364.839,360.861,308.429,303.790,303.199,306.943,316.098,327.750,335.985,341.819,346.287,349.339,352.881,351.536,344.658,336.149,327.853,319.510,314.362,316.254,318.586,318.207,317.070,317.171,316.789,312.947,220.413,224.477,229.660,235.427,242.209,249.962,254.817,255.292,252.661,248.361,244.718,241.554,235.516,229.783,222.452,214.427,208.596,208.965,210.751,211.306,212.815,213.355,213.860,214.645,169.593,173.657,179.028,186.869,195.924,203.341,208.894,212.456,214.269,212.547,207.711,203.870,198.249,191.092,182.195,174.712,171.030,169.016,167.237,167.657,168.775,169.387,170.660,169.779,199.891,205.736,212.035,217.011,222.443,226.161,227.809,228.475,227.671,225.022,220.646,221.690,226.065,230.017,231.896,232.310,233.394,234.257,231.660,226.415,219.804,214.172,204.715,196.643,161.213,162.258,166.170,170.843,176.030,179.312,180.928,181.789,183.552,183.788,179.247,182.262,186.627,191.829,199.034,206.908,213.379,215.350,211.170,204.067,195.301,186.431,174.655,165.932,139.807,140.035,142.425,147.643,153.892,162.582,168.624,171.720,174.756,176.631,175.529,176.211,177.608,177.709,177.565,175.833,173.635,171.696,168.832,163.070,157.919,153.131,146.423,140.752,195.735,196.659,200.750,208.535,216.997,227.838,237.752,247.257,253.731,256.509,260.745,261.450,256.256,246.825,233.506,221.561,214.598,209.689,207.472,206.416,206.019,204.327,201.743,200.751,440.087,440.805,444.036,451.814,459.499,469.168,477.312,483.814,488.997,492.139,496.020,496.498,492.446,482.743,470.297,457.561,446.894,440.298,436.854,435.375,435.987,438.377,442.744,444.992,407.468,408.435,411.749,419.460,427.975,438.735,449.083,458.436,466.281,472.611,478.250,477.230,468.601,455.202,439.864,425.587,416.696,411.947,410.103,409.480,409.678,409.889,409.321,409.772,482.446,479.766,477.386,478.450,481.509,489.024,499.515,509.895,519.074,528.226,536.298,537.077,531.198,521.173,507.870,495.550,486.007,480.376,479.254,481.204,483.503,484.769,483.937,482.970
TWN.Central,TWNZ0,Export to: TWNZ3,3674.8388285916208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.960,53.521,0.000,72.195,19.276,45.312,70.421,0.000,32.617,14.372,25.850,21.729,1.040,34.886,35.654,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.437,54.120,65.208,65.208,65.208,65.208,65.208,56.622,33.871,18.788,6.427,0.000,0.000,6.687,15.699,2.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.602,72.195,60.633,67.808,58.522,67.511,68.662,42.115,72.195,68.868,59.583,52.422,52.690,60.896,67.249,43.484,15.245,1.780,0.000,0.000,0.000,0.000,0.000,40.561,9.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.356,21.772,19.762,12.153,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.452,0.000,0.383,14.992,17.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.610,67.987,72.195,72.195,72.195,72.195,70.054,54.577,35.211,23.193,13.277,8.324,9.328,16.909,1.554,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.258,18.046,69.866,69.866,54.282,52.277,51.558,25.629,16.824,5.702,0.000,0.000,0.000,0.000,10.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.289,45.920,72.195,72.195,72.195,72.195,72.195,0.000,30.694,18.636,29.172,35.042,35.984,15.711,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,27413.82499060787,276.849,312.729,317.631,317.631,317.631,317.631,317.631,313.322,301.210,224.720,177.274,317.631,142.798,241.808,161.615,141.146,239.670,195.131,220.447,213.764,218.286,233.961,190.377,184.448,169.129,212.432,253.420,277.112,275.041,273.148,261.733,211.981,171.019,100.688,59.762,53.342,47.852,43.677,45.495,63.139,100.236,126.572,148.297,160.208,159.821,147.514,128.636,143.144,102.783,168.257,188.647,177.415,200.024,181.909,184.756,163.439,62.896,3.326,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.789,29.907,26.332,11.002,0.000,28.555,0.000,51.287,107.978,136.235,142.838,128.691,84.136,8.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.138,8.064,3.726,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.611,38.414,38.764,19.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,222.644,273.693,317.631,317.631,316.187,316.046,307.194,259.236,209.447,124.619,103.044,101.494,159.651,98.161,99.978,117.197,144.544,161.099,175.173,227.944,179.371,167.142,243.751,192.826,187.485,258.088,289.885,307.385,306.172,305.061,296.035,276.484,218.090,202.057,113.907,108.585,116.039,109.508,106.096,132.804,150.454,167.019,178.645,181.195,179.369,172.748,151.829,166.075,264.900,315.195,308.851,317.631,317.256,317.631,317.631,317.631,296.174,285.619,174.637,169.751,162.785,157.534,155.037,287.504,241.841,231.418,220.697,213.774,219.389,234.201,238.999,269.818
TWN.Central,TWNZ0,Export to: TWNZ1,1025.5356061262362,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,0.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.624,9.201,9.201,9.201,9.201,9.201,9.201,9.201,9.201,9.201,9.201,9.201,9.201,9.201,9.201,9.201,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.474,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.835,0.000,9.859,9.859,9.859,9.859,9.404,6.837,3.521,1.725,0.501,0.073,0.548,1.522,0.000,3.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,3.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.859,9.859,9.859,9.859,9.859,9.859,9.859,9.859,9.859,9.859,9.859,9.859,9.859,9.859,9.859,9.859,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187
