Item,Unit,2015,2020,2025,2030,2035,2040,2045,2050
Electricity Demand,GWh,241531,249154,279326,311396,343844,377431,411853,446758
Electricity Supply,GWh,241711,249379,279399,311644,344052,377599,411982,447097
Electricity Spilled,GWh,1,0,0,0,0,0,0,2
Electricity Import,GWh,0,0,0,0,0,0,0,0
Electricity Export,GWh,0,0,0,0,0,0,0,0
Renewable Gen. to Demand,%,5.2,11.7,18.2,21.0,19.9,18.1,16.6,18.3
Carbon Emission,K.Tonnes,147163,142237,188842,197550,222136,245851,265891,278589
Carbon Sequestration,K.Tonnes,0,0,0,0,0,0,0,0
Annual Variable Cost,M.USD,9370,12022,14979,15919,18618,21902,25255,28122
Annual Fixed Cost,M.USD,5195,5879,6470,7367,7868,8271,8899,10148
Fuel Consumption Coal,TJ,1234794,1218313,1838723,2020063,2317586,2598037,2810661,2944888
Fuel Consumption Gas,TJ,395750,351777,169253,112836,51499,1318,0,0
Fuel Consumption Oil,TJ,110520,98240,73680,1619,0,0,0,0
Fuel Consumption Uranium,TJ,462311,462311,0,0,0,0,0,0
Fuel Consumption Biomass,TJ,28649,28649,28649,28649,28649,28506,28506,28506
Capacity - Coal,MW,23330,23330,35233,38532,45839,53273,58540,65458
Capacity - Coal CCS,MW,0,0,0,0,0,0,0,0
Capacity - Gas,MW,23054,23054,17771,17771,12320,7377,8657,8657
Capacity - Gas CCS,MW,0,0,0,0,0,0,0,0
Capacity - Oil,MW,3342,3342,3342,51,0,0,0,0
Capacity - Nuclear,MW,5214,5214,0,0,0,0,0,0
Capacity - Biomass,MW,412,412,412,412,412,412,412,412
Capacity - BECCS,MW,0,0,0,0,0,0,0,0
Capacity - Pump Hydro Storage,MW,2600,2600,2600,2600,2600,2600,2600,2600
Capacity - Battery Storage,MW,0,50,705,1130,1454,2360,2042,1718
Capacity - Hydropower,MW,2110,4178,4178,4178,4178,4178,4178,4185
Capacity - Wind,MW,647,2652,3121,3903,3446,3431,3431,3431
Capacity - Offshore Wind,MW,150,150,150,0,0,0,0,3455
Capacity - PV,MW,842,2618,16772,27393,30343,30361,30361,30361
Capacity - Other Renewables,MW,0,200,200,200,200,200,200,200
Generation - Coal,GWh,124494,122935,198241,229559,268142,309039,343699,365444
Generation - Coal CCS,GWh,0,0,0,0,0,0,0,0
Generation - Gas,GWh,57332,50962,24642,16428,7505,193,0,0
Generation - Gas CCS,GWh,0,0,0,0,0,0,0,0
Generation - Oil,GWh,8719,7751,5813,128,0,0,0,0
Generation - Nuclear,GWh,38641,38641,0,0,0,0,0,0
Generation - Biomass,GWh,2283,2283,2283,2283,2283,2283,2283,2283
Generation - BECCS,GWh,0,0,0,0,0,0,0,0
Generation - Hydropower,GWh,7446,14761,14761,14761,14761,14761,14667,14709
Generation - Wind,GWh,1103,6405,7299,8650,8142,8093,8093,8093
Generation - Offshore Wind,GWh,579,579,579,0,0,0,0,13298
Generation - PV,GWh,1113,3661,24390,38448,41851,41873,41873,41873
Generation - Other Renewables,GWh,0,1402,1402,1402,1402,1402,1402,1402
