Zone code,Zone ID,Item,Item,2015,2020,2025,2030,2035,2040,2045,2050
TWN.Central,TWNZ0,Fuel Consumption (TJ),Coal,386306,386682,396524,353295,406951,425111,529019,527449
TWN.Central,TWNZ0,Fuel Consumption (TJ),Gas,104520,92907,13105,8737,4368,1318,0,0
TWN.Central,TWNZ0,Fuel Consumption (TJ),Oil,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Fuel Consumption (TJ),Uranium,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Fuel Consumption (TJ),Biomass,5531,7914,4144,5395,5982,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Coal,30198,11270,23991,24385,39654,28590,37914,42933
TWN.East,TWNZ1,Fuel Consumption (TJ),Gas,616,547,410,274,81,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Oil,3643,3238,2428,1619,0,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Uranium,0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Biomass,1436,1217,1312,914,1068,28506,28506,28506
TWN.North,TWNZ2,Fuel Consumption (TJ),Coal,361055,362786,838593,1007812,1168533,1388817,1450049,1530739
TWN.North,TWNZ2,Fuel Consumption (TJ),Gas,212219,188639,141479,94320,44100,0,0,0
TWN.North,TWNZ2,Fuel Consumption (TJ),Oil,106877,95002,71251,0,0,0,0,0
TWN.North,TWNZ2,Fuel Consumption (TJ),Uranium,293666,293666,0,0,0,0,0,0
TWN.North,TWNZ2,Fuel Consumption (TJ),Biomass,17295,17557,15524,15600,13666,0,0,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Coal,457234,457575,579616,634571,702448,755518,793678,843768
TWN.South,TWNZ3,Fuel Consumption (TJ),Gas,78395,69684,14258,9506,2950,0,0,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Oil,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Uranium,168645,168645,0,0,0,0,0,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Biomass,4387,1961,7669,6739,7932,0,0,0
TWN.Central,TWNZ0,Emission (K.Tonnes),Total,42408.7,41793.0,38246.8,33912.3,38743.2,40289.5,50045.2,49896.7
TWN.Central,TWNZ0,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWN.East,TWNZ1,Emission (K.Tonnes),Total,3158.4,1334.3,2470.7,2441.0,3755.9,2707.4,3589.5,4064.3
TWN.East,TWNZ1,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWN.North,TWNZ2,Emission (K.Tonnes),Total,53926.5,51897.0,92492.2,100631.9,113018.6,131382.1,137174.6,144807.9
TWN.North,TWNZ2,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWN.South,TWNZ3,Emission (K.Tonnes),Total,47669.6,47212.9,55632.3,60564.3,66617.8,71472.0,75082.0,79820.4
TWN.South,TWNZ3,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWN.Central,TWNZ0,Marginal Gen. Cost (USD/kWh),,0.0642,0.0624,0.0782,0.0695,0.0703,0.0683,0.0696,0.0734
TWN.East,TWNZ1,Marginal Gen. Cost (USD/kWh),,0.1017,0.1408,0.1384,0.1243,0.0699,0.0511,0.0680,0.0715
TWN.North,TWNZ2,Marginal Gen. Cost (USD/kWh),,0.0928,0.1628,0.1969,0.0741,0.0725,0.0665,0.0696,0.0736
TWN.South,TWNZ3,Marginal Gen. Cost (USD/kWh),,0.0653,0.0618,0.0691,0.0669,0.0678,0.0670,0.0691,0.0735
TWN.Central,TWNZ0,Variable Gen. Cost (M.USD),,2207.89,2976.46,2681.95,2652.92,3222.02,3542.28,4691.91,4977.37
TWN.Central,TWNZ0,Fixed annual Cost (M.USD),,1616.63,1804.33,2120.46,2297.90,2356.79,2513.45,2340.81,2240.89
TWN.East,TWNZ1,Variable Gen. Cost (M.USD),,139.38,123.30,211.03,215.64,315.80,570.39,669.41,738.36
TWN.East,TWNZ1,Fixed annual Cost (M.USD),,55.20,185.87,212.26,544.25,593.63,659.60,670.87,682.07
TWN.North,TWNZ2,Variable Gen. Cost (M.USD),,4672.11,5633.80,8199.93,8383.37,9595.18,11521.53,12856.42,14444.58
TWN.North,TWNZ2,Fixed annual Cost (M.USD),,1882.89,2037.68,2066.09,2223.19,2587.60,2630.21,3111.42,3476.03
TWN.South,TWNZ3,Variable Gen. Cost (M.USD),,2350.59,3288.08,3886.04,4667.50,5484.78,6267.79,7037.26,7962.13
TWN.South,TWNZ3,Fixed annual Cost (M.USD),,1570.64,1780.69,2000.67,2301.17,2329.99,2467.73,2775.61,2773.46
TWN.OffRgn1,TWNZF0,Fixed annual Cost (M.USD),,70.08,70.08,70.08,0.00,0.00,0.00,0.00,64.95
TWN.OffRgn2,TWNZF1,Fixed annual Cost (M.USD),,0.00,0.00,0.00,0.00,0.00,0.00,0.00,732.78
TWN.OffRgn3,TWNZF2,Fixed annual Cost (M.USD),,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.OffRgn4,TWNZF3,Fixed annual Cost (M.USD),,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.90
