Zone code,Zone ID,Flow,Annual Total(GWh),M01H00,M01H01,M01H02,M01H03,M01H04,M01H05,M01H06,M01H07,M01H08,M01H09,M01H10,M01H11,M01H12,M01H13,M01H14,M01H15,M01H16,M01H17,M01H18,M01H19,M01H20,M01H21,M01H22,M01H23,M02H00,M02H01,M02H02,M02H03,M02H04,M02H05,M02H06,M02H07,M02H08,M02H09,M02H10,M02H11,M02H12,M02H13,M02H14,M02H15,M02H16,M02H17,M02H18,M02H19,M02H20,M02H21,M02H22,M02H23,M03H00,M03H01,M03H02,M03H03,M03H04,M03H05,M03H06,M03H07,M03H08,M03H09,M03H10,M03H11,M03H12,M03H13,M03H14,M03H15,M03H16,M03H17,M03H18,M03H19,M03H20,M03H21,M03H22,M03H23,M04H00,M04H01,M04H02,M04H03,M04H04,M04H05,M04H06,M04H07,M04H08,M04H09,M04H10,M04H11,M04H12,M04H13,M04H14,M04H15,M04H16,M04H17,M04H18,M04H19,M04H20,M04H21,M04H22,M04H23,M05H00,M05H01,M05H02,M05H03,M05H04,M05H05,M05H06,M05H07,M05H08,M05H09,M05H10,M05H11,M05H12,M05H13,M05H14,M05H15,M05H16,M05H17,M05H18,M05H19,M05H20,M05H21,M05H22,M05H23,M06H00,M06H01,M06H02,M06H03,M06H04,M06H05,M06H06,M06H07,M06H08,M06H09,M06H10,M06H11,M06H12,M06H13,M06H14,M06H15,M06H16,M06H17,M06H18,M06H19,M06H20,M06H21,M06H22,M06H23,M07H00,M07H01,M07H02,M07H03,M07H04,M07H05,M07H06,M07H07,M07H08,M07H09,M07H10,M07H11,M07H12,M07H13,M07H14,M07H15,M07H16,M07H17,M07H18,M07H19,M07H20,M07H21,M07H22,M07H23,M08H00,M08H01,M08H02,M08H03,M08H04,M08H05,M08H06,M08H07,M08H08,M08H09,M08H10,M08H11,M08H12,M08H13,M08H14,M08H15,M08H16,M08H17,M08H18,M08H19,M08H20,M08H21,M08H22,M08H23,M09H00,M09H01,M09H02,M09H03,M09H04,M09H05,M09H06,M09H07,M09H08,M09H09,M09H10,M09H11,M09H12,M09H13,M09H14,M09H15,M09H16,M09H17,M09H18,M09H19,M09H20,M09H21,M09H22,M09H23,M10H00,M10H01,M10H02,M10H03,M10H04,M10H05,M10H06,M10H07,M10H08,M10H09,M10H10,M10H11,M10H12,M10H13,M10H14,M10H15,M10H16,M10H17,M10H18,M10H19,M10H20,M10H21,M10H22,M10H23,M11H00,M11H01,M11H02,M11H03,M11H04,M11H05,M11H06,M11H07,M11H08,M11H09,M11H10,M11H11,M11H12,M11H13,M11H14,M11H15,M11H16,M11H17,M11H18,M11H19,M11H20,M11H21,M11H22,M11H23,M12H00,M12H01,M12H02,M12H03,M12H04,M12H05,M12H06,M12H07,M12H08,M12H09,M12H10,M12H11,M12H12,M12H13,M12H14,M12H15,M12H16,M12H17,M12H18,M12H19,M12H20,M12H21,M12H22,M12H23
TWN.Central,TWNZ0,Demand(GWh),79819.20149286975,257.259,266.226,272.238,275.140,275.525,274.478,273.204,272.645,273.186,274.536,281.072,285.302,285.259,279.790,268.926,253.967,237.270,226.468,219.396,216.605,218.466,225.049,234.917,246.289,234.388,242.500,247.932,250.548,250.883,249.919,248.749,248.226,248.699,249.905,255.793,259.595,259.531,254.681,244.827,231.268,216.139,206.695,200.138,197.542,199.400,205.352,214.280,224.570,266.663,276.128,282.734,286.242,287.157,286.494,285.409,284.822,285.126,286.059,288.154,292.853,293.564,289.352,278.756,263.699,246.326,235.870,228.471,225.538,227.624,234.327,244.385,255.980,265.043,275.231,283.523,289.316,292.631,293.975,294.073,293.584,292.859,291.834,290.076,292.442,291.466,287.100,276.903,263.378,246.547,236.867,229.899,227.136,229.260,235.430,244.687,255.354,286.008,298.383,309.325,317.851,323.605,326.771,327.847,327.386,325.764,323.058,319.079,319.173,315.979,309.958,298.464,284.402,265.997,254.806,247.598,244.764,246.685,253.423,263.517,275.147,283.716,296.212,307.638,316.886,323.429,327.264,328.732,328.284,326.277,322.861,317.988,317.010,312.993,306.606,295.273,281.906,263.940,253.812,246.689,243.867,245.875,252.326,262.006,273.166,294.643,307.632,319.830,329.992,337.427,341.973,343.844,343.420,341.052,336.954,331.200,329.484,324.804,318.027,306.487,293.232,274.969,264.798,257.704,254.893,256.892,263.315,272.951,284.058,295.214,308.443,320.683,330.718,337.926,342.230,343.929,343.459,341.190,337.306,331.815,330.316,325.719,318.808,306.924,293.121,274.384,264.091,256.691,253.759,255.844,262.545,272.601,284.193,278.064,290.345,301.619,310.780,317.291,321.123,322.592,322.130,320.085,316.614,314.569,312.776,307.797,300.671,289.043,275.841,258.310,248.960,241.822,238.982,241.133,247.427,256.878,267.773,277.823,289.553,299.702,307.401,312.410,315.012,315.780,315.300,313.941,311.738,313.682,313.070,308.773,301.728,289.754,275.700,258.071,247.567,240.482,237.679,239.527,246.097,255.953,267.312,260.232,269.789,276.828,280.998,282.644,282.606,281.889,281.319,281.269,281.546,286.545,289.224,287.898,282.557,271.555,257.126,240.490,230.950,223.807,220.963,222.949,229.377,239.033,250.169,259.578,268.303,274.132,276.917,277.239,276.161,274.865,274.273,274.762,276.046,282.520,286.717,286.692,281.353,270.635,255.869,239.379,229.827,222.559,219.666,221.848,228.250,237.865,248.950
TWN.Central,TWNZ0,Zone Supply(GWh),72729.3884056329,224.689,257.850,283.130,301.881,307.975,302.432,285.588,258.894,225.472,218.595,264.248,265.499,284.901,255.208,233.543,195.746,176.510,176.333,176.364,176.521,176.749,177.034,177.706,185.532,210.446,240.630,263.449,280.384,285.676,280.224,264.402,239.668,209.340,194.459,236.503,268.262,271.723,232.255,217.013,182.815,160.076,160.035,160.111,160.250,160.429,160.599,162.097,178.613,236.277,269.099,293.699,311.831,317.306,311.614,294.584,267.843,235.095,234.174,305.824,319.098,311.241,310.792,256.738,220.277,175.918,174.508,174.606,174.742,174.849,174.936,178.962,202.928,232.734,262.695,284.601,299.854,303.370,297.387,282.248,259.334,231.009,257.059,315.644,325.376,316.864,320.851,289.316,230.897,188.049,168.927,168.955,169.028,169.097,169.457,176.996,201.440,238.954,265.306,285.357,295.230,299.131,294.998,282.540,262.882,258.565,330.885,366.243,368.565,366.661,366.549,313.136,270.036,220.554,190.829,174.096,174.052,174.077,184.047,186.859,210.697,231.903,255.235,273.000,308.644,304.825,279.950,266.784,250.169,297.073,353.784,381.603,371.911,370.782,370.355,335.085,269.797,212.710,189.014,178.881,172.266,176.993,189.923,193.390,206.360,241.134,266.825,286.041,296.402,296.704,290.739,276.932,296.690,348.526,396.199,392.704,381.987,381.767,381.325,356.797,293.232,230.388,199.761,189.944,183.374,188.080,201.034,195.454,211.251,235.547,261.864,281.488,291.998,293.125,286.700,270.949,284.253,345.262,401.365,389.087,382.019,380.937,381.081,354.400,287.777,217.973,199.018,188.526,175.030,186.606,187.804,212.727,206.564,228.586,258.011,280.341,292.158,296.670,290.202,274.675,251.860,278.485,342.363,363.923,370.892,364.597,352.641,306.233,254.434,203.552,179.508,169.393,168.996,168.981,175.983,193.095,197.641,240.550,275.611,301.948,318.039,321.748,317.239,300.076,273.313,240.661,310.129,339.927,361.693,327.102,327.973,296.971,241.816,197.343,179.210,179.082,179.073,179.155,179.287,186.237,204.595,217.735,249.574,274.837,289.563,296.453,291.011,275.491,250.792,220.686,274.947,297.351,300.021,290.288,302.047,248.935,212.897,172.759,172.541,172.517,172.586,172.728,172.910,173.775,189.042,219.503,252.083,277.055,295.020,300.910,295.900,280.044,254.614,223.030,235.051,257.257,273.189,286.136,257.749,235.183,197.914,177.566,177.407,177.465,177.674,177.943,178.201,178.613,188.331
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,581.6619729361825,7.007,7.007,0.000,0.000,0.000,0.000,0.000,7.007,7.007,0.336,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.529,2.606,2.962,2.527,1.350,0.139,2.523,6.328,1.870,0.000,0.000,0.000,0.000,0.000,6.328,6.328,2.724,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.291,1.303,1.655,1.247,0.183,0.000,6.328,7.007,7.007,0.000,0.000,0.000,0.000,0.000,7.007,7.007,0.864,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,7.007,6.781,6.781,0.000,0.000,0.000,0.000,6.781,6.781,6.781,1.641,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.781,7.007,7.007,7.007,7.007,7.007,7.007,7.007,7.007,7.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.996,7.007,6.781,6.781,6.781,6.781,6.781,6.781,6.781,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.835,0.000,0.000,0.000,0.000,0.000,0.000,0.269,6.781,7.007,7.007,7.007,7.007,7.007,6.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.865,7.007,7.007,7.007,7.007,7.007,7.007,0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.780,5.182,0.000,0.000,0.853,0.000,7.007,0.000,3.400,6.781,6.781,6.781,6.781,6.781,6.781,6.781,3.870,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.536,0.000,0.000,0.000,0.000,0.000,0.000,6.781,7.007,7.007,0.000,0.000,0.000,0.000,7.007,7.007,7.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.781,7.007,6.781,6.781,1.992,0.000,0.000,0.000,6.398,6.781,6.781,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,1.188,1.592,1.164,0.000,0.000,4.584,7.007,7.007,0.000,0.000,0.000,0.000,0.000,7.007,7.007,0.000,0.000,0.000,0.000,0.000,0.000,0.539,0.330,1.841,2.951,3.339,2.879,1.729,0.422,4.026
TWN.Central,TWNZ0,Import from: TWNZ2,4316.8687164735875,25.563,1.370,0.000,0.000,0.000,0.000,0.000,6.745,27.945,27.945,27.945,26.496,6.629,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,17.614,0.000,0.000,0.000,0.000,0.000,0.000,2.230,25.241,25.241,25.241,12.794,0.000,25.241,25.241,25.241,25.241,25.241,25.241,25.241,25.241,25.241,25.241,25.241,23.379,0.023,0.000,0.000,0.000,0.000,0.000,9.973,27.945,27.945,1.456,0.000,0.000,0.000,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,25.528,5.755,0.000,0.000,0.000,0.000,5.045,27.044,27.044,11.340,0.000,0.000,0.000,0.000,2.412,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.945,26.070,16.961,15.614,17.468,24.766,21.316,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.798,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.044,15.573,11.258,1.461,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.009,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.044,25.099,12.272,2.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,20.861,8.208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.564,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.044,25.554,14.497,11.842,13.840,9.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.922,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.945,6.935,0.000,0.000,0.000,0.000,8.698,27.945,25.051,2.292,0.000,0.000,0.000,0.000,5.483,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.044,13.434,0.000,0.000,0.000,0.000,0.000,23.747,27.044,13.148,5.624,5.632,14.039,0.000,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.044,27.945,9.214,0.000,0.000,0.000,0.000,0.000,12.652,27.945,27.945,27.945,27.883,6.191,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945,27.945
TWN.Central,TWNZ0,Import from: TWNZ3,4884.603696146024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.763,27.660,0.000,0.000,0.000,0.000,7.438,30.275,32.815,20.661,12.481,9.177,11.244,18.719,29.126,30.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.790,27.480,0.000,0.000,0.000,0.000,2.573,23.212,30.822,21.128,13.483,10.396,12.483,19.329,26.942,14.388,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.079,23.075,0.000,0.000,0.000,0.000,0.000,15.476,42.462,33.417,25.920,22.848,24.830,31.445,37.478,18.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.425,28.025,21.794,0.000,0.000,0.000,0.000,0.000,5.437,31.454,40.897,33.900,31.064,33.119,38.929,40.647,20.089,12.102,0.000,0.000,0.000,0.000,0.000,16.985,57.396,60.192,10.200,0.000,0.000,0.000,0.000,0.000,0.568,17.498,36.032,45.557,42.767,44.662,41.430,47.716,29.498,17.989,18.624,16.599,0.000,11.824,40.533,55.167,78.114,44.440,6.528,0.000,0.000,0.000,0.000,0.000,0.265,24.186,37.754,40.765,44.557,41.838,35.359,41.304,32.981,21.403,21.529,23.993,26.583,33.717,44.836,78.217,79.244,38.864,3.663,0.000,0.000,0.000,0.000,0.000,0.000,16.636,37.091,39.815,43.573,40.866,34.336,47.687,37.854,31.800,31.365,32.189,31.713,37.794,55.303,84.729,75.580,35.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.284,37.128,40.220,49.930,41.292,39.789,31.928,46.283,15.653,0.000,0.000,0.000,0.000,14.464,41.136,66.400,42.138,0.827,0.000,0.000,0.000,0.000,0.000,5.485,23.179,42.408,45.384,42.942,45.109,44.400,36.739,36.307,2.321,0.000,0.000,0.000,0.000,0.000,0.000,7.035,41.223,0.000,0.000,0.000,0.000,0.000,0.000,5.939,32.782,40.411,33.455,30.660,32.426,38.865,40.990,27.765,8.673,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.759,0.000,0.000,0.000,0.000,0.000,0.000,17.185,40.687,31.295,23.058,19.741,22.013,29.423,38.215,29.499,5.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.780,13.050,0.000,0.000,0.000,0.000,7.507,29.470,33.537,22.634,14.198,10.707,13.081,20.374,30.885,28.647
TWN.Central,TWNZ0,Import from: TWNZF1,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ3,651.1903214546868,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.898,0.000,0.000,1.431,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.507,5.543,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.914,16.977,8.409,13.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.429,16.429,16.429,16.429,7.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.977,16.977,16.977,16.977,13.318,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.429,10.205,10.556,16.429,16.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.291,11.316,11.576,16.977,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.092,12.519,13.279,9.397,13.632,16.977,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.429,16.429,16.429,16.429,10.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.977,16.977,16.977,16.977,9.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.204,16.429,16.429,16.429,16.012,0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,1807.40481585328,0.000,0.000,10.892,26.741,32.450,27.954,12.384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.517,29.836,34.794,30.305,15.653,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.965,25.589,30.149,25.120,9.174,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.078,10.538,10.738,3.413,0.000,0.000,0.000,0.000,0.170,7.536,0.000,8.353,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.027,29.221,27.619,29.254,34.879,1.354,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.236,37.451,47.186,42.973,45.770,45.681,21.743,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.304,32.514,46.338,62.908,61.503,42.213,45.647,50.050,30.728,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.749,16.374,39.444,61.967,44.753,38.276,45.821,48.640,27.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.538,26.576,27.872,36.687,36.618,31.811,6.975,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.246,10.638,9.338,2.227,0.000,0.000,0.000,0.000,0.000,22.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.566,13.809,8.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.923,18.103,23.671,19.739,5.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ1,234.72616101090313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.224,6.693,6.271,1.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.951,6.954,6.649,2.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.212,9.268,9.268,8.127,5.928,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.969,8.969,8.969,8.969,7.729,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.966,4.796,4.451,4.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.722,1.463,1.638,1.640,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.671,2.604,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.000,3.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,4.999,3.753,3.730,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.682,9.268,9.268,1.352,9.268,3.556,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.345,0.000,0.000,0.000,3.478,4.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,6.079,5.635,4.341,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
