Item,Unit,2015,2020,2025,2030,2035,2040,2045,2050
Electricity Demand,GWh,241531,249154,279326,311396,343844,377431,411853,446758
Electricity Supply,GWh,241711,249379,279493,311881,344997,378820,413185,450282
Electricity Spilled,GWh,1,0,0,3,7,17,17,110
Electricity Import,GWh,0,0,0,0,0,0,0,0
Electricity Export,GWh,0,0,0,0,0,0,0,0
Renewable Gen. to Demand,%,5.2,11.7,24.9,29.3,39.2,40.6,38.3,62.0
Carbon Emission,K.Tonnes,147163,142237,166260,136197,59675,28748,16605,-365
Carbon Sequestration,K.Tonnes,0,0,0,0,95397,161713,194910,149806
Annual Variable Cost,M.USD,9370,12022,17037,21232,18904,18586,20948,14266
Annual Fixed Cost,M.USD,5195,5879,7596,9220,17108,21074,22555,35384
Fuel Consumption Coal,TJ,1234794,1218313,1554096,1003378,1292274,1748681,1875899,1368302
Fuel Consumption Gas,TJ,395750,351777,246677,733614,584950,446103,606791,356170
Fuel Consumption Oil,TJ,110520,98240,73680,1619,0,0,0,0
Fuel Consumption Uranium,TJ,462311,462311,0,0,0,0,0,0
Fuel Consumption Biomass,TJ,28649,28649,28649,28649,70670,95291,136677,178993
Capacity - Coal,MW,23330,23330,33605,24549,24549,18852,10702,10275
Capacity - Coal CCS,MW,0,0,0,0,13926,22211,24493,24493
Capacity - Gas,MW,23054,23054,17771,28279,22828,14898,17749,17749
Capacity - Gas CCS,MW,0,0,0,0,0,4401,11535,30588
Capacity - Oil,MW,3342,3342,3342,51,0,0,0,0
Capacity - Nuclear,MW,5214,5214,0,0,0,0,0,0
Capacity - Biomass,MW,412,412,412,412,412,412,412,412
Capacity - BECCS,MW,0,0,0,0,596,965,1617,2357
Capacity - Pump Hydro Storage,MW,2600,2600,2600,2600,2600,2600,2600,2600
Capacity - Battery Storage,MW,0,50,756,900,1265,2179,3992,3945
Capacity - Hydropower,MW,2110,4178,4178,4178,4178,4178,4178,4178
Capacity - Wind,MW,647,2652,3903,4491,4739,4724,4724,4724
Capacity - Offshore Wind,MW,150,150,150,5770,16065,20829,20829,52800
Capacity - PV,MW,842,2618,30343,30343,30343,30361,30361,30343
Capacity - Other Renewables,MW,0,200,200,200,200,200,200,200
Generation - Coal,GWh,124494,122935,168241,111941,23384,5854,6,0
Generation - Coal CCS,GWh,0,0,0,0,99835,157994,174454,127252
Generation - Gas,GWh,57332,50962,35925,108738,86860,36700,21272,0
Generation - Gas CCS,GWh,0,0,0,0,0,25966,60352,46005
Generation - Oil,GWh,8719,7751,5813,128,0,0,0,0
Generation - Nuclear,GWh,38641,38641,0,0,0,0,0,0
Generation - Biomass,GWh,2283,2283,2283,2283,2283,2283,2283,2283
Generation - BECCS,GWh,0,0,0,0,4125,6684,11197,16054
Generation - Hydropower,GWh,7446,14761,14761,14761,14761,14761,14667,14688
Generation - Wind,GWh,1103,6405,8650,9330,9606,9557,9557,9557
Generation - Offshore Wind,GWh,579,579,579,21463,60920,76587,76587,191198
Generation - PV,GWh,1113,3661,41851,41851,41851,41873,41873,41851
Generation - Other Renewables,GWh,0,1402,1402,1402,1402,1402,1402,1402
