Zone code,Zone ID,Flow,2015,2020,2025,2030,2035,2040,2045,2050
TWN.Central,TWNZ0,Demand(GWh),51079,52691,59072,65854,72716,79819,87099,94480
TWN.Central,TWNZ0,Supply(GWh),62731,66132,63879,50886,35318,33943,45587,29305
TWN.Central,TWNZ0,Spill(GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Import from: TWNZ1,0,34,3258,3624,3045,2378,2688,1497
TWN.Central,TWNZ0,Import from: TWNZ2,0,0,421,1331,2762,5393,778,1188
TWN.Central,TWNZ0,Import from: TWNZ3,21,815,318,603,974,2240,1960,5264
TWN.Central,TWNZ0,Import from: TWNZF1,0,0,0,17609,43231,46175,46175,99465
TWN.Central,TWNZ0,Export to: TWNZ3,0,0,481,3656,2658,2159,1252,4
TWN.Central,TWNZ0,Export to: TWNZ2,10506,14290,8023,4017,9351,6441,6748,40049
TWN.Central,TWNZ0,Export to: TWNZ1,1166,0,300,526,605,1710,2089,2186
TWN.East,TWNZ1,Demand(GWh),9200,9490,10640,11861,13097,14376,15687,17017
TWN.East,TWNZ1,Supply(GWh),3413,5213,11588,13271,12665,14066,15704,13036
TWN.East,TWNZ1,Spill(GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Import from: TWNZ0,1158,0,298,523,600,1698,2075,2171
TWN.East,TWNZ1,Import from: TWNZ2,0,0,117,306,360,107,76,27
TWN.East,TWNZ1,Import from: TWNZ3,4659,4657,2419,1719,3046,1545,1365,3716
TWN.East,TWNZ1,Import from: TWNZF2,0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Export to: TWNZ3,0,0,118,56,0,48,118,43
TWN.East,TWNZ1,Export to: TWNZ0,0,34,3281,3649,3067,2395,2707,1507
TWN.East,TWNZ1,Export to: TWNZ2,31,345,385,252,507,597,707,382
TWN.North,TWNZ2,Demand(GWh),111800,115328,129294,144139,159159,174705,190638,206795
TWN.North,TWNZ2,Supply(GWh),100806,100281,120952,140698,145380,162411,173236,148055
TWN.North,TWNZ2,Spill(GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,Import from: TWNZ0,10394,14138,7937,3974,9252,6372,6676,39622
TWN.North,TWNZ2,Import from: TWNZ1,30,340,379,248,500,588,697,377
TWN.North,TWNZ2,Import from: TWNZF0,569,570,570,875,7184,10893,10893,19970
TWN.North,TWNZ2,Export to: TWNZ0,0,0,426,1345,2792,5451,787,1201
TWN.North,TWNZ2,Export to: TWNZ1,0,0,119,310,365,108,77,27
TWN.South,TWNZ3,Demand(GWh),69452,71644,80320,89542,98872,108530,118428,128465
TWN.South,TWNZ3,Supply(GWh),74181,77175,82494,85564,90714,91813,102072,68688
TWN.South,TWNZ3,Spill(GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,Import from: TWNZ0,0,0,476,3612,2626,2132,1237,4
TWN.South,TWNZ3,Import from: TWNZ1,0,0,117,55,0,48,117,43
TWN.South,TWNZ3,Import from: TWNZF3,0,0,0,2659,9596,18367,18367,68814
TWN.South,TWNZ3,Export to: TWNZ0,21,825,322,610,986,2267,1984,5329
TWN.South,TWNZ3,Export to: TWNZ1,4708,4706,2445,1737,3078,1562,1380,3755
TWN.OffRgn1,TWNZF0,Supply(GWh),579,579,579,888,7295,11059,11059,20273
TWN.OffRgn1,TWNZF0,Spill(GWh),1,0,0,0,2,0,0,0
TWN.OffRgn1,TWNZF0,Export to: TWNZ2,578,579,579,888,7293,11058,11058,20273
TWN.OffRgn2,TWNZF1,Supply(GWh),0,0,0,17873,43878,46866,46866,100955
TWN.OffRgn2,TWNZF1,Spill(GWh),0,0,0,0,0,0,0,0
TWN.OffRgn2,TWNZF1,Export to: TWNZ0,0,0,0,17873,43878,46866,46866,100955
TWN.OffRgn3,TWNZF2,Supply(GWh),0,0,0,0,0,0,0,0
TWN.OffRgn3,TWNZF2,Spill(GWh),0,0,0,0,0,0,0,0
TWN.OffRgn3,TWNZF2,Export to: TWNZ1,0,0,0,0,0,0,0,0
TWN.OffRgn4,TWNZF3,Supply(GWh),0,0,0,2702,9747,18662,18662,69970
TWN.OffRgn4,TWNZF3,Spill(GWh),0,0,0,3,5,17,17,110
TWN.OffRgn4,TWNZF3,Export to: TWNZ3,0,0,0,2699,9742,18646,18646,69861
