Zone code,Zone ID,Item,Item,2015,2020,2025,2030,2035,2040,2045,2050
TWN.Central,TWNZ0,Fuel Consumption (TJ),Coal,386306,386682,365674,234631,92149,8099,7909,3719
TWN.Central,TWNZ0,Fuel Consumption (TJ),Gas,104520,92907,14649,19404,13785,62229,159123,45823
TWN.Central,TWNZ0,Fuel Consumption (TJ),Oil,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Fuel Consumption (TJ),Uranium,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Fuel Consumption (TJ),Biomass,5531,7914,5161,5761,4520,24756,32017,32017
TWN.East,TWNZ1,Fuel Consumption (TJ),Coal,30198,11270,9243,5439,2156,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Gas,616,547,410,14308,13091,26842,38930,14856
TWN.East,TWNZ1,Fuel Consumption (TJ),Oil,3643,3238,2428,1619,0,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Uranium,0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Biomass,1436,1217,839,1021,1085,0,0,0
TWN.North,TWNZ2,Fuel Consumption (TJ),Coal,361055,362786,654088,560605,902846,1365328,1446486,1157891
TWN.North,TWNZ2,Fuel Consumption (TJ),Gas,212219,188639,212494,436867,325568,161648,206892,225301
TWN.North,TWNZ2,Fuel Consumption (TJ),Oil,106877,95002,71251,0,0,0,0,0
TWN.North,TWNZ2,Fuel Consumption (TJ),Uranium,293666,293666,0,0,0,0,0,0
TWN.North,TWNZ2,Fuel Consumption (TJ),Biomass,17295,17557,17345,15414,15205,0,0,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Coal,457234,457575,525090,202704,295123,375254,421504,206693
TWN.South,TWNZ3,Fuel Consumption (TJ),Gas,78395,69684,19123,263034,232506,195385,201846,70190
TWN.South,TWNZ3,Fuel Consumption (TJ),Oil,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Uranium,168645,168645,0,0,0,0,0,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Biomass,4387,1961,5304,6453,49860,70535,104660,146977
TWN.Central,TWNZ0,Emission (K.Tonnes),Total,42408.7,41793.0,35415.1,23285.2,9491.1,-1752.2,796.6,-2881.1
TWN.Central,TWNZ0,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,0.0,6011.9,8881.6,5806.8
TWN.East,TWNZ1,Emission (K.Tonnes),Total,3158.4,1334.3,1075.5,1436.0,938.4,486.3,790.8,41.7
TWN.East,TWNZ1,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,0.0,1019.5,1393.2,791.8
TWN.North,TWNZ2,Emission (K.Tonnes),Total,53926.5,51897.0,79022.1,77543.0,33372.9,22707.2,16213.7,11585.6
TWN.North,TWNZ2,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,70302.3,115521.2,132230.5,110590.2
TWN.South,TWNZ3,Emission (K.Tonnes),Total,47669.6,47212.9,50746.9,33932.7,15872.1,7307.1,-1196.1,-9111.5
TWN.South,TWNZ3,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,25095.1,39160.1,52404.4,32617.0
TWN.Central,TWNZ0,Marginal Gen. Cost (USD/kWh),,0.0642,0.0624,0.0959,0.0877,0.0956,0.0929,0.0925,0.0577
TWN.East,TWNZ1,Marginal Gen. Cost (USD/kWh),,0.1017,0.1408,0.1363,0.1427,0.1010,0.0874,0.0882,0.0546
TWN.North,TWNZ2,Marginal Gen. Cost (USD/kWh),,0.0928,0.1628,0.2120,0.1025,0.1172,0.0984,0.0926,0.0750
TWN.South,TWNZ3,Marginal Gen. Cost (USD/kWh),,0.0653,0.0618,0.0805,0.1049,0.1057,0.0971,0.0888,0.0619
TWN.Central,TWNZ0,Variable Gen. Cost (M.USD),,2207.89,2976.46,3154.75,2852.64,1497.20,927.37,2450.90,675.79
TWN.Central,TWNZ0,Fixed annual Cost (M.USD),,1616.63,1804.33,2367.05,2311.91,2300.05,2478.57,2327.47,2164.56
TWN.East,TWNZ1,Variable Gen. Cost (M.USD),,139.38,123.30,132.29,301.55,242.08,339.56,527.44,167.54
TWN.East,TWNZ1,Fixed annual Cost (M.USD),,55.20,185.87,612.06,625.88,614.26,665.96,713.54,650.90
TWN.North,TWNZ2,Variable Gen. Cost (M.USD),,4672.11,5633.80,9266.28,12208.01,11090.20,11402.84,12025.78,10417.64
TWN.North,TWNZ2,Fixed annual Cost (M.USD),,1882.89,2037.68,2219.19,2259.33,5393.02,6944.86,7805.13,10387.69
TWN.South,TWNZ3,Variable Gen. Cost (M.USD),,2350.59,3288.08,4484.16,5869.55,6074.03,5916.17,5943.92,3004.80
TWN.South,TWNZ3,Fixed annual Cost (M.USD),,1570.64,1780.69,2327.76,2090.00,3062.96,3703.26,4427.50,4442.41
TWN.OffRgn1,TWNZF0,Fixed annual Cost (M.USD),,70.08,70.08,70.08,77.04,695.12,1069.54,1069.54,1956.14
TWN.OffRgn2,TWNZF1,Fixed annual Cost (M.USD),,0.00,0.00,0.00,1614.14,4149.75,4438.40,4438.40,9335.64
TWN.OffRgn3,TWNZF2,Fixed annual Cost (M.USD),,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.OffRgn4,TWNZF3,Fixed annual Cost (M.USD),,0.00,0.00,0.00,241.56,892.37,1773.29,1773.29,6446.33
