Zone code,Zone ID,Flow,Annual Total(GWh),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.Central,TWNZ0,Demand(GWh),65853.94834818867,1916.443,1985.964,1970.947,2022.829,2006.462,1730.175,1580.609,1704.300,2098.336,2231.078,2241.616,2230.027,2179.257,1895.519,1737.988,1866.112,2255.873,2465.072,2508.155,2437.992,2322.979,2032.910,1874.457,2002.310,2099.079,2252.661,2272.433,2260.548,2177.791,1891.485,1738.282,1864.261
TWN.Central,TWNZ0,Residual Demand(GWh),0,1097.628,742.999,1133.571,1811.676,1875.330,1625.990,1476.532,1552.495,1201.806,970.986,1367.968,2035.524,2117.974,1844.933,1684.791,1686.844,1460.155,1413.799,1808.402,2271.160,2259.914,1965.801,1808.068,1804.670,1287.247,1042.836,1449.184,2063.671,2061.359,1793.588,1641.736,1694.246
TWN.Central,TWNZ0,Zone Supply(GWh),50453.789108100005,1006.989,1431.139,1025.549,1521.339,1603.013,851.989,460.866,693.277,1573.577,1944.546,1591.146,2238.837,2107.221,1805.815,1178.670,1392.467,1595.321,1854.907,1839.141,2394.986,2301.311,2117.510,1737.281,1799.164,1482.992,1889.555,1504.083,2057.829,2008.417,1399.159,869.915,1175.777
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,4386.467976545981,158.684,271.810,126.280,0.000,0.000,0.000,21.247,0.000,391.269,469.376,499.066,0.000,4.959,0.000,0.000,58.491,503.468,508.227,291.887,0.000,0.000,0.000,0.000,0.000,328.733,380.674,337.811,0.000,0.000,0.000,17.938,16.546
TWN.Central,TWNZ0,Import from: TWNZ2,1237.897970196333,0.000,0.000,0.000,0.000,0.000,170.031,204.589,204.589,0.000,0.000,0.000,85.312,209.135,0.000,187.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,177.013,0.000
TWN.Central,TWNZ0,Import from: TWNZ3,739.0891781663807,69.924,0.000,69.924,0.000,0.000,0.000,69.924,0.000,71.478,0.000,71.478,0.000,0.000,0.000,0.000,30.522,71.478,71.478,71.478,0.000,0.000,0.000,0.000,0.000,70.701,0.000,70.701,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZF1,18040.963223494327,814.658,849.926,913.353,943.481,902.858,838.577,823.982,820.962,369.329,396.666,431.204,429.498,384.429,349.967,378.387,384.632,267.001,292.806,305.648,293.325,300.469,329.594,310.599,280.596,671.442,700.438,743.751,760.366,727.021,680.644,673.416,671.938
TWN.Central,TWNZ0,Export to: TWNZ3,4485.709676859466,0.000,0.000,0.000,405.515,462.931,93.945,0.000,0.000,0.000,0.000,0.000,523.620,526.488,238.696,6.297,0.000,0.000,0.000,0.000,54.165,192.132,376.907,156.124,77.449,0.000,144.795,0.000,520.765,520.765,185.115,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,4241.468315025158,133.812,566.912,164.161,0.000,0.000,0.000,0.000,0.000,307.318,579.510,351.279,0.000,0.000,0.000,0.000,0.000,181.395,262.346,0.000,196.154,86.669,0.000,0.000,0.000,454.788,573.211,383.914,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ1,277.0811164297177,0.000,0.000,0.000,36.477,36.477,36.477,0.000,14.528,0.000,0.000,0.000,0.000,0.000,21.567,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.288,17.300,0.000,0.000,0.000,0.000,36.882,36.882,3.203,0.000,0.000
