Zone code,Zone ID,Flow,Annual Total(GWh),M01H00,M01H01,M01H02,M01H03,M01H04,M01H05,M01H06,M01H07,M01H08,M01H09,M01H10,M01H11,M01H12,M01H13,M01H14,M01H15,M01H16,M01H17,M01H18,M01H19,M01H20,M01H21,M01H22,M01H23,M02H00,M02H01,M02H02,M02H03,M02H04,M02H05,M02H06,M02H07,M02H08,M02H09,M02H10,M02H11,M02H12,M02H13,M02H14,M02H15,M02H16,M02H17,M02H18,M02H19,M02H20,M02H21,M02H22,M02H23,M03H00,M03H01,M03H02,M03H03,M03H04,M03H05,M03H06,M03H07,M03H08,M03H09,M03H10,M03H11,M03H12,M03H13,M03H14,M03H15,M03H16,M03H17,M03H18,M03H19,M03H20,M03H21,M03H22,M03H23,M04H00,M04H01,M04H02,M04H03,M04H04,M04H05,M04H06,M04H07,M04H08,M04H09,M04H10,M04H11,M04H12,M04H13,M04H14,M04H15,M04H16,M04H17,M04H18,M04H19,M04H20,M04H21,M04H22,M04H23,M05H00,M05H01,M05H02,M05H03,M05H04,M05H05,M05H06,M05H07,M05H08,M05H09,M05H10,M05H11,M05H12,M05H13,M05H14,M05H15,M05H16,M05H17,M05H18,M05H19,M05H20,M05H21,M05H22,M05H23,M06H00,M06H01,M06H02,M06H03,M06H04,M06H05,M06H06,M06H07,M06H08,M06H09,M06H10,M06H11,M06H12,M06H13,M06H14,M06H15,M06H16,M06H17,M06H18,M06H19,M06H20,M06H21,M06H22,M06H23,M07H00,M07H01,M07H02,M07H03,M07H04,M07H05,M07H06,M07H07,M07H08,M07H09,M07H10,M07H11,M07H12,M07H13,M07H14,M07H15,M07H16,M07H17,M07H18,M07H19,M07H20,M07H21,M07H22,M07H23,M08H00,M08H01,M08H02,M08H03,M08H04,M08H05,M08H06,M08H07,M08H08,M08H09,M08H10,M08H11,M08H12,M08H13,M08H14,M08H15,M08H16,M08H17,M08H18,M08H19,M08H20,M08H21,M08H22,M08H23,M09H00,M09H01,M09H02,M09H03,M09H04,M09H05,M09H06,M09H07,M09H08,M09H09,M09H10,M09H11,M09H12,M09H13,M09H14,M09H15,M09H16,M09H17,M09H18,M09H19,M09H20,M09H21,M09H22,M09H23,M10H00,M10H01,M10H02,M10H03,M10H04,M10H05,M10H06,M10H07,M10H08,M10H09,M10H10,M10H11,M10H12,M10H13,M10H14,M10H15,M10H16,M10H17,M10H18,M10H19,M10H20,M10H21,M10H22,M10H23,M11H00,M11H01,M11H02,M11H03,M11H04,M11H05,M11H06,M11H07,M11H08,M11H09,M11H10,M11H11,M11H12,M11H13,M11H14,M11H15,M11H16,M11H17,M11H18,M11H19,M11H20,M11H21,M11H22,M11H23,M12H00,M12H01,M12H02,M12H03,M12H04,M12H05,M12H06,M12H07,M12H08,M12H09,M12H10,M12H11,M12H12,M12H13,M12H14,M12H15,M12H16,M12H17,M12H18,M12H19,M12H20,M12H21,M12H22,M12H23
TWN.Central,TWNZ0,Demand(GWh),87098.64586864413,280.704,290.489,297.048,300.214,300.635,299.492,298.102,297.492,298.083,299.555,306.687,311.302,311.256,305.289,293.434,277.112,258.893,247.107,239.390,236.346,238.375,245.558,256.325,268.734,255.749,264.599,270.527,273.381,273.747,272.695,271.418,270.848,271.364,272.679,279.104,283.253,283.183,277.902,267.150,252.355,235.847,225.542,218.386,215.555,217.582,224.076,233.818,245.046,290.965,301.293,308.501,312.329,313.328,312.605,311.421,310.781,311.111,312.129,314.415,319.542,320.318,315.765,304.202,287.773,268.817,257.408,249.334,246.134,248.410,255.724,266.698,279.350,289.197,300.315,309.364,315.687,319.306,320.773,320.881,320.348,319.556,318.436,316.517,319.096,318.030,313.321,302.194,287.437,269.072,258.510,250.906,247.892,250.209,256.942,267.042,278.682,312.074,325.578,337.520,346.826,353.108,356.563,357.739,357.237,355.465,352.511,348.166,348.265,344.778,338.251,325.708,310.366,290.283,278.072,270.208,267.115,269.211,276.563,287.577,300.267,309.573,323.210,335.680,345.775,352.917,357.105,358.707,358.219,356.028,352.297,346.977,345.907,341.520,334.584,322.217,307.632,288.028,276.978,269.206,266.126,268.318,275.357,285.919,298.096,321.496,335.671,348.984,360.076,368.193,373.157,375.200,374.737,372.151,367.677,361.395,359.518,354.407,347.041,334.449,319.986,300.058,288.960,281.220,278.152,280.334,287.342,297.856,309.975,322.119,336.556,349.914,360.868,368.736,373.436,375.291,374.779,372.301,368.061,362.065,360.426,355.407,347.896,334.928,319.868,299.423,288.191,280.117,276.917,279.192,286.504,297.476,310.125,303.406,316.808,329.112,339.112,346.219,350.403,352.008,351.504,349.271,345.481,343.247,341.287,335.850,328.108,315.420,301.015,281.886,271.684,263.895,260.796,263.144,270.011,280.323,292.212,303.143,315.942,327.019,335.422,340.890,343.732,344.571,344.047,342.563,340.158,342.276,341.606,336.915,329.277,316.211,300.877,281.640,270.178,262.447,259.389,261.406,268.575,279.328,291.723,283.948,294.376,302.058,306.608,308.405,308.364,307.582,306.960,306.905,307.207,312.662,315.584,314.136,308.363,296.358,280.615,262.462,252.054,244.260,241.156,243.323,250.337,260.873,273.024,283.234,292.754,299.114,302.153,302.505,301.329,299.914,299.268,299.802,301.203,308.268,312.847,312.820,306.998,295.303,279.191,261.199,250.778,242.848,239.690,242.071,249.057,259.548,271.643
TWN.Central,TWNZ0,Zone Supply(GWh),45586.50607186094,88.992,122.008,145.920,158.193,169.894,164.554,148.550,122.706,92.207,62.243,93.796,88.340,79.765,73.241,67.547,54.600,40.506,40.303,40.410,40.690,41.056,41.477,42.199,50.003,84.583,71.234,109.889,104.968,117.089,91.741,97.250,75.837,87.384,104.413,165.656,156.833,150.828,158.250,118.680,87.200,69.252,56.860,47.532,43.139,44.921,52.401,63.674,69.606,124.186,123.786,96.913,96.778,107.920,102.355,103.589,124.436,151.636,210.761,260.699,258.629,257.078,253.393,243.965,176.015,91.981,98.260,88.195,85.124,76.993,95.181,106.353,121.036,125.708,124.265,144.566,158.780,162.336,152.025,142.053,149.667,216.137,246.458,253.919,257.019,233.990,242.926,222.928,214.715,174.265,158.392,122.029,106.778,116.031,145.651,170.328,153.808,220.006,216.786,224.418,230.148,238.297,241.524,254.014,269.321,244.310,227.016,223.447,212.225,210.920,210.711,207.715,179.386,204.298,188.639,179.276,179.221,179.250,180.470,192.065,215.842,221.870,218.068,227.324,242.238,256.783,273.371,289.536,286.137,263.562,239.187,218.118,207.589,206.467,206.825,207.374,207.531,198.212,177.541,177.474,177.306,177.088,178.580,198.395,234.238,246.902,267.629,292.082,302.620,303.125,297.439,283.670,263.468,269.141,243.948,222.724,215.115,214.202,212.023,212.619,183.544,191.810,182.084,182.033,181.632,181.727,191.903,207.437,218.441,240.363,267.639,282.849,298.013,299.328,274.019,245.087,277.846,262.990,238.160,235.232,226.921,225.315,213.166,212.117,188.920,195.883,200.827,191.811,180.857,195.370,208.553,209.450,214.669,193.752,195.904,209.242,222.493,225.975,235.355,248.295,259.372,260.514,232.644,211.928,207.537,205.890,206.172,205.867,205.304,186.409,174.590,170.816,156.795,167.876,174.481,184.365,207.352,103.276,138.463,124.886,103.617,114.028,113.607,150.287,138.548,109.838,139.113,187.731,164.418,198.452,153.376,148.613,98.531,76.397,66.831,59.682,56.790,58.872,66.315,75.186,76.795,84.559,116.408,141.405,153.036,109.367,105.086,135.375,119.487,89.798,133.574,162.332,108.182,134.473,144.614,118.502,86.632,70.323,60.967,52.871,49.520,51.922,59.910,71.922,78.266,84.173,116.657,140.265,151.763,163.043,158.540,142.952,118.495,89.905,56.413,55.118,85.946,70.435,64.735,59.331,47.502,41.674,41.522,41.672,42.047,42.501,42.924,43.401,53.113
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,2687.9169286476204,0.000,0.000,0.000,2.787,8.580,5.763,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.619,32.389,37.057,34.233,22.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.060,23.259,34.682,45.072,46.357,35.678,18.714,10.520,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.106,41.018,27.822,36.671,35.535,35.279,42.711,29.442,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.267,35.949,44.562,48.027,43.677,42.586,34.069,20.539,1.998,0.477,1.319,4.914,6.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.182,5.632,0.778,27.961,39.810,42.640,41.117,34.085,19.775,32.219,15.086,2.019,0.588,3.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.998,26.699,39.761,46.569,57.936,57.286,36.271,16.341,15.413,20.184,23.571,19.991,20.590,14.460,0.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.129,6.729,15.199,32.490,52.996,59.163,57.995,47.314,23.606,11.946,13.386,22.372,13.030,19.483,15.562,20.350,1.281,1.069,0.000,0.000,0.000,4.095,0.000,0.000,13.400,23.901,12.028,33.349,42.893,44.232,46.283,41.353,31.674,16.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.380,42.823,43.321,38.333,7.342,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.447,31.946,36.572,33.069,2.950,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.101,3.401,3.609,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ2,778.4576895006561,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.930,17.471,13.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.613,0.000,0.000,0.000,10.940,0.000,2.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.786,27.109,43.298,49.985,45.349,31.435,13.758,3.579,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.462,17.757,4.189,3.139,11.958,26.184,43.057,0.000,4.465,17.666,24.764,20.331,10.932,7.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.256,1.551,0.000,12.728,31.887,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.172,40.550,15.377,0.000,2.205,8.740,3.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.696,21.711,28.088,22.768,11.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.686,6.191,9.401,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ3,1960.3621785128196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.292,21.127,21.127,21.127,21.127,21.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.889,23.390,23.390,23.390,23.390,16.563,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.636,22.636,22.636,22.636,22.636,22.636,22.636,22.636,9.874,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.318,23.390,23.390,23.390,23.390,23.390,23.390,23.390,22.575,0.000,0.000,0.000,23.390,23.390,19.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.636,22.636,22.636,22.636,22.636,22.636,22.636,2.994,0.000,0.000,15.808,22.636,20.653,11.545,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.390,23.390,23.390,23.390,23.390,23.390,23.390,0.000,0.000,23.390,23.390,23.390,23.390,23.390,7.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.768,23.390,23.390,23.390,23.390,23.390,23.390,0.000,18.768,23.390,23.390,23.390,23.390,23.390,13.832,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.636,22.636,22.636,22.636,22.636,22.636,22.636,21.865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.390,23.390,23.390,23.390,23.390,23.390,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.692,22.636,22.636,22.636,22.636,21.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZF1,46174.73403631535,237.953,235.590,233.845,235.134,239.157,243.904,249.202,254.486,259.749,264.761,268.686,267.787,263.045,256.215,249.014,242.621,237.887,235.173,234.818,235.663,236.725,237.719,237.863,237.392,179.722,177.074,175.842,178.558,183.538,188.408,191.987,195.011,196.855,197.941,200.257,199.970,197.048,192.041,187.426,184.442,182.998,183.376,184.414,185.576,186.266,186.456,185.637,183.524,155.719,153.359,153.516,156.120,161.393,167.989,172.555,175.825,178.121,179.890,181.866,181.197,177.418,172.505,167.521,162.562,159.480,160.054,161.139,161.010,160.478,160.543,160.339,158.313,110.747,112.950,115.961,119.385,123.513,128.060,130.951,131.254,129.829,127.391,125.126,123.513,120.266,117.049,112.958,108.552,105.306,105.123,105.979,106.395,107.078,107.204,107.537,107.977,85.225,87.402,90.386,94.879,100.053,104.193,107.111,108.927,109.673,108.556,105.643,103.547,100.455,96.503,91.808,87.923,85.985,84.968,83.973,84.179,84.799,85.161,85.901,85.268,101.185,105.065,109.055,112.170,115.362,117.529,118.418,118.430,117.523,115.528,112.462,112.507,114.400,116.215,116.922,117.268,118.006,118.421,117.065,114.405,110.964,108.159,103.320,99.039,82.792,83.553,86.004,88.647,91.519,93.413,94.317,94.928,95.481,94.897,91.710,92.766,94.674,97.169,100.634,104.555,108.249,109.400,107.571,104.029,99.893,95.439,89.290,84.804,71.180,71.586,73.086,75.918,79.353,84.375,87.817,89.418,90.958,91.515,90.413,90.632,91.139,90.991,90.526,89.328,88.163,87.364,86.102,83.225,80.495,77.952,74.626,71.556,98.855,99.159,101.319,105.555,110.536,116.828,122.606,127.838,131.382,132.885,134.639,134.517,131.391,126.027,118.705,112.343,108.654,106.020,104.664,104.194,103.901,103.208,101.727,101.218,222.062,222.566,224.550,229.231,234.280,240.459,245.754,249.906,253.023,254.883,256.769,256.607,253.623,247.659,240.199,232.591,226.412,222.558,220.681,220.056,220.419,221.456,223.579,224.688,205.126,205.576,207.202,211.605,216.914,223.400,229.475,234.968,239.643,243.353,246.131,245.077,239.791,232.045,223.289,215.146,210.081,207.297,206.348,206.139,206.371,206.686,206.463,206.707,244.442,243.044,241.910,242.832,245.393,250.237,256.418,262.417,267.751,272.985,277.317,276.957,272.787,266.430,258.505,251.242,245.901,242.764,242.176,243.236,244.609,245.483,245.078,244.645
TWN.Central,TWNZ0,Export to: TWNZ3,1251.9470775693121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.887,19.729,7.387,0.000,0.000,0.000,0.000,2.304,22.601,33.312,28.284,9.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.629,35.407,27.506,31.869,17.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.881,59.134,59.134,59.134,54.500,45.858,25.521,0.763,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.284,15.534,5.044,0.340,2.847,10.973,11.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.707,21.048,15.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.496,13.080,12.724,9.059,13.021,10.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.622,15.416,10.909,13.554,18.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.252,31.920,22.308,40.328,14.338,5.774,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.764,38.090,1.672,34.133,16.377,1.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.827,6.236,0.000,0.000,0.000,0.000,6.808,27.519,27.617,30.273,15.183,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,6748.055293374125,31.532,66.726,82.717,95.900,116.996,114.729,99.650,76.218,33.320,3.281,19.740,0.929,0.000,0.000,0.000,0.000,0.000,1.898,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.949,63.660,85.065,62.814,61.195,0.000,0.000,13.953,29.351,16.315,15.358,18.692,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.031,25.733,16.806,0.000,0.000,18.646,37.885,44.848,36.983,33.755,47.567,37.259,1.848,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.554,1.621,21.785,24.713,17.226,17.470,12.651,36.284,55.412,57.216,48.927,24.357,36.012,25.223,29.927,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.815,37.949,45.237,49.618,52.310,55.129,60.846,64.125,0.516,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.475,36.895,50.520,63.144,73.909,82.981,90.515,91.657,81.560,40.143,4.437,0.000,0.000,0.000,0.000,2.079,17.167,19.694,4.906,0.000,0.000,0.000,1.358,15.796,35.182,50.587,65.600,92.253,101.150,107.778,98.371,62.447,0.000,7.884,14.743,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.372,4.046,0.000,0.000,0.000,0.000,18.390,58.548,82.407,95.617,91.330,55.663,4.609,4.430,13.801,7.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.864,34.240,46.978,55.803,59.211,65.768,73.203,74.074,42.624,20.047,3.320,0.000,1.111,4.091,9.152,16.632,13.177,0.000,0.000,0.000,0.000,0.000,5.769,16.359,15.009,68.477,82.187,63.638,74.128,72.057,82.203,42.643,15.387,35.256,48.771,23.331,68.685,7.264,34.096,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.300,94.632,112.614,77.083,75.827,81.232,44.101,7.908,25.569,34.324,21.300,2.608,28.531,21.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.200,65.813,83.061,96.543,109.331,111.057,99.456,76.521,36.515,4.028,0.000,9.062,0.000,0.000,0.000,0.000,2.210,2.533,0.000,0.000,0.000,0.000,4.764,1.948
TWN.Central,TWNZ0,Export to: TWNZ1,2089.3286652499596,14.709,0.382,0.000,0.000,0.000,0.000,0.000,3.482,20.553,24.167,24.167,24.167,24.167,24.167,23.127,20.110,19.500,24.167,24.167,24.167,24.167,24.167,23.736,18.660,8.556,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.874,15.722,21.828,21.828,21.828,21.828,21.828,19.287,16.402,14.694,13.560,13.160,13.605,14.781,15.494,8.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.757,24.167,24.167,21.288,8.066,24.167,23.435,16.494,0.906,0.000,0.000,0.000,0.000,2.184,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.312,12.509,11.870,10.642,8.469,5.902,0.000,16.580,15.355,14.927,15.403,16.376,13.335,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,12.609,16.525,6.714,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.524,4.013,3.462,1.287,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.767,0.320,0.000,0.000,0.000,0.000,0.000,17.880,17.371,17.847,0.000,0.000,0.000,7.186,0.000,0.000,0.000,0.000,0.000,0.000,1.763,4.910,18.582,21.202,24.167,24.167,24.167,24.167,24.167,21.168,19.211,17.916,17.457,17.885,19.196,19.437,9.760,5.737,0.000,0.000,0.000,0.000,0.000,0.000,3.395,14.628,23.387,23.387,14.703,23.387,23.387,23.387,21.163,17.942,16.210,14.959,14.503,14.970,16.259,17.511,11.949,16.181,1.134,0.000,0.000,0.000,0.000,0.000,5.122,21.338,24.167,24.167,24.167,24.167,24.167,22.533,19.553,24.167,24.167,24.167,24.167,24.167,24.167,24.167,24.167
