Zone code,Zone ID,Technology,Item,2015,2020,2025,2030,2035,2040,2045,2050
TWN.Central,TWNZ0,COA_SUB,Gross Output (GWh),174,1170,420,427,0,171,0,0
TWN.Central,TWNZ0,COA_SUB,Net Output (GWh),162,1088,391,397,0,159,0,0
TWN.Central,TWNZ0,COA_SC,Gross Output (GWh),43362,43362,41517,29015,20116,9559,0,0
TWN.Central,TWNZ0,COA_SC,Net Output (GWh),40327,40327,38611,26984,18708,8890,0,0
TWN.Central,TWNZ0,COA_USC,Gross Output (GWh),0,0,0,4804,25782,30645,24214,18046
TWN.Central,TWNZ0,COA_USC,Net Output (GWh),0,0,0,4468,23977,28500,22519,16783
TWN.Central,TWNZ0,COA_IGCC,Gross Output (GWh),0,0,0,0,0,0,27799,42393
TWN.Central,TWNZ0,COA_IGCC,Net Output (GWh),0,0,0,0,0,0,25853,39425
TWN.Central,TWNZ0,COA_SC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,COA_SC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,COA_OXY_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,COA_OXY_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,COA_IGCC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,COA_IGCC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,GAS_OCGT,Gross Output (GWh),0,0,0,0,0,0,26,0
TWN.Central,TWNZ0,GAS_OCGT,Net Output (GWh),0,0,0,0,0,0,24,0
TWN.Central,TWNZ0,GAS_CCGT,Gross Output (GWh),16199,14399,2065,1376,688,310,0,0
TWN.Central,TWNZ0,GAS_CCGT,Net Output (GWh),15065,13391,1920,1280,640,288,0,0
TWN.Central,TWNZ0,GAS_CC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,GAS_CC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,OIL_ST,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,OIL_ST,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,NUK_LWR,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,NUK_LWR,Net Output (GWh),0,0,0,0,0,0,0,0
