Item,Unit,2015,2020,2025,2030,2035,2040,2045,2050
Electricity Demand,GWh,241531,249154,279326,311396,343844,377431,411853,446758
Electricity Supply,GWh,241711,249337,279969,312685,345718,379757,414339,449441
Electricity Spilled,GWh,1,0,15,26,69,65,79,97
Electricity Import,GWh,0,0,0,0,0,0,0,0
Electricity Export,GWh,0,0,0,0,0,0,0,0
Renewable Gen. to Demand,%,5.2,10.7,32,44.7,50.9,55.5,54,53.1
Carbon Emission,K.Tonnes,147163,144759,158536,138823,136463,136229,146645,158771
Carbon Sequestration,K.Tonnes,0,0,0,0,0,0,0,0
Annual Variable Cost,M.USD,9370,12159,12963,11538,11711,12293,14084,16175
Annual Fixed Cost,M.USD,5195,5729,10668,15437,19885,24024,26105,26753
Fuel Consumption Coal,TJ,1234794,1244972,1518364,1399271,1412062,1438815,1549873,1678306
Fuel Consumption Gas,TJ,395750,351777,169253,112836,51325,2043,430,0
Fuel Consumption Oil,TJ,110520,98240,73680,1619,0,0,0,0
Fuel Consumption Uranium,TJ,462311,462311,0,0,0,0,0,0
Fuel Consumption Biomass,TJ,28649,28649,28649,28649,28649,28506,28506,28506
Capacity - Coal,MW,23330,23330,29927,30901,37478,38305,42482,49157
Capacity - Coal CCS,MW,0,0,0,0,0,0,0,0
Capacity - Gas,MW,23054,23054,17771,17771,16543,20934,22799,22799
Capacity - Gas CCS,MW,0,0,0,0,0,0,0,0
Capacity - Oil,MW,3342,3342,3342,51,0,0,0,0
Capacity - Nuclear,MW,5214,5214,0,0,0,0,0,0
Capacity - Biomass,MW,412,412,412,412,412,412,412,412
Capacity - BECCS,MW,0,0,0,0,0,0,0,0
Capacity - Pump Hydro Storage,MW,2600,2600,2600,2600,2600,2600,2600,2600
Capacity - Battery Storage,MW,0,50,838,1396,1722,2428,2645,2429
Capacity - Hydropower,MW,2110,4178,4178,4178,4178,4178,4178,4201
Capacity - Wind,MW,647,2652,3121,3720,3329,3431,3481,3531
Capacity - Offshore Wind,MW,150,150,9231,18366,27640,36792,40504,44632
Capacity - PV,MW,842,842,18527,28084,29046,30361,30361,30361
Capacity - Other Renewables,MW,0,200,200,200,200,200,200,200
Generation - Coal,GWh,124494,125439,160049,156912,163183,170263,192180,212468
Generation - Coal CCS,GWh,0,0,0,0,0,0,0,0
Generation - Gas,GWh,57332,50962,24642,16428,7472,296,46,0
Generation - Gas CCS,GWh,0,0,0,0,0,0,0,0
Generation - Oil,GWh,8719,7751,5813,128,0,0,0,0
Generation - Nuclear,GWh,38641,38641,0,0,0,0,0,0
Generation - Biomass,GWh,2283,2283,2283,2283,2283,2283,2283,2283
Generation - BECCS,GWh,0,0,0,0,0,0,0,0
Generation - Hydropower,GWh,7446,14763,14763,14763,14763,14763,14669,14735
Generation - Wind,GWh,1103,6405,7299,8336,7942,8093,8147,8200
Generation - Offshore Wind,GWh,579,579,37056,73188,108332,140887,153970,168560
Generation - PV,GWh,1113,1113,26674,39259,40353,41873,41873,41873
Generation - Other Renewables,GWh,0,1402,1402,1402,1402,1402,1402,1402
