Zone code,Zone ID,Flow,2015,2020,2025,2030,2035,2040,2045,2050
TWN.Central,TWNZ0,Demand(GWh),51079,52691,59072,65854,72716,79819,87099,94480
TWN.Central,TWNZ0,Supply(GWh),62731,64649,58703,54222,63856,57898,64796,72083
TWN.Central,TWNZ0,Spill(GWh),0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Import from: TWNZ1,0,238,57,3222,2666,3123,2419,1926
TWN.Central,TWNZ0,Import from: TWNZ2,0,0,272,2460,449,3465,2543,1461
TWN.Central,TWNZ0,Import from: TWNZ3,21,541,136,2872,2508,2301,1329,406
TWN.Central,TWNZ0,Import from: TWNZF1,0,0,4084,8171,12255,16339,17971,20090
TWN.Central,TWNZ0,Export to: TWNZ3,0,0,1731,1009,961,1122,3,121
TWN.Central,TWNZ0,Export to: TWNZ2,10506,12684,1957,3917,7831,2053,1926,1099
TWN.Central,TWNZ0,Export to: TWNZ1,1166,53,493,168,225,132,30,265
TWN.East,TWNZ1,Demand(GWh),9200,9490,10640,11861,13097,14376,15687,17017
TWN.East,TWNZ1,Supply(GWh),3413,7702,8265,13075,12915,14534,14493,14471
TWN.East,TWNZ1,Spill(GWh),0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Import from: TWNZ0,1158,53,489,167,223,131,30,263
TWN.East,TWNZ1,Import from: TWNZ2,0,0,326,201,90,154,64,40
TWN.East,TWNZ1,Import from: TWNZ3,4659,2348,1107,896,978,413,339,193
TWN.East,TWNZ1,Import from: TWNZF2,0,0,1221,2391,3651,4790,5381,5836
TWN.East,TWNZ1,Export to: TWNZ3,0,0,286,654,734,1481,1210,1074
TWN.East,TWNZ1,Export to: TWNZ0,0,239,57,3245,2684,3145,2435,1939
TWN.East,TWNZ1,Export to: TWNZ2,31,373,425,970,1343,1019,973,773
TWN.North,TWNZ2,Demand(GWh),111800,115328,129294,144139,159159,174705,190638,206795
TWN.North,TWNZ2,Supply(GWh),100806,101842,106450,100616,89771,97033,105240,113688
TWN.North,TWNZ2,Spill(GWh),0,0,0,0,0,0,0,0
TWN.North,TWNZ2,Import from: TWNZ0,10394,12548,1936,3875,7748,2031,1905,1087
TWN.North,TWNZ2,Import from: TWNZ1,30,368,419,956,1323,1004,959,762
TWN.North,TWNZ2,Import from: TWNZF0,569,570,21095,41382,60861,78296,85169,92776
TWN.North,TWNZ2,Export to: TWNZ0,0,0,275,2486,454,3503,2570,1476
TWN.North,TWNZ2,Export to: TWNZ1,0,0,331,204,92,156,65,41
TWN.South,TWNZ3,Demand(GWh),69452,71644,80320,89542,98872,108530,118428,128465
TWN.South,TWNZ3,Supply(GWh),74181,74565,69495,71585,70843,69406,75840,80640
TWN.South,TWNZ3,Spill(GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,Import from: TWNZ0,0,0,1710,996,949,1109,3,119
TWN.South,TWNZ3,Import from: TWNZ1,0,0,283,647,726,1466,1197,1063
TWN.South,TWNZ3,Import from: TWNZF3,0,0,10088,20126,29881,39296,43076,47250
TWN.South,TWNZ3,Export to: TWNZ0,21,548,138,2907,2539,2329,1345,411
TWN.South,TWNZ3,Export to: TWNZ1,4708,2373,1119,905,989,417,342,195
TWN.OffRgn1,TWNZF0,Supply(GWh),579,579,21417,42010,61789,79484,86464,94196
TWN.OffRgn1,TWNZF0,Spill(GWh),1,0,2,0,5,0,4,13
TWN.OffRgn1,TWNZF0,Export to: TWNZ2,578,579,21415,42010,61785,79484,86461,94183
TWN.OffRgn2,TWNZF1,Supply(GWh),0,0,4145,8293,12438,16584,18240,20390
TWN.OffRgn2,TWNZF1,Spill(GWh),0,0,0,0,0,0,0,0
TWN.OffRgn2,TWNZF1,Export to: TWNZ0,0,0,4145,8293,12438,16584,18240,20390
TWN.OffRgn3,TWNZF2,Supply(GWh),0,0,1242,2434,3727,4885,5494,5960
TWN.OffRgn3,TWNZF2,Spill(GWh),0,0,4,7,23,25,34,39
TWN.OffRgn3,TWNZF2,Export to: TWNZ1,0,0,1239,2426,3704,4861,5460,5921
TWN.OffRgn4,TWNZF3,Supply(GWh),0,0,10251,20450,30377,39933,43772,48014
TWN.OffRgn4,TWNZF3,Spill(GWh),0,0,9,18,42,40,41,46
TWN.OffRgn4,TWNZF3,Export to: TWNZ3,0,0,10242,20432,30336,39894,43731,47968
