Zone code,Zone ID,ProcessName,CF_Class,2015,2020,2025,2030,2035,2040,2045,2050
TWN.Central,TWNZ0,COA_SUB,0,2417,2417,2417,1856,1856,651,0,0
TWN.Central,TWNZ0,COA_SC,0,5500,5500,5500,5500,5500,5500,0,0
TWN.Central,TWNZ0,COA_USC,0,0,0,0,649,3310,4309,4309,4309
TWN.Central,TWNZ0,COA_IGCC,0,0,0,0,0,0,0,3769,6003
TWN.Central,TWNZ0,COA_SC_CCS,0,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,COA_OXY_CCS,0,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,COA_IGCC_CCS,0,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,GAS_OCGT,0,2407,2407,2407,2407,1434,825,4659,4659
TWN.Central,TWNZ0,GAS_CCGT,0,2563,2563,490,490,490,490,0,0
TWN.Central,TWNZ0,GAS_CC_CCS,0,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,OIL_ST,0,284,284,284,0,0,0,0,0
TWN.Central,TWNZ0,NUK_LWR,0,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,HYD_LG,0,1680,1878,1878,1878,1878,1878,878,698
TWN.Central,TWNZ0,HYD_SM,0,10,10,10,10,10,10,10,0
TWN.Central,TWNZ0,HYD_PS,0,2600,2600,2600,2600,2600,2600,2600,2600
TWN.Central,TWNZ0,WND_ON,1,457,457,457,457,0,0,0,0
TWN.Central,TWNZ0,WND_ON,2,0,0,0,387,387,387,387,387
TWN.Central,TWNZ0,WND_ON,3,0,232,232,232,232,232,232,232
TWN.Central,TWNZ0,WND_ON,4,0,244,244,244,244,244,244,244
TWN.Central,TWNZ0,WND_ON,5,0,101,101,101,101,101,101,101
TWN.Central,TWNZ0,PV_FT,3,0,0,2467,2467,2467,2467,2467,2467
TWN.Central,TWNZ0,PV_FT,4,178,178,355,355,355,355,355,355
TWN.Central,TWNZ0,PV_TK,3,0,0,437,437,437,437,437,437
