Zone code,Zone ID,Item,Item,2015,2020,2025,2030,2035,2040,2045,2050
TWN.Central,TWNZ0,Fuel Consumption (TJ),Coal,386306,396158,372375,299151,378433,323509,385471,438492
TWN.Central,TWNZ0,Fuel Consumption (TJ),Gas,104520,92907,13105,8737,4368,1966,224,0
TWN.Central,TWNZ0,Fuel Consumption (TJ),Oil,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Fuel Consumption (TJ),Uranium,0,0,0,0,0,0,0,0
TWN.Central,TWNZ0,Fuel Consumption (TJ),Biomass,5531,7784,5158,5610,4949,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Coal,30198,12501,10420,6058,2466,465,732,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Gas,616,547,410,274,244,0,3,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Oil,3643,3238,2428,1619,0,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Uranium,0,0,0,0,0,0,0,0
TWN.East,TWNZ1,Fuel Consumption (TJ),Biomass,1436,1315,1034,900,880,21021,21037,19430
TWN.North,TWNZ2,Fuel Consumption (TJ),Coal,361055,379380,668016,685566,627554,726500,765643,817404
TWN.North,TWNZ2,Fuel Consumption (TJ),Gas,212219,188639,141479,94320,44109,0,43,0
TWN.North,TWNZ2,Fuel Consumption (TJ),Oil,106877,95002,71251,0,0,0,0,0
TWN.North,TWNZ2,Fuel Consumption (TJ),Uranium,293666,293666,0,0,0,0,0,0
TWN.North,TWNZ2,Fuel Consumption (TJ),Biomass,17295,17557,13519,16040,17181,0,0,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Coal,457234,456934,467552,408496,403609,388342,398027,422410
TWN.South,TWNZ3,Fuel Consumption (TJ),Gas,78395,69684,14258,9506,2604,77,160,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Oil,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Uranium,168645,168645,0,0,0,0,0,0
TWN.South,TWNZ3,Fuel Consumption (TJ),Biomass,4387,1993,8939,6100,5639,7485,7469,9076
TWN.Central,TWNZ0,Emission (K.Tonnes),Total,42408.7,42689.4,35962.4,28790.4,36045.3,30714.2,36478.2,41481.3
TWN.Central,TWNZ0,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWN.East,TWNZ1,Emission (K.Tonnes),Total,3158.4,1450.8,1186.9,707.2,247.0,46.1,71.5,1.9
TWN.East,TWNZ1,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWN.North,TWNZ2,Emission (K.Tonnes),Total,53926.5,53466.7,76355.4,70147.5,61842.9,68726.9,72432.2,77326.4
TWN.North,TWNZ2,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWN.South,TWNZ3,Emission (K.Tonnes),Total,47669.6,47152.3,45031.2,39177.6,38328.1,36742.2,37663.1,39960.9
TWN.South,TWNZ3,Emission (K.Tonnes),CCS sequestration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWN.Central,TWNZ0,Marginal Gen. Cost (USD/kWh),,0.0642,0.0794,0.1060,0.0675,0.0680,0.0659,0.0700,0.0715
TWN.East,TWNZ1,Marginal Gen. Cost (USD/kWh),,0.1017,0.1387,0.1546,0.1048,0.0368,0.0227,0.0218,0.0191
TWN.North,TWNZ2,Marginal Gen. Cost (USD/kWh),,0.0928,0.1654,0.1856,0.0745,0.0701,0.0669,0.0695,0.0717
TWN.South,TWNZ3,Marginal Gen. Cost (USD/kWh),,0.0653,0.0618,0.0944,0.0860,0.0601,0.0606,0.0668,0.0689
TWN.Central,TWNZ0,Variable Gen. Cost (M.USD),,2207.89,3023.71,2542.28,2274.64,2993.99,2706.97,3422.21,4139.73
TWN.Central,TWNZ0,Fixed annual Cost (M.USD),,1616.63,1719.34,2065.41,2258.11,2367.89,2332.05,2245.60,2284.36
TWN.East,TWNZ1,Variable Gen. Cost (M.USD),,139.38,130.79,122.59,86.23,32.00,249.55,252.40,227.12
TWN.East,TWNZ1,Fixed annual Cost (M.USD),,55.20,270.86,325.64,620.30,651.32,696.10,713.04,705.30
TWN.North,TWNZ2,Variable Gen. Cost (M.USD),,4672.11,5719.21,7102.62,6112.87,5510.15,6026.86,6790.53,7715.17
TWN.North,TWNZ2,Fixed annual Cost (M.USD),,1882.89,2037.68,1875.08,1908.81,2076.66,2399.96,2802.27,3006.93
TWN.South,TWNZ3,Variable Gen. Cost (M.USD),,2350.59,3285.15,3195.38,3063.87,3175.17,3310.06,3619.11,4092.92
TWN.South,TWNZ3,Fixed annual Cost (M.USD),,1570.64,1630.90,1869.38,2043.25,2207.46,2258.82,2550.99,2504.68
TWN.OffRgn1,TWNZF0,Fixed annual Cost (M.USD),,70.08,70.08,2664.15,5030.70,7332.60,9536.84,10374.68,10629.67
TWN.OffRgn2,TWNZF1,Fixed annual Cost (M.USD),,0.00,0.00,426.47,816.65,1191.10,1550.19,1687.57,1756.88
TWN.OffRgn3,TWNZF2,Fixed annual Cost (M.USD),,0.00,0.00,208.85,399.91,597.78,772.30,860.67,873.98
TWN.OffRgn4,TWNZF3,Fixed annual Cost (M.USD),,0.00,0.00,1232.68,2359.38,3460.14,4477.86,4870.18,4991.20
