Zone code,Zone ID,Flow,Annual Total(GWh),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.Central,TWNZ0,Demand(GWh),72716.15692764487,2116.003,2192.763,2176.182,2233.467,2215.415,1910.367,1745.226,1881.797,2316.860,2463.496,2475.161,2462.313,2406.399,2093.209,1919.272,2060.737,2490.831,2721.976,2769.614,2692.026,2565.060,2244.852,2069.895,2211.062,2317.689,2487.361,2509.234,2496.039,2404.787,2088.763,1919.604,2058.702
TWN.Central,TWNZ0,Residual Demand(GWh),0,1315.673,972.042,1369.931,2056.031,2106.966,1822.587,1658.397,1749.428,1428.237,1215.953,1617.693,2281.599,2353.990,2049.207,1873.212,1889.022,1704.487,1682.698,2082.419,2534.359,2511.404,2188.198,2013.914,2022.684,1522.718,1298.834,1713.564,2326.254,2309.081,2006.823,1839.062,1905.276
TWN.Central,TWNZ0,Zone Supply(GWh),57587.24639366769,1540.856,1723.847,1546.778,1064.518,1005.332,974.862,973.911,1019.451,2136.275,2356.986,2111.307,2499.969,2465.841,1843.344,1359.356,1436.169,2071.657,2318.142,2109.540,2779.183,2678.713,2293.624,1874.838,1975.695,1886.311,2142.631,1897.258,1742.731,1815.854,1321.849,1244.705,1375.713
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,5638.220465169378,147.804,304.201,93.396,0.000,24.712,49.673,20.019,18.099,415.119,504.123,330.852,0.000,0.000,0.000,146.421,170.131,529.014,543.021,371.257,0.000,0.000,0.000,0.000,39.100,399.589,537.118,318.679,47.889,20.897,183.210,206.283,217.613
TWN.Central,TWNZ0,Import from: TWNZ2,840.1069811813375,0.000,0.000,0.000,278.585,278.585,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.952,10.534,0.000,0.000,0.000,0.000,0.000,0.000,193.238,66.213,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ3,2965.9638191382915,0.000,241.952,0.000,269.711,295.739,295.739,171.199,273.959,57.078,0.000,266.712,0.000,0.000,0.000,133.265,170.126,302.311,302.311,78.637,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,107.227,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZF1,12530.94494871165,568.890,584.582,609.956,620.652,611.046,590.092,580.097,570.288,271.753,278.913,302.248,305.044,283.257,266.296,280.229,284.311,189.419,201.915,210.180,205.304,208.959,229.669,215.927,196.266,465.813,476.784,498.582,512.180,501.823,476.477,468.617,465.376
TWN.Central,TWNZ0,Export to: TWNZ3,1537.3913261322864,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,305.412,305.412,16.432,0.000,0.000,0.000,0.000,0.000,305.412,305.412,278.441,20.870,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,5206.624918338711,141.547,661.819,73.947,0.000,0.000,0.000,0.000,0.000,563.365,676.526,535.957,0.000,0.000,0.000,0.000,0.000,601.569,643.412,0.000,0.000,0.000,0.000,0.000,0.000,434.024,669.173,205.285,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ1,102.30943575244905,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.288,37.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Demand(GWh),13097.019439952119,373.958,388.043,385.216,395.227,391.822,337.213,307.628,332.087,416.932,450.589,455.843,448.406,431.905,375.022,343.661,369.009,452.835,498.843,509.345,492.057,465.317,407.494,376.046,401.330,416.402,449.785,454.975,450.532,431.493,374.578,344.262,369.164
TWN.East,TWNZ1,Residual Demand(GWh),0,2.292,-170.038,35.018,324.902,328.005,269.634,243.718,248.533,-75.449,-208.932,10.915,354.249,394.675,336.349,305.862,259.791,10.665,-71.108,119.428,389.045,422.919,366.656,333.871,282.124,-18.587,-167.562,57.129,372.254,377.325,318.939,290.315,277.692
TWN.East,TWNZ1,Zone Supply(GWh),17411.11385634722,490.325,672.989,467.848,179.023,182.314,176.831,172.705,192.976,886.087,1049.088,837.046,473.887,472.125,416.328,415.337,489.274,837.309,959.853,783.631,562.061,516.405,419.989,421.457,501.637,823.761,1002.399,785.284,464.155,429.962,431.402,429.453,468.170
TWN.East,TWNZ1,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Import from: TWNZ0,101.60161815213931,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.030,37.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.542,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Import from: TWNZ2,119.73689279930599,0.000,0.000,0.000,26.605,26.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.055,0.000,0.000,0.000,0.000,0.000,0.000,26.275,27.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Import from: TWNZ3,455.65129147167227,0.000,0.000,0.000,43.663,50.355,49.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,192.941,118.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Import from: TWNZF2,3542.1532363047686,160.607,149.515,139.556,145.936,157.433,160.529,155.081,157.336,79.845,81.587,82.943,83.494,81.631,79.907,75.765,76.099,86.272,97.962,99.557,90.487,80.939,76.003,76.701,79.235,124.579,123.134,120.155,121.839,127.714,127.662,122.528,120.123
TWN.East,TWNZ1,Export to: TWNZ3,1402.6310211231394,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,41.463,0.000,146.004,171.936,121.214,0.000,0.000,0.000,0.000,0.000,186.766,186.766,88.497,122.113,140.170,0.000,5.323,0.000,87.239,105.141,0.000,0.000,0.000
TWN.East,TWNZ1,Export to: TWNZ0,5677.499678948217,148.833,306.320,94.047,0.000,24.885,50.019,20.159,18.225,418.011,507.635,333.157,0.000,0.000,0.000,147.442,171.317,532.699,546.804,373.843,0.000,0.000,0.000,0.000,39.373,402.373,540.860,320.899,48.223,21.042,184.486,207.720,219.129
TWN.East,TWNZ1,Export to: TWNZ2,1453.106755051637,128.141,128.141,128.141,0.000,0.000,0.000,0.000,0.000,130.989,130.989,130.989,0.000,0.000,0.000,0.000,25.047,130.989,130.989,0.000,0.000,0.000,0.000,0.000,0.000,129.565,129.565,129.565,0.000,0.000,0.000,0.000,0.000
TWN.North,TWNZ2,Demand(GWh),159158.58445882145,4728.099,4897.791,4861.146,4987.785,4947.253,4272.419,3907.335,4209.362,5088.052,5296.034,5272.136,5333.167,5302.297,4618.444,4237.352,4549.961,5427.163,5852.541,5921.286,5812.750,5606.062,4906.836,4522.150,4834.202,5078.068,5323.141,5316.025,5383.903,5290.823,4603.279,4232.063,4539.658
TWN.North,TWNZ2,Residual Demand(GWh),0,4400.061,4453.329,4508.766,4794.842,4776.702,4119.334,3762.758,4052.976,4777.472,4865.438,4952.543,5216.094,5229.370,4555.260,4175.010,4448.914,5141.788,5481.445,5648.331,5717.769,5548.427,4847.360,4461.639,4733.004,4737.840,4862.807,4955.903,5209.489,5146.346,4471.315,4102.436,4388.043
