Zone code,Zone ID,Flow,Annual Total(GWh),M01H00,M01H01,M01H02,M01H03,M01H04,M01H05,M01H06,M01H07,M01H08,M01H09,M01H10,M01H11,M01H12,M01H13,M01H14,M01H15,M01H16,M01H17,M01H18,M01H19,M01H20,M01H21,M01H22,M01H23,M02H00,M02H01,M02H02,M02H03,M02H04,M02H05,M02H06,M02H07,M02H08,M02H09,M02H10,M02H11,M02H12,M02H13,M02H14,M02H15,M02H16,M02H17,M02H18,M02H19,M02H20,M02H21,M02H22,M02H23,M03H00,M03H01,M03H02,M03H03,M03H04,M03H05,M03H06,M03H07,M03H08,M03H09,M03H10,M03H11,M03H12,M03H13,M03H14,M03H15,M03H16,M03H17,M03H18,M03H19,M03H20,M03H21,M03H22,M03H23,M04H00,M04H01,M04H02,M04H03,M04H04,M04H05,M04H06,M04H07,M04H08,M04H09,M04H10,M04H11,M04H12,M04H13,M04H14,M04H15,M04H16,M04H17,M04H18,M04H19,M04H20,M04H21,M04H22,M04H23,M05H00,M05H01,M05H02,M05H03,M05H04,M05H05,M05H06,M05H07,M05H08,M05H09,M05H10,M05H11,M05H12,M05H13,M05H14,M05H15,M05H16,M05H17,M05H18,M05H19,M05H20,M05H21,M05H22,M05H23,M06H00,M06H01,M06H02,M06H03,M06H04,M06H05,M06H06,M06H07,M06H08,M06H09,M06H10,M06H11,M06H12,M06H13,M06H14,M06H15,M06H16,M06H17,M06H18,M06H19,M06H20,M06H21,M06H22,M06H23,M07H00,M07H01,M07H02,M07H03,M07H04,M07H05,M07H06,M07H07,M07H08,M07H09,M07H10,M07H11,M07H12,M07H13,M07H14,M07H15,M07H16,M07H17,M07H18,M07H19,M07H20,M07H21,M07H22,M07H23,M08H00,M08H01,M08H02,M08H03,M08H04,M08H05,M08H06,M08H07,M08H08,M08H09,M08H10,M08H11,M08H12,M08H13,M08H14,M08H15,M08H16,M08H17,M08H18,M08H19,M08H20,M08H21,M08H22,M08H23,M09H00,M09H01,M09H02,M09H03,M09H04,M09H05,M09H06,M09H07,M09H08,M09H09,M09H10,M09H11,M09H12,M09H13,M09H14,M09H15,M09H16,M09H17,M09H18,M09H19,M09H20,M09H21,M09H22,M09H23,M10H00,M10H01,M10H02,M10H03,M10H04,M10H05,M10H06,M10H07,M10H08,M10H09,M10H10,M10H11,M10H12,M10H13,M10H14,M10H15,M10H16,M10H17,M10H18,M10H19,M10H20,M10H21,M10H22,M10H23,M11H00,M11H01,M11H02,M11H03,M11H04,M11H05,M11H06,M11H07,M11H08,M11H09,M11H10,M11H11,M11H12,M11H13,M11H14,M11H15,M11H16,M11H17,M11H18,M11H19,M11H20,M11H21,M11H22,M11H23,M12H00,M12H01,M12H02,M12H03,M12H04,M12H05,M12H06,M12H07,M12H08,M12H09,M12H10,M12H11,M12H12,M12H13,M12H14,M12H15,M12H16,M12H17,M12H18,M12H19,M12H20,M12H21,M12H22,M12H23
TWN.Central,TWNZ0,Demand(GWh),94480.36156551287,304.477,315.091,322.206,325.640,326.096,324.857,323.349,322.688,323.328,324.926,332.661,337.667,337.617,331.145,318.286,300.581,280.820,268.035,259.664,256.362,258.564,266.356,278.035,291.494,277.409,287.009,293.439,296.535,296.931,295.790,294.406,293.787,294.347,295.773,302.742,307.243,307.167,301.452,289.788,273.741,255.835,244.655,236.894,233.822,236.021,243.066,253.632,265.811,315.608,326.810,334.629,338.781,339.865,339.081,337.797,337.103,337.461,338.565,341.044,346.606,347.447,342.557,330.015,312.194,291.632,279.256,270.499,267.028,269.497,277.430,289.334,303.057,313.690,325.750,335.567,342.426,346.353,347.945,348.063,347.484,346.624,345.409,343.326,346.123,344.965,339.917,327.847,311.841,291.921,280.464,272.217,268.947,271.461,278.764,289.719,302.345,338.504,353.153,366.109,376.205,383.020,386.770,388.046,387.501,385.579,382.373,377.658,377.764,373.980,366.943,353.338,336.696,314.912,301.668,293.138,289.784,292.056,300.032,311.978,325.743,335.792,350.586,364.113,375.065,382.815,387.358,389.098,388.567,386.190,382.142,376.369,375.206,370.446,362.955,349.540,333.720,312.456,300.470,292.040,288.699,291.076,298.712,310.168,323.377,348.725,364.102,378.545,390.578,399.385,404.771,406.988,406.486,403.681,398.826,392.009,389.971,384.425,376.462,362.803,347.115,325.500,313.461,305.065,301.738,304.104,311.706,323.111,336.256,349.401,365.062,379.553,391.437,399.974,405.074,407.087,406.531,403.843,399.242,392.735,390.955,385.509,377.392,363.325,346.990,324.813,312.629,303.872,300.401,302.869,310.800,322.701,336.421,329.102,343.641,356.989,367.838,375.549,380.089,381.831,381.284,378.862,374.749,372.323,370.195,364.296,355.931,342.168,326.544,305.794,294.727,286.279,282.918,285.464,292.913,304.099,316.994,328.817,342.702,354.718,363.834,369.767,372.850,373.761,373.193,371.583,368.973,371.268,370.540,365.450,357.217,343.044,326.412,305.545,293.111,284.726,281.409,283.596,291.373,303.037,316.481,307.997,319.308,327.641,332.577,334.526,334.482,333.634,332.960,332.900,333.227,339.143,342.312,340.741,334.543,321.521,304.445,284.754,273.465,265.011,261.644,263.995,271.602,283.031,296.211,307.222,317.549,324.447,327.744,328.125,326.849,325.315,324.614,325.193,326.713,334.376,339.343,339.313,333.004,320.319,302.842,283.326,272.024,263.422,259.997,262.580,270.157,281.537,294.656
TWN.Central,TWNZ0,Zone Supply(GWh),72082.60910983833,177.481,184.745,195.758,166.333,155.694,174.402,180.705,184.485,200.266,214.231,227.172,231.834,230.754,221.930,211.140,181.467,162.895,162.718,155.690,153.412,155.414,156.690,164.092,171.918,196.765,226.949,251.099,251.760,237.141,237.382,244.725,225.988,211.603,215.076,225.612,229.877,230.347,226.029,214.783,196.328,175.871,151.031,146.431,146.570,146.749,146.918,173.418,186.139,246.523,254.396,280.469,290.489,302.367,296.911,279.881,262.182,261.604,265.023,271.349,274.928,279.006,274.632,263.985,247.145,224.029,209.577,199.654,196.467,199.971,208.921,220.119,232.947,263.546,274.731,270.802,284.706,288.147,282.164,292.201,291.568,291.126,294.330,274.267,264.160,263.223,262.705,262.379,262.852,251.373,239.920,231.451,228.128,230.324,237.683,248.189,253.624,299.275,313.267,325.423,334.161,339.370,341.732,341.847,340.370,334.027,319.714,296.465,288.755,287.605,284.203,278.953,283.014,270.162,270.134,262.038,258.499,260.453,268.266,279.902,286.353,292.216,306.083,318.496,327.348,335.182,339.104,340.334,339.436,332.953,308.907,288.224,281.037,276.716,277.033,277.520,277.756,261.565,249.382,241.592,239.412,243.229,252.027,265.438,280.253,312.934,328.561,342.404,353.656,361.710,366.802,368.739,352.748,339.822,316.296,300.381,306.227,295.085,284.860,285.433,285.877,278.640,271.960,265.871,264.002,268.218,273.010,285.097,299.212,317.058,317.294,344.569,331.213,365.487,367.958,355.788,354.267,335.273,318.407,348.309,335.448,316.225,308.354,285.011,285.308,283.356,274.749,266.708,264.499,268.073,277.086,290.406,305.195,283.405,298.006,310.679,315.078,324.271,329.015,328.813,326.241,322.389,302.225,281.738,277.335,276.899,276.601,276.520,276.116,255.788,245.762,237.972,242.089,241.150,245.212,256.902,270.024,218.816,217.932,224.304,227.909,230.404,231.482,238.991,250.268,264.388,261.079,262.471,261.394,256.672,249.861,237.762,223.420,185.008,163.462,163.334,163.326,163.408,163.539,178.079,206.882,202.501,230.816,237.825,232.250,228.553,224.289,225.799,235.558,230.815,229.891,234.615,237.732,237.527,233.647,223.365,208.863,179.627,157.307,157.283,157.352,157.494,157.676,179.687,204.672,188.442,175.092,178.786,172.709,146.996,159.584,178.151,188.934,203.750,204.547,218.453,226.249,225.255,218.783,198.256,164.176,163.761,155.473,145.880,141.744,144.544,153.339,164.808,174.527
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,1925.7375552786161,23.330,27.328,26.465,33.012,34.465,41.643,36.328,30.388,13.749,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.308,1.183,0.000,0.000,6.386,1.706,1.184,7.427,14.284,24.797,25.965,31.800,28.525,19.981,7.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.699,32.046,38.814,34.518,35.111,24.890,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.698,33.950,33.770,29.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.746,0.000,0.000,8.359,6.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.204,0.117,0.000,0.000,0.000,4.045,23.278,11.077,7.897,4.206,5.279,7.422,5.335,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.180,3.301,10.265,12.592,7.927,5.275,3.582,0.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.428,16.900,3.803,28.137,1.421,2.192,15.077,15.196,27.362,13.989,3.881,0.000,2.554,2.948,5.578,8.414,3.201,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.179,2.107,0.000,0.000,0.000,0.000,13.657,3.266,2.114,3.772,5.827,8.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.908,25.529,37.036,42.998,42.488,37.675,29.700,16.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.170,8.847,17.123,24.193,35.950,36.800,32.416,22.381,8.579,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.454,7.160,5.899,0.000,0.000,0.000,12.244,36.429,40.110,47.004,49.619,46.925,37.986,24.578,8.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.716,9.536,10.883,11.366,10.834,9.476,7.855,11.097
TWN.Central,TWNZ0,Import from: TWNZ2,1460.6337695332618,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.795,19.895,0.000,0.000,0.000,0.000,0.000,9.071,15.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.462,29.395,25.293,29.395,18.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.860,28.294,28.991,25.288,14.851,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.911,32.545,32.545,32.545,32.545,32.545,13.462,5.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.941,28.624,31.495,31.495,30.320,14.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.262,31.295,32.545,32.545,32.545,32.545,32.545,15.808,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.032,3.595,1.502,17.481,27.041,23.678,32.545,14.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.612,28.845,31.495,25.450,17.034,3.173,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.518,32.545,32.545,29.498,32.545,32.545,25.204,8.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.204,31.157,11.085,5.228,8.860,28.574,11.911,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.789,0.000,0.000,0.000,0.000,9.981,32.545,3.643,0.000,0.000,0.000,0.000,0.000,1.926,2.402
TWN.Central,TWNZ0,Import from: TWNZ3,406.4266796888951,0.000,0.000,0.000,29.964,32.254,3.851,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.136,17.800,0.000,0.000,0.000,0.000,0.000,16.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.119,29.851,16.701,8.795,10.782,26.507,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.035,15.221,12.913,0.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.697,1.871,2.452,6.509,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.060,8.433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.170,7.323,3.201,10.419,13.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.238,0.000,0.000,0.000,2.775,0.736,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.319,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.634,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.401,25.548,13.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZF1,20089.69386348352,103.666,103.019,102.564,102.960,103.901,104.960,106.317,107.815,109.314,110.695,112.021,112.144,111.073,109.215,107.146,105.319,103.882,103.008,102.791,102.950,103.150,103.279,103.166,103.027,78.559,77.734,77.275,77.868,79.116,80.412,81.384,82.251,82.744,83.026,83.822,84.057,83.511,82.114,80.897,80.237,79.964,80.162,80.592,81.011,81.127,81.103,80.592,79.672,69.085,68.240,68.250,68.764,70.172,72.263,73.722,74.921,75.857,76.510,77.104,76.838,75.850,74.597,73.439,72.073,71.330,71.761,72.031,71.707,71.373,71.389,71.081,70.110,50.144,51.018,51.961,52.809,53.800,55.062,55.862,55.915,55.499,54.795,54.199,53.669,52.751,51.924,50.618,48.989,47.717,47.714,47.936,47.989,48.306,48.250,48.296,48.721,39.229,39.886,40.686,42.043,43.650,45.038,46.199,47.131,47.806,47.748,46.952,46.234,45.128,43.687,41.840,40.220,39.410,38.943,38.508,38.694,39.011,39.174,39.485,39.391,43.576,44.503,45.617,46.513,47.516,48.254,48.764,49.132,49.192,49.016,48.443,48.718,49.596,50.324,50.518,50.629,50.891,51.087,50.448,49.287,47.848,46.685,44.731,43.123,35.791,35.540,36.141,36.922,37.675,37.969,38.250,38.558,39.295,39.799,39.168,40.071,41.101,42.285,43.876,45.430,46.860,47.425,46.603,45.144,43.294,41.377,38.815,37.044,30.915,30.868,31.181,32.087,33.066,34.924,36.222,37.069,38.175,39.012,39.043,39.307,39.689,39.637,39.456,38.900,38.257,37.880,37.164,35.901,34.795,33.714,32.295,31.226,45.698,45.636,46.310,47.582,49.172,51.074,53.017,55.043,56.577,57.254,58.473,58.932,58.175,56.469,53.763,51.312,50.006,48.966,48.307,47.998,48.005,47.701,47.196,46.970,99.094,99.241,99.748,100.967,102.112,103.693,105.070,106.222,107.195,107.894,108.797,109.146,108.778,107.356,105.282,102.991,101.020,99.682,98.866,98.484,98.555,98.994,99.754,100.153,91.244,91.656,92.447,93.843,95.335,97.183,98.949,100.616,102.086,103.336,104.528,104.580,103.214,100.896,98.156,95.582,93.923,92.803,92.189,91.904,91.741,91.666,91.433,91.539,106.536,106.028,105.552,105.629,105.962,107.208,109.178,111.103,112.763,114.378,115.923,116.322,115.635,114.221,112.082,109.961,108.206,107.015,106.659,106.888,107.201,107.342,106.948,106.630
TWN.Central,TWNZ0,Export to: TWNZ3,120.73161541943063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.853,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.524,17.032,18.654,3.321,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.578,10.018,9.899,10.911,3.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.803,0.000,0.000,0.000,6.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.839,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,1099.1234562039594,0.000,0.000,2.581,6.628,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.478,49.758,59.732,59.058,51.127,50.529,51.685,38.513,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.644,75.987,75.987,75.987,75.987,67.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.930,44.259,42.277,19.253,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.371,8.039,5.237,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.229,20.286,26.824,29.466,26.161,19.406,13.494,11.793,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ1,264.88434068631113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.532,6.310,4.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.329,6.692,6.692,6.692,6.692,5.892,2.824,0.000,0.000,0.000,2.020,2.596,0.000,0.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.968,7.409,5.160,7.409,6.672,7.409,7.024,3.727,2.082,1.186,1.147,1.847,2.880,1.867,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.716,0.000,0.000,0.000,0.000,0.000,0.000,7.170,7.170,7.170,7.170,7.170,7.170,6.766,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.409,7.409,7.409,7.409,7.409,7.409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.925,7.409,7.409,7.409,2.682,0.801,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.885,0.000,0.000,0.000,7.170,3.691,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.228,1.576,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
